Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.3672414,0.4662807,0.4281359,0.6585366,0.8387097,0.5820896,0.7808219,0.5500000,0.8834951,0.4500000,0.5789474,0.2030000,0.0319505,1997-02-28
0.5695402,0.4628065,0.4181185,0.4390244,0.6129032,0.5522388,0.4794521,0.7125000,0.5339806,0.2500000,0.3684211,0.9885000,0.0000000,1997-03-31
0.5201149,0.4964578,0.5004355,0.7073171,0.7903226,0.6268657,0.6986301,0.6875000,0.7864078,0.4500000,0.2368421,0.2800000,0.0242205,1997-04-30
0.1862069,0.4916213,0.4995645,0.6585366,0.6290323,0.2686567,0.6986301,0.3875000,0.6796117,0.5000000,0.7894737,0.5210000,0.0273125,1997-05-31
0.6011494,0.4350817,0.3201220,0.6341463,0.5161290,0.3134328,0.4931507,0.4250000,0.6116505,0.4500000,0.5263158,0.6420000,0.0953362,1997-06-30
0.3540230,0.5798365,0.5383275,0.8048780,0.3709677,0.0447761,0.4246575,0.3750000,0.5145631,0.7000000,0.6578947,0.0710000,0.1473846,1997-07-31
0.6258621,0.4058583,0.3758711,0.4146341,0.7258065,0.4328358,0.6849315,0.4875000,0.6796117,0.3500000,0.5000000,0.7155000,0.2550888,1997-08-31
0.3436782,0.4734332,0.4564460,0.4390244,0.6774194,0.4179104,0.6164384,0.3875000,0.6796117,0.3500000,0.5526316,0.5930000,0.6673534,1997-09-30
0.4241379,0.6101499,0.6045296,0.7073171,0.5483871,0.3582090,0.4383562,0.3750000,0.5533981,0.3000000,0.5000000,0.7105000,0.7606283,1997-10-31
0.4695402,0.2677793,0.1363240,0.4634146,0.4838710,0.2985075,0.5205479,0.4750000,0.6504854,0.3000000,0.4736842,0.5520000,0.4828650,1997-11-30
0.5178161,0.4342643,0.4233449,0.3414634,0.5161290,0.4626866,0.3561644,0.5375000,0.4563107,0.1500000,0.3684211,0.7480000,0.4792577,1997-12-31
0.4097701,0.4512943,0.3784843,0.4390244,0.5322581,0.4328358,0.4246575,0.5125000,0.5631068,0.3500000,0.4473684,0.5825000,0.6817429,1998-01-31
0.3931034,0.4645777,0.4233449,0.5609756,0.5967742,0.4776119,0.5342466,0.5750000,0.6407767,0.5500000,0.5789474,0.4240000,0.2284374,1998-02-28
