Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.6447543,0.4640107,0.4941374,0.3947368,0.9000000,0.9047619,1.0000000,0.6043956,0.8235294,0.5000000,0.6451613,0.3043771,0.5139491,1997-02-28
0.8738380,0.4640107,0.4941374,0.3947368,0.5500000,0.5714286,0.5681818,0.5604396,0.2823529,0.0714286,0.5806452,0.8407407,0.5138277,1997-03-31
0.5996016,0.4979355,0.5783082,0.5526316,0.9000000,0.9523810,0.8636364,0.5384615,0.8235294,0.5714286,0.4516129,0.4329966,0.5148596,1997-04-30
0.2775564,0.7386452,1.0000000,0.6578947,0.5250000,0.6904762,0.3636364,0.6373626,0.1294118,0.6428571,0.3548387,0.3407407,0.5141312,1997-05-31
0.8937583,0.3014173,0.0938023,0.3684211,0.4000000,0.5000000,0.4090909,0.4395604,0.5882353,0.7142857,0.5806452,0.6400673,0.5174089,1997-06-30
0.4893758,0.6067403,0.5192630,0.5789474,0.1000000,0.3333333,0.1590909,0.2417582,0.2588235,0.3571429,0.8064516,0.3747475,0.5168626,1997-07-31
0.6347942,0.5285124,0.6616415,0.3947368,0.4750000,0.5476190,0.5000000,0.5164835,0.5176471,0.5000000,0.4193548,0.5080808,0.5141919,1997-08-31
0.6281541,0.3837741,0.3178392,0.3157895,0.5250000,0.6904762,0.5000000,0.4395604,0.3882353,0.5714286,0.5483871,0.5966330,0.5120067,1997-09-30
0.7071713,0.3508537,0.5280570,0.2368421,0.4750000,0.5714286,0.4545455,0.3846154,0.5176471,0.2142857,0.3225806,0.7104377,0.5118853,1997-10-31
0.7184595,0.5100993,0.7022613,0.2105263,0.3000000,0.4285714,0.3863636,0.3846154,0.2705882,0.5000000,0.5483871,0.5454545,0.5152845,1997-11-30
0.9262948,0.2581185,0.0460637,0.2368421,0.4000000,0.6666667,0.2954545,0.5274725,0.5176471,0.3571429,0.0322581,0.6690236,0.5122495,1997-12-31
0.7715803,0.4640107,0.4941374,0.3947368,0.5000000,0.5952381,0.5681818,0.4725275,0.3764706,0.3571429,0.6774194,0.6309764,0.5142846,1998-01-31
0.5053121,0.4640107,0.4941374,0.3947368,0.4750000,0.4523810,0.6818182,0.3406593,0.7411765,0.2142857,0.6451613,0.4107744,0.5140777,1998-02-28
0.9575033,0.4640107,0.4941374,0.3947368,0.7750000,0.8571429,0.7272727,0.6043956,0.5647059,0.5714286,0.4516129,0.6841751,0.5143722,1998-03-31
