Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.4959350,0.5794882,0.5785333,0.6388889,0.8461538,0.7377049,0.9324324,0.7846154,0.8598131,0.5609756,0.6250000,0.1985981,0.0369214,1997-02-28
0.8167036,0.4469756,0.4349536,0.5277778,0.6025641,0.7377049,0.3918919,0.9230769,0.4579439,0.3902439,0.3250000,0.7831776,0.0163210,1997-03-31
0.3458980,0.6387166,0.5892105,0.7777778,0.5769231,0.5081967,0.6621622,0.3230769,0.8691589,0.5853659,0.8000000,0.3317757,0.0472216,1997-04-30
0.3614191,0.6424002,0.4779432,0.5833333,0.5000000,0.3442623,0.5000000,0.4615385,0.5607477,0.5853659,0.7750000,0.4364486,0.0520283,1997-05-31
0.5484109,0.4412563,0.4551840,0.4722222,0.4871795,0.4590164,0.4324324,0.5076923,0.4953271,0.4634146,0.6750000,0.5252336,0.1337433,1997-06-30
0.4745011,0.8575998,1.0000000,0.7500000,0.3846154,0.2622951,0.3513514,0.4153846,0.5233645,0.5121951,0.5750000,0.1401869,0.2120249,1997-07-31
0.5905395,0.2037611,0.0000000,0.4444444,0.5128205,0.5573770,0.4189189,0.4769231,0.5327103,0.4634146,0.5750000,0.5070093,0.3363141,1997-08-31
0.5934959,0.5435246,0.5585839,0.3333333,0.5256410,0.6229508,0.3918919,0.6923077,0.5140187,0.4390244,0.4500000,0.5644860,0.3685881,1997-09-30
0.6770140,0.4850717,0.3571228,0.6388889,0.5128205,0.6721311,0.3783784,0.5076923,0.5046729,0.4634146,0.4250000,0.4532710,0.4070422,1997-10-31
0.6799704,0.2884839,0.4585558,0.1111111,0.5256410,0.5409836,0.3243243,0.6461538,0.3644860,0.3658537,0.4500000,0.9387850,0.0691954,1997-11-30
0.8167036,0.3843544,0.4397303,0.2500000,0.4358974,0.6721311,0.2027027,0.6153846,0.3457944,0.2439024,0.0000000,0.6481308,0.1179497,1997-12-31
0.7368810,0.4884645,0.4498455,0.5000000,0.6410256,0.8196721,0.4864865,0.9692308,0.5514019,0.5121951,0.5000000,0.4859813,0.1426174,1998-01-31
0.5513673,0.5045560,0.4964878,0.5000000,0.6153846,0.6393443,0.5270270,0.6461538,0.6261682,0.4878049,0.6000000,0.3808411,0.0643797,1998-02-28
0.9401330,0.4953470,0.4697949,0.4722222,0.7179487,0.8852459,0.5405405,0.9384615,0.6355140,0.3414634,0.1750000,0.7219626,0.0986491,1998-03-31
0.3673319,0.6758434,0.8198932,0.6944444,0.5384615,0.4590164,0.6216216,0.4769231,0.5046729,0.5121951,0.6250000,0.3383178,0.0889502,1998-04-30
0.0953437,0.5371268,0.3531891,0.6666667,0.4743590,0.1639344,0.5675676,0.3230769,0.8317757,0.6341463,0.9000000,0.3448598,0.1477902,1998-05-31
0.5351072,0.5404226,0.5254285,0.7222222,0.3461538,0.2295082,0.3108108,0.0923077,0.4392523,0.6341463,1.0000000,0.4588785,0.3378886,1998-06-30
0.6356245,0.6115743,0.5060410,0.3888889,0.4871795,0.5573770,0.3648649,0.5846154,0.5233645,0.3902439,0.5000000,0.6084112,0.3346556,1998-07-31
0.5343681,0.4757658,0.3568418,0.7222222,0.4230769,0.4590164,0.3513514,0.4461538,0.4485981,0.5121951,0.5750000,0.3929907,1.0000000,1998-08-31
0.4826312,0.6599457,0.5715089,0.5000000,0.4358974,0.3114754,0.4459459,0.4923077,0.5514019,0.5121951,0.6000000,0.1411215,0.6088111,1998-09-30
0.6577975,0.4715975,0.5695420,0.4444444,0.5384615,0.6065574,0.3783784,0.5076923,0.4485981,0.4390244,0.2750000,0.6808411,0.2926271,1998-10-31
0.5624538,0.2823769,0.3942119,0.3888889,0.3333333,0.2459016,0.2297297,0.5538462,0.3831776,0.4878049,0.6750000,0.3285047,0.1781801,1998-11-30
0.7457502,0.3645793,0.3517842,0.2777778,0.4743590,0.6229508,0.2972973,0.5846154,0.2803738,0.3170732,0.4500000,0.8130841,0.0605001,1998-12-31
0.8144863,0.4002520,0.4186569,0.3888889,0.6153846,0.8688525,0.3783784,0.9230769,0.4766355,0.3902439,0.1000000,0.5761682,0.0556474,1999-01-31
0.7531412,0.5137650,0.5212138,0.3888889,0.5769231,0.8360656,0.2432432,0.8000000,0.6448598,0.3902439,0.4750000,0.5500000,0.0140556,1999-02-28
0.6245381,0.5474021,0.6055072,0.5277778,0.7692308,0.7540984,0.9054054,0.6000000,0.7196262,0.5365854,0.6000000,0.6640187,0.0086306,1999-03-31
0.1988174,0.7794688,0.4391683,0.9444444,0.3846154,0.1803279,0.5135135,0.3076923,0.6822430,0.6585366,0.8500000,0.2341121,0.0044112,1999-04-30
0.6526238,0.5317953,0.6119697,0.5555556,0.5000000,0.4098361,0.4054054,0.3076923,0.5887850,0.5121951,0.7750000,0.4990654,0.0972393,1999-05-31
0.4175905,0.5328616,0.3944928,0.4722222,0.4230769,0.3278689,0.3783784,0.4615385,0.4392523,0.4634146,0.4000000,0.3275701,0.0092334,1999-06-30
0.5920177,0.5762893,0.5040742,0.6111111,0.4743590,0.4754098,0.4054054,0.6153846,0.5607477,0.4878049,0.7000000,0.4850467,0.0429891,1999-07-31
0.7036216,0.2373013,0.4919921,0.2777778,0.5769231,0.6721311,0.4459459,0.6615385,0.4299065,0.4390244,0.4000000,0.5981308,0.0351529,1999-08-31
0.5461936,0.4579294,0.3545940,0.6666667,0.5128205,0.6065574,0.3783784,0.5230769,0.5794393,0.5121951,0.5750000,0.6000000,0.0532363,1999-09-30
0.5890613,0.5429430,0.4933970,0.5277778,0.4743590,0.5081967,0.3648649,0.5538462,0.4672897,0.4878049,0.4750000,0.5574766,0.0273168,1999-10-31
0.6127125,0.3825126,0.4711998,0.2777778,0.4487179,0.4426230,0.2972973,0.5692308,0.3364486,0.4146341,0.4500000,0.3827103,0.0303307,1999-11-30
0.7804878,0.4677200,0.4990166,0.2777778,0.3076923,0.3934426,0.1486486,0.4153846,0.0373832,0.2439024,0.3750000,0.5920561,0.0062195,1999-12-31
0.7864006,0.4225475,0.3944928,0.4166667,0.7435897,1.0000000,0.5405405,0.9384615,0.9158879,0.4634146,0.3000000,0.7710280,0.0069929,2000-01-31
0.5861050,0.5758046,0.5692610,0.5833333,0.5512821,0.6229508,0.4864865,0.5076923,0.4766355,0.5121951,0.5250000,0.3803738,0.0035383,2000-02-29
0.5077605,0.5011632,0.4992976,0.6388889,0.6282051,0.5245902,0.5945946,0.7692308,0.7850467,0.5609756,0.4500000,0.5098131,0.0185083,2000-03-31
0.5314117,0.5562233,0.5226187,0.4166667,0.6025641,0.6557377,0.5810811,0.5692308,0.6355140,0.4390244,0.8500000,0.4878505,0.0421149,2000-04-30
0.5188470,0.7053121,0.5799382,0.9444444,0.4102564,0.3114754,0.3918919,0.3692308,0.5794393,0.5853659,0.7500000,0.4429907,0.0985403,2000-05-31
0.4175905,0.4448430,0.3967407,0.3611111,0.4743590,0.3442623,0.4324324,0.4615385,0.4953271,0.5121951,0.4750000,0.2934579,0.1267530,2000-06-30
0.5594974,0.5671772,0.4338297,0.5555556,0.4230769,0.4262295,0.3243243,0.4307692,0.3925234,0.4878049,0.6250000,0.4322430,0.0588122,2000-07-31
0.5594974,0.5187088,0.5363866,0.5555556,0.5256410,0.4590164,0.4729730,0.6615385,0.6635514,0.4878049,0.5250000,0.3766355,0.0357814,2000-08-31
0.6629712,0.5144436,0.4714808,0.4444444,0.4871795,0.7540984,0.3243243,0.5846154,0.4579439,0.4146341,0.4500000,0.7191589,0.0248418,2000-09-30
0.4937177,0.5387747,0.6195561,0.6666667,0.4871795,0.2950820,0.4459459,0.4307692,0.5607477,0.5609756,0.6000000,0.2981308,0.0127506,2000-10-31
0.7900961,0.2208220,0.3031750,0.0277778,0.5000000,0.8032787,0.2297297,0.6923077,0.2149533,0.2926829,0.2000000,0.8336449,0.0139021,2000-11-30
0.6430155,0.4465878,0.4689520,0.3888889,0.4743590,0.4754098,0.3513514,0.5692308,0.3644860,0.4146341,0.5250000,0.5056075,0.0110233,2000-12-31
0.7457502,0.4124661,0.4206238,0.3611111,0.5897436,0.7377049,0.4324324,0.8153846,0.6355140,0.4390244,0.3000000,0.6724299,0.1644114,2001-01-31
0.7620103,0.4876890,0.4506884,0.4444444,0.6025641,0.8196721,0.4054054,0.7076923,0.5514019,0.3658537,0.3000000,0.5046729,0.1560799,2001-02-28
0.6363636,0.5986817,0.6254566,0.7500000,0.6410256,0.6229508,0.6621622,0.7230769,0.6635514,0.5609756,0.6250000,0.4056075,0.1199765,2001-03-31
0.3769401,0.5212292,0.4138803,0.6111111,0.6153846,0.5737705,0.6216216,0.5230769,0.7476636,0.5121951,0.8250000,0.6682243,0.1544136,2001-04-30
0.4648928,0.4897247,0.5037932,0.6388889,0.4230769,0.3278689,0.3918919,0.5230769,0.5700935,0.5365854,0.5750000,0.4009346,0.1655223,2001-05-31
0.4486327,0.7205312,0.5782523,0.6666667,0.3846154,0.2459016,0.3513514,0.2153846,0.4579439,0.5121951,0.6500000,0.2112150,0.0805406,2001-06-30
0.6459719,0.3308453,0.3666760,0.4166667,0.5384615,0.5573770,0.4729730,0.6153846,0.5233645,0.4390244,0.5750000,0.6397196,0.1538582,2001-07-31
0.4124169,0.8989919,0.6740657,0.6388889,0.3846154,0.2786885,0.3378378,0.4615385,0.5233645,0.5121951,0.6500000,0.1098131,0.1499701,2001-08-31
