Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.2612717,0.5416857,0.5245098,0.3714286,0.8023256,0.7744133,0.9130810,0.7009346,0.9482759,0.5744681,0.5714286,0.3336918,0.1777518,1997-02-28
0.5393064,0.5416857,0.5245098,0.3857143,0.6279070,0.6688115,0.5405709,0.7196262,0.3706897,0.2765957,0.4166667,0.7543011,0.2215458,1997-03-31
0.3739884,0.5689756,0.5632353,0.5142857,0.9302326,0.9386828,0.8261620,0.7757009,0.8017241,0.5531915,0.5357143,0.6247312,0.1734583,1997-04-30
0.1791908,0.6636417,0.5650327,0.7285714,0.5697674,0.5280091,0.5654049,0.7476636,0.5517241,0.6808511,0.3214286,0.3315412,0.3228729,1997-05-31
0.5919075,0.5427303,0.5524510,0.3285714,0.3023256,0.2464042,0.3791499,0.4018692,0.4741379,0.5744681,0.7142857,0.7243728,0.4065966,1997-06-30
0.4303468,0.5607495,0.5446078,0.4285714,0.3255814,0.2933384,0.3418989,0.2149533,0.5000000,0.5744681,0.6309524,0.3797491,0.3872758,1997-07-31
0.3338150,0.6380492,0.5240196,0.3857143,0.4302326,0.4224073,0.4039839,0.4392523,0.5086207,0.5106383,0.4761905,0.6369176,0.2807964,1997-08-31
0.3291908,0.4711105,0.5176471,0.4571429,0.5232558,0.5749432,0.4784859,0.6448598,0.5172414,0.2978723,0.3214286,0.6057348,0.2614755,1997-09-30
0.3800578,0.4899132,0.5632353,0.2714286,0.4651163,0.5397426,0.2798139,0.3177570,0.3706897,0.2765957,0.5714286,0.7525090,0.3125685,1997-10-31
0.5104046,0.5030358,0.5359477,0.3000000,0.3255814,0.3050719,0.3046479,0.5046729,0.4224138,0.2765957,0.4285714,0.5469534,0.1884856,1997-11-30
0.6569364,0.4844291,0.3973856,0.1857143,0.3604651,0.4106737,0.2177289,0.4766355,0.3189655,0.3404255,0.3928571,0.7220430,0.1790399,1997-12-31
0.3439306,0.5016648,0.4962418,0.3714286,0.4883721,0.5045420,0.5281539,0.4485981,0.6293103,0.4680851,0.5357143,0.6105735,0.0711491,1998-01-31
0.2586705,0.5374421,0.5173203,0.3000000,0.4534884,0.5045420,0.4039839,0.4953271,0.3448276,0.4042553,0.4761905,0.5555556,0.0924939,1998-02-28
0.6820809,0.5423386,0.5263072,0.4000000,0.8255814,0.8213475,0.7392430,0.7850467,0.6206897,0.2978723,0.3333333,0.7483871,0.1280685,1998-03-31
0.2702312,0.5841875,0.5782680,0.4857143,0.6627907,0.5866768,0.7516600,0.5327103,0.7844828,0.6170213,0.5833333,0.4216846,0.1485762,1998-04-30
0.1924855,0.6499314,0.5535948,0.5857143,0.6860465,0.6805450,0.6399069,0.8411215,0.5517241,0.6382979,0.4285714,0.4593190,0.1602948,1998-05-31
0.6471098,0.4997715,0.5111111,0.5428571,0.3139535,0.2698713,0.2798139,0.3177570,0.4827586,0.5744681,0.6666667,0.5120072,0.3251935,1998-06-30
0.3679191,0.5226219,0.5109477,0.3857143,0.3953488,0.4693414,0.3791499,0.4766355,0.4568966,0.5531915,0.4166667,0.6815412,0.4800475,1998-07-31
0.4132948,0.5568323,0.5802288,0.3428571,0.3837209,0.4224073,0.3170649,0.5327103,0.4482759,0.4893617,0.5952381,0.5652330,0.6236014,1998-08-31
0.2826590,0.7679702,0.5563725,0.4571429,0.2790698,0.1525360,0.3294819,0.4018692,0.5344828,0.5319149,0.5714286,0.2847670,0.6043492,1998-09-30
0.3326590,0.6084742,0.6042484,0.3000000,0.3604651,0.3872067,0.2798139,0.3084112,0.3189655,0.4255319,0.4285714,0.6469534,0.5666820,1998-10-31
0.3930636,0.4548541,0.6112745,0.2428571,0.2558140,0.1642695,0.2798139,0.2242991,0.4051724,0.3829787,0.4880952,0.5329749,0.4955329,1998-11-30
0.5343931,0.5340471,0.5954248,0.1857143,0.3139535,0.3285390,0.2798139,0.4766355,0.1293103,0.2553191,0.4880952,0.5731183,0.4377765,1998-12-31
0.5358382,0.2681987,0.1761438,0.3571429,0.3720930,0.4458743,0.3046479,0.3925234,0.6551724,0.3191489,0.3452381,0.6831541,0.2871223,1999-01-31
0.4734104,0.5083894,0.4836601,0.3428571,0.5116279,0.5632097,0.3915669,0.4392523,0.4913793,0.3191489,0.4523810,0.7390681,0.0863003,1999-02-28
0.3341040,0.5439055,0.5289216,0.4000000,0.8720930,0.9504164,0.8385790,0.9065421,0.6465517,0.6382979,0.6309524,0.9089606,0.1439702,1999-03-31
0.3502890,0.7365019,0.7532680,0.5714286,0.6279070,0.6570780,0.6523240,0.8971963,0.7844828,0.5319149,0.4761905,0.2621864,0.1231109,1999-04-30
0.4167630,0.5434485,0.4130719,0.5571429,0.4069767,0.3168055,0.3543159,0.3271028,0.4396552,0.6170213,0.5119048,0.6318996,0.1995950,1999-05-31
0.4450867,0.5707384,0.6019608,0.4428571,0.3604651,0.3050719,0.3791499,0.2710280,0.4137931,0.5319149,0.5595238,0.4616487,0.1402891,1999-06-30
0.4219653,0.7266436,0.5480392,0.3571429,0.4069767,0.3989402,0.4164009,0.4299065,0.4396552,0.4255319,0.5476190,0.5808244,0.1079776,1999-07-31
0.4216763,0.3351831,0.4063725,0.2857143,0.5116279,0.5162755,0.4412349,0.5794393,0.5517241,0.4255319,0.4642857,0.6467742,0.0818012,1999-08-31
0.4387283,0.4814912,0.5563725,0.6142857,0.5465116,0.6218774,0.4784859,0.5233645,0.4655172,0.4468085,0.4404762,0.6356631,0.0527618,1999-09-30
0.2138728,0.7991121,0.5204248,0.3571429,0.3139535,0.3050719,0.3294819,0.3177570,0.4827586,0.4680851,0.6071429,0.4582437,0.0740301,1999-10-31
0.4635838,0.3673043,0.6055556,0.2571429,0.3604651,0.2933384,0.2425629,0.3271028,0.2327586,0.3191489,0.4642857,0.5532258,0.0531708,1999-11-30
0.5820809,0.4179017,0.4305556,0.2571429,0.1279070,0.1408024,0.0935589,0.5327103,0.0862069,0.3191489,0.1547619,0.5186380,0.0482627,1999-12-31
0.5138728,0.4542665,0.4431373,0.2142857,0.5348837,0.6101438,0.4784859,0.3177570,0.7931034,0.8510638,0.5595238,0.9155914,0.0327247,2000-01-31
0.3234104,0.5324150,0.4950980,0.3571429,0.4534884,0.4458743,0.4536519,0.5887850,0.4655172,0.0000000,0.5357143,0.4426523,0.0383808,2000-02-29
0.4500000,0.5428609,0.5406863,0.3714286,0.6976744,0.7626798,0.6026559,0.5607477,0.7155172,0.4255319,0.5238095,0.6695341,0.0561572,2000-03-31
0.2500000,0.5967879,0.5676471,0.6285714,0.8255814,0.7978804,0.8137450,0.9345794,0.7413793,0.7021277,0.5238095,0.6770609,0.0670654,2000-04-30
0.4254335,0.6942613,0.5699346,0.5428571,0.5581395,0.5866768,0.4909029,0.6355140,0.4568966,0.4893617,0.4880952,0.4969534,0.1603913,2000-05-31
0.4604046,0.5175948,0.6086601,0.3714286,0.3139535,0.2464042,0.3667329,0.2429907,0.5000000,0.4680851,0.6071429,0.5096774,0.0985781,2000-06-30
0.4872832,0.6146765,0.4547386,0.5571429,0.3604651,0.3520061,0.2798139,0.3457944,0.3448276,0.5106383,0.4642857,0.5602151,0.1026181,2000-07-31
0.4684971,0.4712411,0.5718954,0.2142857,0.4883721,0.4576079,0.5529879,0.6074766,0.6034483,0.3829787,0.5000000,0.5078853,0.0682774,2000-08-31
0.3650289,0.5583992,0.6655229,0.2857143,0.5116279,0.6218774,0.3667329,0.4485981,0.4396552,0.4680851,0.3809524,0.7589606,0.0614093,2000-09-30
0.3104046,0.6941307,0.5916667,0.5142857,0.3255814,0.1877366,0.3543159,0.3925234,0.4827586,0.4468085,0.5833333,0.2996416,0.0646413,2000-10-31
0.4670520,0.4874976,0.6990196,0.2428571,0.3255814,0.4224073,0.2301459,0.3831776,0.3879310,0.2765957,0.3690476,0.7587814,0.0808017,2000-11-30
0.4280347,0.4333747,0.1776144,0.3857143,0.3604651,0.2816048,0.3667329,0.3271028,0.4396552,0.4255319,0.5000000,0.4741935,0.0440369,2000-12-31
0.4719653,0.3474571,0.3220588,0.1571429,0.3372093,0.4341408,0.2549799,0.4953271,0.3103448,0.3829787,0.4880952,0.7878136,0.7188995,2001-01-31
0.4829480,0.5326761,0.5150327,0.2857143,0.5116279,0.6453444,0.2673969,0.6822430,0.2672414,0.3404255,0.3095238,0.6682796,0.6718501,2001-02-28
0.3557803,0.6039042,0.5993464,0.5285714,0.7790698,0.6570780,1.0000000,0.5514019,0.9568966,0.6170213,0.7500000,0.5661290,0.7424242,2001-03-31
0.4511561,0.5581380,0.5459150,0.4285714,0.8720930,0.9152157,0.7516600,0.7757009,0.7844828,0.4042553,0.5119048,0.7469534,0.8321372,2001-04-30
0.2913295,0.6622707,0.5629085,0.6571429,0.4534884,0.4928085,0.4164009,0.9158879,0.2586207,0.5531915,0.3571429,0.4315412,0.8006380,2001-05-31
0.5372832,0.5023177,0.4880719,0.4285714,0.2674419,0.2112036,0.3543159,0.1588785,0.6551724,0.5744681,0.5952381,0.3177419,0.8373206,2001-06-30
