Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.3931741,0.5420820,0.4794383,0.6000000,0.7045455,0.5828221,0.7851852,0.6346154,0.7302326,0.6440678,0.6296296,0.0801444,0.5379372,1997-02-28
0.5485779,0.5592433,0.5714644,0.3333333,0.7272727,0.8466258,0.5333333,0.7884615,0.4325581,0.4237288,0.3209877,0.9046931,0.7961852,1997-03-31
0.4186576,0.5928296,0.5536610,0.6000000,0.8181818,0.6993865,0.7851852,0.5769231,0.8139535,0.5084746,0.7037037,0.4678700,0.3521512,1997-04-30
0.6004551,0.5550238,0.5201856,0.6500000,0.7196970,0.7300613,0.6444444,0.8461538,0.5395349,0.4237288,0.3827160,0.4978339,0.5831579,1997-05-31
0.5601820,0.5259685,0.5132899,0.4333333,0.6818182,0.6625767,0.6148148,0.5480769,0.6232558,0.3559322,0.4567901,0.5344765,0.5896958,1997-06-30
0.4969283,0.5873074,0.5075226,0.6000000,0.4696970,0.4110429,0.4666667,0.6153846,0.4837209,0.4745763,0.3827160,0.3074007,0.5924199,1997-07-31
0.6728100,0.5231366,0.4899699,0.5833333,0.5681818,0.5460123,0.5407407,0.6394231,0.5069767,0.4237288,0.4814815,0.4095668,0.6005923,1997-08-31
0.0022753,0.7556638,0.8005266,0.7666667,0.1439394,0.1349693,0.1629630,0.4375000,0.3255814,0.9491525,0.9506173,0.3075812,0.5177786,1997-09-30
0.4450512,0.5396466,0.4984955,0.5666667,0.3333333,0.3251534,0.3333333,0.1394231,0.4000000,0.6610169,0.7407407,0.6070397,0.6616130,1997-10-31
0.4812287,0.4847361,0.5880140,0.4666667,0.3257576,0.3067485,0.3111111,0.5721154,0.4093023,0.5254237,0.3086420,0.3167870,0.5820682,1997-11-30
0.4744027,0.4881060,0.2753260,0.4833333,0.3636364,0.3803681,0.3481481,0.3269231,0.2883721,0.4237288,0.6913580,0.5500000,0.6174820,1997-12-31
0.4409556,0.4956672,0.4647693,0.3166667,0.5303030,0.6196319,0.4370370,0.8221154,0.4790698,0.5593220,0.4320988,0.4803249,0.5811136,1998-01-31
0.4580205,0.5319721,0.4701605,0.2833333,0.5681818,0.6257669,0.5037037,0.5865385,0.5348837,0.5593220,0.6296296,0.5019856,0.5008310,1998-02-28
0.5419795,0.5707975,0.5481444,0.7666667,0.7045455,0.6871166,0.6148148,0.8173077,0.5534884,0.5254237,0.2839506,0.5958484,0.6116485,1998-03-31
0.5017065,0.5389669,0.4988716,0.3833333,0.8409091,0.7423313,0.8074074,0.5865385,0.7162791,0.3389831,0.7407407,0.3805054,0.5901306,1998-04-30
0.6357224,0.6265859,0.6164744,0.8000000,0.6212121,0.5766871,0.5629630,0.8221154,0.5255814,0.4915254,0.3086420,0.3880866,0.6896511,1998-05-31
0.4145620,0.4959787,0.4602558,0.3833333,0.6742424,0.6625767,0.5925926,0.5432692,0.6186047,0.4067797,0.4567901,0.6092058,0.6686711,1998-06-30
0.3747440,0.5631797,0.5436309,0.5666667,0.3181818,0.3435583,0.3407407,0.4134615,0.3674419,0.6610169,0.6913580,0.5454874,0.7095553,1998-07-31
0.4525597,0.5717886,0.5550401,0.5833333,0.4318182,0.3926380,0.3925926,0.5048077,0.5395349,0.5254237,0.6419753,0.2971119,0.6697470,1998-08-31
0.4514221,0.6664024,0.5614343,0.8666667,0.3863636,0.3742331,0.4370370,0.5480769,0.4558140,0.5423729,0.4320988,0.1613718,0.4196007,1998-09-30
0.3706485,0.8593679,1.0000000,0.5000000,0.1893939,0.0858896,0.2296296,0.2163462,0.2744186,0.7627119,0.7654321,0.4081227,0.8295179,1998-10-31
0.4277588,0.7660002,0.3568205,0.6833333,0.3409091,0.2515337,0.3925926,0.3173077,0.4465116,0.6610169,0.7407407,0.2462094,0.2851134,1998-11-30
0.6195677,0.1030811,0.3662237,0.3833333,0.2878788,0.2883436,0.2518519,0.6394231,0.1906977,0.3898305,0.4814815,0.4209386,0.3227699,1998-12-31
0.4568828,0.3947950,0.3756269,0.4333333,0.4090909,0.4478528,0.3851852,0.3317308,0.4558140,0.4915254,0.3580247,0.4648014,0.5855921,1999-01-31
0.4006826,0.5436112,0.5180542,0.5666667,0.5606061,0.6380368,0.4592593,0.7115385,0.6279070,0.4915254,0.6049383,0.6463899,0.6012156,1999-02-28
0.4762230,0.5148958,0.4401956,0.1000000,0.8939394,0.9570552,0.7851852,0.8269231,0.6418605,0.5423729,0.6049383,0.9261733,0.6123922,1999-03-31
0.4914676,0.6298142,0.6361585,0.7333333,0.6742424,0.5766871,0.6444444,0.7740385,0.5813953,0.4915254,0.3580247,0.2494585,0.5740723,1999-04-30
0.7376564,0.4916176,0.3994483,0.5666667,0.5757576,0.5828221,0.5259259,0.4759615,0.6465116,0.4915254,0.7037037,0.5395307,0.5942967,1999-05-31
0.3608646,0.5359085,0.5025075,0.3500000,0.7045455,0.6809816,0.6148148,0.7403846,0.5255814,0.2372881,0.1481481,0.4429603,0.5144635,1999-06-30
0.6955631,0.5454237,0.4872116,0.5500000,0.6212121,0.6319018,0.5851852,0.6346154,0.5162791,0.4067797,0.4567901,0.4974729,0.5911034,1999-07-31
0.4327645,0.5607442,0.5433801,0.5166667,0.4393939,0.4907975,0.3481481,0.6394231,0.4046512,0.5254237,0.5061728,0.5608303,0.5793945,1999-08-31
0.1660978,0.6599173,0.6207372,1.0000000,0.2575758,0.2392638,0.3037037,0.3125000,0.4046512,0.7288136,0.7777778,0.1949458,0.5847167,1999-09-30
0.3073948,0.8077424,0.6377884,0.6666667,0.2045455,0.0797546,0.3037037,0.1778846,0.4000000,0.8983051,1.0000000,0.2619134,0.5602345,1999-10-31
0.4962457,0.5087222,0.6692578,0.4500000,0.3636364,0.2944785,0.3851852,0.4038462,0.3255814,0.5423729,0.4444444,0.3258123,0.5815234,1999-11-30
0.5756542,0.6103874,0.6727683,0.5833333,0.0000000,0.0000000,0.0222222,0.2788462,0.0000000,0.4406780,0.4074074,0.2122744,0.6230367,1999-12-31
0.3713311,0.2630551,0.0856319,0.3000000,0.7272727,0.8220859,0.6148148,0.8076923,0.8139535,0.5593220,0.7037037,0.7879061,0.5538394,2000-01-31
