Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.5074803,0.6233933,0.5110733,0.5454545,1.0000000,0.6375000,0.7205882,0.8727273,0.6421569,0.5769231,0.4255319,0.3537572,0.0858207,1997-02-28
0.6700787,0.6233933,0.5110733,0.5454545,0.6190476,0.5125000,0.5294118,0.6909091,0.4705882,0.3461538,0.4680851,0.7997110,0.0306807,1997-03-31
0.4110236,0.6395887,0.5462805,0.6969697,0.8333333,0.6375000,0.5808824,0.7818182,0.6519608,0.5769231,0.5106383,0.3560694,0.0915248,1997-04-30
0.1492126,0.7029991,0.6269165,0.7878788,0.4523810,0.4625000,0.5661765,0.6181818,0.5441176,0.6923077,0.4255319,0.4057803,0.2398323,1997-05-31
0.6236220,0.7442159,0.5491198,0.6666667,0.3095238,0.2625000,0.5000000,0.4181818,0.4950980,0.5769231,0.6808511,0.4641618,0.2398323,1997-06-30
0.3610236,0.8902314,0.5939807,0.8787879,0.2380952,0.2125000,0.5220588,0.2363636,0.5049020,0.7692308,0.6595745,0.3026012,0.7950348,1997-07-31
0.5161417,0.4915167,0.5340716,0.3333333,0.5714286,0.4875000,0.5294118,0.4181818,0.5637255,0.8846154,0.4468085,0.6346821,0.7950348,1997-08-31
0.3740157,0.4470437,0.3356048,0.5454545,0.4285714,0.4750000,0.5220588,0.6909091,0.5196078,0.1153846,0.4680851,0.4563584,0.5782777,1997-09-30
0.5000000,0.6470437,0.5726860,0.6060606,0.5000000,0.4125000,0.5220588,0.4727273,0.5490196,0.5384615,0.4680851,0.6179191,0.5421515,1997-10-31
0.5980315,0.5805484,0.5161840,0.1212121,0.4761905,0.3375000,0.4926471,0.2181818,0.4411765,0.3846154,0.3829787,0.6817919,0.5953901,1997-11-30
0.6940945,0.4694087,0.3287905,0.3939394,0.3809524,0.4750000,0.4632353,0.4909091,0.4901961,0.4230769,0.2765957,0.5869942,0.3425068,1997-12-31
0.5385827,0.6213368,0.5070982,0.4242424,0.5952381,0.5625000,0.5367647,1.0000000,0.5147059,0.4615385,0.4255319,0.6835260,0.4045617,1998-01-31
0.3066929,0.6233933,0.5110733,0.5454545,0.5238095,0.4375000,0.5367647,0.2363636,0.6078431,0.5384615,0.6382979,0.4057803,0.3819913,1998-02-28
0.6673228,0.6233933,0.5110733,0.5454545,0.7619048,0.5750000,0.6176471,0.6727273,0.5196078,0.3461538,0.3829787,0.6569364,0.4459406,1998-03-31
0.4157480,0.6233933,0.5110733,0.5454545,0.7142857,0.4750000,0.5882353,0.7090909,0.6127451,0.5384615,0.6382979,0.3893064,0.4779152,1998-04-30
0.1413386,0.7400171,0.6416809,0.8484848,0.6190476,0.5250000,0.5808824,0.7454545,0.5000000,0.6923077,0.4042553,0.4239884,0.3518976,1998-05-31
0.5299213,0.7769494,0.5891539,0.9696970,0.0000000,0.1125000,0.4338235,0.0909091,0.5098039,0.7692308,0.6595745,0.3011561,0.3180421,1998-06-30
0.4460630,0.5607541,0.4545713,0.5757576,0.4523810,0.3875000,0.5147059,0.3272727,0.5245098,0.5384615,0.6170213,0.6309249,0.3180421,1998-07-31
0.4259843,0.5959726,0.4554231,0.5151515,0.3095238,0.3625000,0.4485294,0.5454545,0.5098039,0.6538462,0.5744681,0.4369942,0.4685109,1998-08-31
0.4460630,0.7704370,0.5530948,0.5757576,0.3571429,0.3500000,0.4852941,0.4000000,0.4705882,0.5769231,0.4255319,0.3254335,0.1976670,1998-09-30
0.4728346,0.5917738,0.5210108,0.5757576,0.4523810,0.3750000,0.5441176,0.4727273,0.5882353,0.6153846,0.5957447,0.5109827,0.1017431,1998-10-31
0.5098425,0.5438732,0.5411698,0.4242424,0.4761905,0.4000000,0.5000000,0.4363636,0.5098039,0.8846154,0.4893617,0.6312139,0.1355986,1998-11-30
0.5358268,0.4646958,0.4222033,0.2424242,0.1666667,0.2500000,0.4117647,0.3636364,0.3137255,0.0000000,0.3404255,0.5144509,0.1355986,1998-12-31
0.5842520,0.5848329,0.4548552,0.4545455,0.5952381,0.6000000,0.5441176,0.6363636,0.5490196,0.4615385,0.2127660,0.5771676,0.0523434,1999-01-31
0.5421260,0.6283633,0.5496877,0.4545455,0.4761905,0.4625000,0.5220588,0.5272727,0.6029412,0.4230769,0.5319149,0.5887283,0.0448821,1999-02-28
0.4866142,0.6007712,0.4406587,0.4848485,0.9523810,0.6750000,0.6323529,0.8545455,0.6127451,0.6153846,0.4468085,0.7453757,0.0318249,1999-03-31
0.2807087,0.9698372,1.0000000,1.0000000,0.4047619,0.3375000,0.5514706,0.4363636,0.5490196,0.7307692,0.7021277,0.2023121,0.0803231,1999-04-30
0.5228346,0.5532991,0.1558773,0.6969697,0.4761905,0.3625000,0.5147059,0.3454545,0.5441176,0.4230769,0.5319149,0.5369942,0.0598046,1999-05-31
0.4173228,0.7120823,0.6817149,0.4848485,0.2619048,0.3375000,0.4852941,0.4363636,0.4852941,0.6538462,0.4680851,0.4433526,0.1194948,1999-06-30
0.4637795,0.5511568,0.3992050,0.6060606,0.4523810,0.4000000,0.4779412,0.4545455,0.4950980,0.5384615,0.5319149,0.5263006,0.0579393,1999-07-31
0.5070866,0.5124250,0.4457694,0.4545455,0.4761905,0.4875000,0.5441176,0.5636364,0.5000000,0.5384615,0.4680851,0.5497110,0.0448821,1999-08-31
0.4366142,0.6540703,0.4971607,0.6060606,0.5476190,0.4250000,0.5220588,0.5818182,0.5588235,0.4615385,0.4893617,0.5684971,0.0411515,1999-09-30
0.4283465,0.6896315,0.6022147,0.6666667,0.3809524,0.3750000,0.5147059,0.4727273,0.5735294,0.6153846,0.5106383,0.4309249,0.0131717,1999-10-31
0.5066929,0.5185947,0.4508802,0.2424242,0.4523810,0.4000000,0.5000000,0.4727273,0.4901961,0.5384615,0.4680851,0.5968208,0.0169023,1999-11-30
0.5539370,0.5852614,0.6712095,0.3939394,0.0238095,0.1250000,0.3970588,0.2727273,0.2303922,0.2692308,0.3829787,0.4699422,0.0001145,1999-12-31
