Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.3880551,0.5115391,0.4887218,0.5964912,0.4513274,0.3812261,0.5322896,0.5305677,0.7455357,0.5180723,0.6776316,0.3607774,0.0008229,1997-02-28
0.4762634,0.6760335,0.6242634,0.9005848,0.7566372,0.6896552,0.7632094,0.4541485,0.7202381,0.6746988,0.4276316,0.5170789,0.0000000,1997-03-31
0.6202144,0.7823344,0.6496647,0.6900585,0.7477876,0.7681992,0.7299413,0.7620087,0.6726190,0.4216867,0.5921053,0.8332155,0.0016458,1997-04-30
0.5206738,0.3937407,0.6106482,0.2807018,0.7212389,0.6934866,0.7005871,0.6899563,0.7976190,0.2771084,0.2697368,0.7762073,0.0000000,1997-05-31
0.8970904,0.6652001,0.5410486,0.8070175,0.6061947,0.5900383,0.6281800,0.6943231,0.6651786,0.4337349,0.2960526,0.3319199,0.0000000,1997-06-30
0.1718224,0.6715922,0.5025401,0.7719298,0.4491150,0.3448276,0.5518591,0.2641921,0.6413690,0.6385542,0.6776316,0.2292108,0.0000000,1997-07-31
0.6202144,0.4411838,0.5546637,0.4210526,0.5176991,0.5632184,0.5127202,0.5655022,0.5476190,0.4096386,0.2039474,0.7593640,0.0000000,1997-08-31
0.3656968,0.4821102,0.4933957,0.4795322,0.3053097,0.2816092,0.3796477,0.3362445,0.2886905,0.4819277,0.5328947,0.3965842,0.0016458,1997-09-30
0.6177642,0.5231612,0.5871774,0.4210526,0.4911504,0.5268199,0.4970646,0.3842795,0.5208333,0.3975904,0.1973684,0.6696113,0.0000000,1997-10-31
0.6174579,0.4602358,0.4843528,0.4327485,0.3119469,0.3275862,0.3463796,0.5043668,0.4806548,0.3132530,0.3815789,0.3611307,0.0000000,1997-11-30
0.3454824,0.5488544,0.5105670,0.6666667,0.2367257,0.1532567,0.3718200,0.1615721,0.4985119,0.4939759,0.4736842,0.1738516,0.0000000,1997-12-31
0.5660031,0.5428773,0.5181874,0.6432749,0.4269912,0.4310345,0.4540117,0.6179039,0.4672619,0.4096386,0.5460526,0.5820966,0.0000000,1998-01-31
0.4238897,0.5654989,0.5574070,0.5497076,0.6039823,0.5900383,0.6242661,0.5764192,0.6235119,0.5301205,0.4868421,0.5034158,0.0000000,1998-02-28
0.4716692,0.6048481,0.6427555,0.7953216,0.6238938,0.5498084,0.6516634,0.5218341,0.6592262,0.6506024,0.4868421,0.3916372,0.0000000,1998-03-31
0.7957121,0.7003155,0.6362528,0.3742690,0.8650442,0.8505747,0.8199609,0.7423581,0.9419643,0.3253012,0.3092105,0.8155477,0.0000000,1998-04-30
0.3353752,0.6935082,0.5709205,0.8888889,0.6216814,0.6015326,0.6262231,0.4716157,0.6220238,0.4337349,0.3684211,0.6632509,0.0000000,1998-05-31
0.6526799,0.6813465,0.6001829,0.6549708,0.6061947,0.5421456,0.6594912,0.4978166,0.7202381,0.5060241,0.6907895,0.3839812,0.0065426,1998-06-30
