Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.5448864,0.4091571,0.3519149,0.4655172,0.4885246,0.3966480,0.5497076,0.5260771,0.7238307,0.3428571,0.5391304,0.4183370,0.4461538,1997-02-28
0.4301136,0.6520600,0.5812766,1.0000000,0.7672131,0.6843575,0.8011696,0.5056689,0.6436526,0.8857143,0.5217391,0.4914625,0.4461538,1997-03-31
0.8045455,0.5513175,0.5438298,0.4137931,0.7573770,0.7849162,0.6988304,0.5941043,0.6726058,0.2285714,0.4434783,0.9669636,0.4461538,1997-04-30
0.3846591,0.4424225,0.5123404,0.4137931,0.7147541,0.6815642,0.6871345,0.5668934,0.6570156,0.2857143,0.3652174,0.7472160,0.4461538,1997-05-31
0.7488636,0.6166109,0.4529787,0.6206897,0.5672131,0.5251397,0.6257310,0.4920635,0.6458797,0.6000000,0.5652174,0.3329621,0.4461538,1997-06-30
0.1852273,0.6346630,0.6355319,0.9827586,0.4491803,0.3938547,0.5614035,0.3582766,0.5857461,0.8857143,0.5652174,0.2899035,0.4461538,1997-07-31
0.7823864,0.3927792,0.2753191,0.3275862,0.5311475,0.5586592,0.5146199,0.5396825,0.4855234,0.3428571,0.1478261,0.7334818,0.4461538,1997-08-31
0.4426136,0.2590625,0.5534043,0.3965517,0.3147541,0.2877095,0.3918129,0.3356009,0.3140312,0.4000000,0.4000000,0.4365256,0.4461538,1997-09-30
0.5607955,0.4375455,0.2972340,0.4137931,0.4819672,0.4832402,0.5263158,0.4195011,0.4944321,0.4571429,0.4869565,0.6607275,0.4786982,1997-10-31
0.5630682,0.3108167,0.2910638,0.3448276,0.2721311,0.2932961,0.3128655,0.4126984,0.3741648,0.3714286,0.3739130,0.3556050,0.4136095,1997-11-30
