Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.4308862,0.3617212,0.2391178,0.4942529,0.4310722,0.3549550,0.5399160,0.4883721,0.6787330,0.5394737,0.7181208,0.2595415,0.5650834,1997-02-28
0.6329365,0.7070441,0.6794351,0.8045977,0.7592998,0.7009009,0.8151261,0.5978112,0.6681750,0.6315789,0.5234899,0.5789822,0.5650834,1997-03-31
0.6144180,0.5234903,0.5577481,0.6091954,0.6958425,0.7315315,0.7016807,0.5184679,0.6244344,0.4078947,0.4899329,0.8699973,0.5650834,1997-04-30
0.3134921,0.5163684,0.4873283,0.2873563,0.6739606,0.6612613,0.6827731,0.5389877,0.6168929,0.3552632,0.3557047,0.6849324,0.5650834,1997-05-31
0.6557540,0.5775331,0.5689689,0.7816092,0.5229759,0.4846847,0.6176471,0.4870041,0.6063348,0.5789474,0.6174497,0.3138086,0.5650834,1997-06-30
0.2582672,0.8595368,0.6449990,0.9080460,0.4332604,0.4000000,0.5588235,0.3625171,0.6244344,0.7105263,0.5302013,0.3553538,0.5650834,1997-07-31
0.6471561,0.3195882,0.4171020,0.3103448,0.4726477,0.5387387,0.4957983,0.5212038,0.4374057,0.4210526,0.2013423,0.7350252,0.5650834,1997-08-31
0.3753307,0.1831947,0.2010060,0.4942529,0.2647702,0.2630631,0.3508403,0.3816689,0.2911011,0.4736842,0.6241611,0.3251391,0.5650834,1997-09-30
0.5099206,0.5175654,0.6593151,0.4137931,0.4288840,0.4630631,0.4978992,0.3775650,0.4223228,0.4342105,0.3758389,0.6340445,0.5650834,1997-10-31
0.7212302,0.2855946,0.2100987,0.3218391,0.2341357,0.2810811,0.2836134,0.4213406,0.4072398,0.3026316,0.4630872,0.4211503,0.5650834,1997-11-30
0.2506614,0.5349811,0.5442058,0.7356322,0.2691466,0.1513514,0.3760504,0.2954856,0.4238311,0.5263158,0.5570470,0.2124304,0.5650834,1997-12-31
0.4837963,0.4857861,0.4848133,0.5402299,0.2954048,0.3657658,0.3970588,0.4870041,0.4147813,0.5000000,0.4697987,0.4456003,0.5650834,1998-01-31
0.5730820,0.5053564,0.4956471,0.5057471,0.6061269,0.6468468,0.6155462,0.5444596,0.5444947,0.4605263,0.4966443,0.6221177,0.5754764,1998-02-28
0.5367063,0.5570052,0.5515574,0.7356322,0.7133479,0.6450450,0.7142857,0.4924761,0.6334842,0.6315789,0.3892617,0.4408296,0.5546904,1998-03-31
0.7585979,0.5460530,0.4948733,0.5057471,0.7177243,0.7081081,0.7836134,0.6333789,0.7390649,0.3289474,0.2684564,0.7964484,0.5650834,1998-04-30
0.3905423,0.5152313,0.4944864,0.7701149,0.5798687,0.5387387,0.6659664,0.4514364,0.6168929,0.5789474,0.8053691,0.4622979,0.5650834,1998-05-31
0.2619048,1.0000000,0.7763591,0.7241379,0.5229759,0.4756757,0.6323529,0.4076607,0.7164404,0.6447368,0.6040268,0.3527697,0.5650834,1998-06-30
0.5519180,0.4140882,0.4956471,0.5287356,0.4792123,0.4738739,0.5504202,0.4377565,0.5550528,0.4078947,0.5100671,0.6950702,0.5650834,1998-07-31
0.6524471,0.1195763,0.2764558,0.3793103,0.4748359,0.5369369,0.4810924,0.4719562,0.4389140,0.3947368,0.2550336,0.8268619,0.5650834,1998-08-31
0.4672619,0.4884194,0.5881215,0.2758621,0.3041575,0.3945946,0.3487395,0.3748290,0.1674208,0.4605263,0.0805369,0.3760270,0.5650834,1998-09-30
0.5892857,0.4019391,0.2998646,0.6206897,0.2625821,0.3225225,0.3130252,0.3857729,0.4434389,0.2763158,0.5570470,0.5004638,0.5650834,1998-10-31
0.3323413,0.4550242,0.4610176,0.4482759,0.3194748,0.2810811,0.3109244,0.3228454,0.3981900,0.4473684,0.4630872,0.2841903,0.5650834,1998-11-30
0.5095899,0.4649590,0.4157477,0.5747126,0.2210066,0.3153153,0.3823529,0.4760602,0.3453997,0.4078947,0.4832215,0.5113968,0.5650834,1998-12-31
0.3382937,0.5553893,0.5732250,0.6666667,0.3544858,0.2828829,0.4789916,0.3351573,0.4720965,0.7105263,0.5637584,0.2992976,0.5650834,1999-01-31
0.5922619,0.4453887,0.4219385,0.4597701,0.6126915,0.5477477,0.6890756,0.5636115,0.5580694,0.3684211,0.4563758,0.4481845,0.5650834,1999-02-28
0.8025794,0.5221138,0.5498162,0.5977011,0.6280088,0.6468468,0.6512605,0.6005472,0.7647059,0.5131579,0.4899329,0.5714286,0.5650834,1999-03-31
0.2304894,0.8114788,0.6827239,0.9540230,0.7024070,0.6054054,0.7815126,0.4637483,0.6455505,0.6842105,0.6912752,0.5070236,0.5650834,1999-04-30
0.4649471,0.5031420,0.5633585,0.6666667,0.4770241,0.4648649,0.5567227,0.4281806,0.5294118,0.5263158,0.2416107,0.4575272,0.6099734,1999-05-31
0.4871032,0.5100844,0.5072548,0.5747126,0.7024070,0.6810811,0.7542017,0.5294118,0.8461538,0.5263158,0.8255034,0.7950570,0.5201935,1999-06-30
0.3799603,0.6008139,0.3753144,0.5862069,0.4595186,0.4612613,0.5294118,0.3953488,0.5309201,0.5394737,0.6174497,0.4265174,0.5650834,1999-07-31
0.4196429,0.5921958,0.5890888,0.6896552,0.3741794,0.3963964,0.4600840,0.4131327,0.4449472,0.5789474,0.3489933,0.4553406,0.5650834,1999-08-31
0.6468254,0.1028188,0.3192107,0.0000000,0.4048140,0.4792793,0.4180672,0.4459644,0.3031674,0.3157895,0.2348993,0.7714021,0.5650834,1999-09-30
0.3148148,0.5125382,0.4557942,0.7816092,0.2822757,0.2252252,0.4138655,0.3844049,0.2820513,0.5394737,0.3422819,0.1476279,0.5650834,1999-10-31
0.4239418,0.4315040,0.4919714,0.3793103,0.2166302,0.2738739,0.2815126,0.2818057,0.4313725,0.4342105,0.6711409,0.4702491,0.5650834,1999-11-30
0.6240079,0.4428152,0.4126524,0.3793103,0.0328228,0.2486486,0.0000000,0.2503420,0.0965309,0.1842105,0.0805369,0.7638484,0.5650834,1999-12-31
0.5257937,0.4811180,0.4840395,0.6551724,0.6498906,0.4612613,0.8151261,0.5923393,0.6892911,0.5789474,0.9395973,0.2048768,0.5650834,2000-01-31
0.2652116,0.5145730,0.4697234,0.6781609,0.3326039,0.2828829,0.4411765,0.3871409,0.5444947,0.6447368,0.4966443,0.2464219,0.5650834,2000-02-29
0.6653439,0.5225328,0.5335655,0.5977011,0.7855580,0.7639640,0.8151261,0.5882353,0.6395173,0.6184211,0.2416107,0.6097933,0.5650834,2000-03-31
