Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.5356921,0.5625400,0.5822844,0.6486486,0.8648649,0.6349206,0.9090909,0.6666667,0.7878788,0.5000000,0.4583333,0.4056738,0.0416245,1997-02-28
0.8677840,0.4715534,0.4955711,0.4864865,0.6216216,0.6666667,0.5681818,0.7777778,0.4949495,0.4545455,0.4861111,0.9507092,0.0416245,1997-03-31
0.4500310,0.6263584,0.6552448,0.7297297,0.7567568,0.6666667,0.7272727,0.7777778,0.7575758,0.3636364,0.4166667,0.4524823,0.0558920,1997-04-30
0.3171943,0.6271042,0.5053613,0.7567568,0.3783784,0.3333333,0.6363636,0.3333333,0.5151515,0.6363636,0.5277778,0.3911348,0.0802307,1997-05-31
0.6523898,0.5824632,0.5062937,0.6216216,0.4324324,0.3333333,0.5681818,0.2666667,0.6161616,0.5454545,0.5555556,0.6244681,0.0932393,1997-06-30
0.5040348,0.6127211,0.4923077,0.6486486,0.1081081,0.2063492,0.4318182,0.2666667,0.5151515,0.2272727,0.5833333,0.4138298,0.5493798,1997-07-31
0.6952204,0.4602600,0.6244755,0.4594595,0.5675676,0.5396825,0.5681818,0.4222222,0.6161616,0.4090909,0.5138889,0.7741135,0.5779148,1997-08-31
0.5599007,0.4164713,0.4801865,0.3783784,0.4594595,0.4920635,0.6590909,0.6444444,0.6363636,0.4090909,0.4166667,0.5290780,0.8666219,1997-09-30
0.6033520,0.5037290,0.4939394,0.7297297,0.3513514,0.4285714,0.4545455,0.2222222,0.5454545,0.4090909,0.4722222,0.7684397,0.5187466,1997-10-31
0.7759156,0.4047518,0.6305361,0.1621622,0.4864865,0.3968254,0.5909091,0.3333333,0.6363636,0.4545455,0.5138889,0.7996454,0.3072518,1997-11-30
0.9695841,0.2637971,0.2855478,0.4324324,0.3243243,0.4444444,0.3863636,0.4000000,0.5454545,0.1818182,0.3611111,0.7152482,0.2556370,1997-12-31
0.6033520,0.4937140,0.5137529,0.4054054,0.4864865,0.6507937,0.4772727,1.0000000,0.4949495,0.2727273,0.3611111,0.8560284,0.1342873,1998-01-31
0.4506518,0.5021308,0.5221445,0.5405405,0.5135135,0.4444444,0.6363636,0.4444444,0.6969697,0.3181818,0.5694444,0.4202128,0.0881714,1998-02-28
0.9062694,0.5021308,0.5221445,0.5405405,0.8108108,0.7142857,0.7727273,0.6000000,0.6363636,0.5909091,0.4583333,0.7517730,0.1136998,1998-03-31
0.4953445,0.5117196,0.5431235,0.5675676,0.6756757,0.5396825,0.7500000,0.6222222,0.7272727,0.5454545,0.5000000,0.4599291,0.0383498,1998-04-30
0.0000000,0.5805455,0.5818182,0.8108108,0.5135135,0.4603175,0.7045455,0.6000000,0.5555556,0.5909091,0.4722222,0.4914894,0.0634665,1998-05-31
0.8044693,0.7181973,0.5869464,0.7837838,0.0000000,0.1269841,0.3181818,0.1111111,0.3939394,0.4545455,0.5555556,0.4067376,0.0749955,1998-06-30
0.6070764,0.4867888,0.6167832,0.4864865,0.4054054,0.3492063,0.5454545,0.1777778,0.6666667,0.3181818,0.6111111,0.7148936,0.1384047,1998-07-31
0.5152079,0.5914127,0.5878788,0.7297297,0.2972973,0.3492063,0.3863636,0.2444444,0.5858586,0.2272727,0.5000000,0.5617021,0.1585804,1998-08-31
0.5332092,0.5720222,0.3636364,0.5675676,0.2972973,0.3809524,0.4772727,0.4444444,0.5050505,0.4545455,0.5138889,0.4904255,0.1038179,1998-09-30
0.5313470,0.8519071,0.6174825,0.6216216,0.2972973,0.2539683,0.5227273,0.2000000,0.6262626,0.5000000,0.5138889,0.4936170,0.1828736,1998-10-31
0.7579143,0.0096953,0.3848485,0.2432432,0.4864865,0.4920635,0.5681818,0.3777778,0.5959596,0.4090909,0.4583333,0.8478723,0.1388165,1998-11-30
0.6716325,0.3431707,0.5172494,0.4864865,0.0810811,0.2063492,0.2954545,0.4888889,0.1919192,0.4545455,0.5000000,0.5546099,0.1141116,1998-12-31
0.6654252,0.4790113,0.4948718,0.4594595,0.5675676,0.5714286,0.5909091,0.4666667,0.7676768,0.0909091,0.3611111,0.7148936,0.0747356,1999-01-31
0.6809435,0.4447049,0.5701632,0.3243243,0.4324324,0.5555556,0.4318182,0.3555556,0.6363636,0.4090909,0.4583333,0.7209220,0.0424319,1999-02-28
0.5766605,0.5189644,0.4885781,0.6486486,0.8918919,0.7777778,0.8863636,0.9333333,0.7878788,0.4090909,0.5000000,0.7865248,0.0392015,1999-03-31
0.3724395,0.8952696,0.6284382,0.9729730,0.3513514,0.3174603,0.5681818,0.4666667,0.5353535,0.7272727,0.5833333,0.3049645,0.0836191,1999-04-30
0.5996276,0.3057746,0.4668998,0.4324324,0.5135135,0.4761905,0.6363636,0.3111111,0.6464646,0.4090909,0.4305556,0.6804965,0.0973481,1999-05-31
0.6381130,0.7514383,0.5762238,0.4864865,0.1891892,0.2857143,0.3409091,0.2666667,0.4949495,0.5000000,0.3611111,0.5482270,0.0848305,1999-06-30
0.6058349,0.4066695,0.4720280,0.5945946,0.4324324,0.3809524,0.5227273,0.3777778,0.6161616,0.4545455,0.6666667,0.6195035,0.0755432,1999-07-31
0.6244569,0.4110377,0.4993007,0.5135135,0.4594595,0.5079365,0.6136364,0.5111111,0.5656566,0.2727273,0.5000000,0.7067376,0.0509116,1999-08-31
0.6132837,0.4649478,0.5156177,0.4594595,0.5675676,0.4761905,0.6136364,0.5777778,0.6262626,0.5000000,0.4583333,0.6652482,0.0343560,1999-09-30
0.4698945,0.7037076,0.6634033,0.7567568,0.2432432,0.3492063,0.4545455,0.2666667,0.6161616,0.4090909,0.5416667,0.4765957,0.0327408,1999-10-31
0.6331471,0.3914341,0.3759907,0.5135135,0.3513514,0.3809524,0.5000000,0.3333333,0.5959596,0.2727273,0.4722222,0.6546099,0.0303180,1999-11-30
0.8646803,0.3500959,0.5962704,0.2702703,0.0000000,0.0793651,0.1363636,0.1333333,0.0000000,0.3636364,0.4027778,0.7085106,0.0157814,1999-12-31
0.6908752,0.2732794,0.3655012,0.2432432,0.7837838,0.7936508,0.7727273,0.6444444,1.0000000,0.4090909,0.4722222,0.7755319,0.0056235,2000-01-31
0.5729361,0.4936075,0.5051282,0.5135135,0.5135135,0.5555556,0.6363636,0.7777778,0.5353535,0.4090909,0.3611111,0.4882979,0.0048233,2000-02-29
0.7070143,0.5775623,0.6214452,0.6756757,0.6756757,0.6349206,0.7045455,0.6444444,0.7272727,0.4090909,0.5833333,0.7868794,0.0104246,2000-03-31
0.3711980,0.5892819,0.4937063,0.8108108,0.5945946,0.5396825,0.6363636,0.4666667,0.6363636,0.5000000,0.4444444,0.5656028,0.0172262,2000-04-30
0.4345127,0.7542084,0.6268065,0.5405405,0.4324324,0.3809524,0.6590909,0.3777778,0.5959596,0.5454545,0.5555556,0.4578014,0.0400315,2000-05-31
0.5903166,0.3855743,0.4321678,0.7297297,0.1891892,0.2539683,0.3863636,0.2222222,0.5555556,0.2272727,0.5833333,0.4808511,0.0668376,2000-06-30
0.7113594,0.5889623,0.5834499,0.4054054,0.4864865,0.4761905,0.4772727,0.4444444,0.4444444,0.5000000,0.4444444,0.8109929,0.0568353,2000-07-31
0.5971446,0.5115065,0.5428904,0.7027027,0.3243243,0.3650794,0.5227273,0.5111111,0.6666667,0.3181818,0.4722222,0.4514184,0.0312294,2000-08-31
0.5946617,0.2616663,0.4191142,0.4054054,0.6216216,0.5714286,0.6818182,0.4444444,0.6666667,0.4090909,0.4583333,0.7390071,0.0396314,2000-09-30
0.4816884,1.0000000,0.7785548,0.7297297,0.1621622,0.2222222,0.4545455,0.1555556,0.5656566,0.3636364,0.5972222,0.4031915,0.0456328,2000-10-31
0.7728119,0.0000000,0.2820513,0.1891892,0.5405405,0.4920635,0.5454545,0.4000000,0.5858586,0.4090909,0.3888889,0.8648936,0.0576355,2000-11-30
0.7163253,0.3838696,0.4622378,0.4054054,0.3513514,0.4126984,0.5227273,0.4444444,0.5858586,0.2272727,0.4583333,0.7421986,0.0188266,2000-12-31
0.6648045,0.5014916,0.5592075,0.4054054,0.3243243,0.4603175,0.3636364,0.5111111,0.4646465,0.5909091,0.5000000,0.6024823,0.2499776,2001-01-31
0.5071384,0.5265289,0.5459207,0.5405405,0.5135135,0.5714286,0.5681818,0.7111111,0.6767677,0.3636364,0.4027778,0.6404255,0.1747101,2001-02-28
0.7603973,0.5967398,0.5734266,0.7297297,0.7297297,0.5714286,0.9090909,0.4666667,0.6767677,0.2272727,0.5416667,0.6528369,0.1917443,2001-03-31
0.5220360,0.4608992,0.4545455,0.5405405,0.7837838,0.6825397,0.6818182,0.8444444,0.6060606,0.8181818,0.4305556,0.7056738,0.1596566,2001-04-30
0.3016760,0.6401023,0.5869464,0.7837838,0.2702703,0.3174603,0.4545455,0.3777778,0.5252525,0.3636364,0.5000000,0.4613475,0.1865944,2001-05-31
0.6995655,0.7251225,0.5216783,0.7297297,0.1621622,0.2063492,0.2954545,0.2000000,0.5151515,0.5000000,0.5833333,0.3496454,0.2067978,2001-06-30
0.7293606,0.1971021,0.5086247,0.1081081,0.6756757,0.6031746,0.7954545,0.4000000,0.5858586,0.1818182,0.4583333,0.9457447,0.1818407,2001-07-31
0.4916201,0.6370126,0.5000000,0.8918919,0.1891892,0.2857143,0.4318182,0.3777778,0.6363636,0.4545455,0.5000000,0.2975177,0.1608451,2001-08-31
0.5679702,0.4487535,0.5564103,0.2972973,0.5135135,0.5555556,0.5681818,0.4888889,0.6161616,0.5454545,0.4861111,0.8212766,0.1449993,2001-09-30
0.5003104,0.7049861,0.5268065,0.8378378,0.2432432,0.2380952,0.4545455,0.2000000,0.5757576,0.1818182,0.5138889,0.4687943,0.0796354,2001-10-31
0.8441962,0.2535691,0.5137529,0.1621622,0.2972973,0.3333333,0.3636364,0.3777778,0.4444444,0.3181818,0.3750000,0.7471631,0.0285328,2001-11-30
0.7368094,0.3560622,0.4410256,0.4054054,0.4594595,0.4920635,0.5454545,0.4444444,0.4747475,0.4545455,0.4583333,0.8092199,0.0622051,2001-12-31
0.7852266,0.4453441,0.4766900,0.4324324,0.2972973,0.4761905,0.3863636,0.3333333,0.7070707,0.5000000,0.3888889,0.7904255,0.0035341,2002-01-31
0.5195531,0.4984019,0.5151515,0.4594595,0.4864865,0.4761905,0.6136364,0.5333333,0.6060606,0.4090909,0.6250000,0.5744681,0.0023561,2002-02-28
0.6995655,0.5027701,0.5244755,0.5675676,0.8108108,0.6825397,0.8181818,0.9777778,0.6868687,0.2727273,0.3611111,0.7588652,0.0015707,2002-03-31
0.6045934,0.5014916,0.5198135,0.5135135,0.9189189,0.6984127,0.9318182,0.5555556,0.8080808,0.5909091,0.5277778,0.5248227,0.0000000,2002-04-30
0.0800745,0.7942681,0.8041958,0.8108108,0.1621622,0.4444444,0.5454545,0.4222222,0.4040404,0.4545455,0.5694444,0.4787234,0.0015707,2002-05-31
0.7306021,0.5875772,0.3869464,0.5675676,0.2432432,0.1746032,0.2272727,0.5555556,0.3939394,0.5000000,0.4861111,0.3758865,0.0035341,2002-06-30
0.6977033,0.2796719,0.4382284,0.7837838,0.5135135,0.4603175,0.6590909,0.1111111,0.6767677,0.2272727,0.5694444,0.6843972,0.0157073,2002-07-31
0.4568591,0.9233965,0.8927739,0.6216216,0.1621622,0.2698413,0.2954545,0.3777778,0.5353535,0.3181818,0.5416667,0.4078014,0.0157073,2002-08-31
0.5971446,0.3421053,0.2284382,0.4594595,0.4054054,0.4444444,0.5454545,0.3333333,0.6565657,0.3636364,0.5000000,0.6241135,0.0086390,2002-09-30
0.6579764,0.2894737,0.4848485,0.4324324,0.6486486,0.5396825,0.6818182,0.5111111,0.5757576,0.6363636,0.4166667,0.8617021,0.0184560,2002-10-31
0.6151459,0.6967824,0.6107226,0.7567568,0.2972973,0.3650794,0.4545455,0.2666667,0.6262626,0.2272727,0.5416667,0.6489362,0.0078536,2002-11-30
0.7554314,0.1599190,0.3892774,0.0270270,0.4864865,0.0000000,0.9772727,0.3777778,0.5959596,0.3181818,0.4166667,0.8617021,0.0031415,2002-12-31
0.6765984,0.4494993,0.4685315,0.4594595,0.0540541,0.7460317,0.0000000,0.3555556,0.4343434,0.2727273,0.3750000,0.5957447,0.0023282,2003-01-31
0.6883923,0.4986150,0.5174825,0.4864865,0.6486486,0.5873016,0.7045455,0.6666667,0.7070707,0.4090909,0.4861111,0.6524823,0.0023282,2003-02-28
0.6983240,0.5021308,0.5221445,0.5405405,0.7567568,0.1428571,0.6590909,0.5111111,0.7070707,0.3636364,0.5555556,0.7517730,0.0019386,2003-03-31
0.5257604,0.5435755,0.5874126,0.5945946,0.8108108,1.0000000,0.6818182,1.0000000,0.7272727,0.6363636,0.3750000,0.5567376,0.0077823,2003-04-30
0.1080074,0.6843171,0.5454545,0.5675676,0.1351351,0.3492063,0.4090909,0.2000000,0.3131313,0.5454545,0.6527778,0.0000000,0.0085614,2003-05-31
0.8472998,0.5922651,0.6550117,0.8918919,0.4054054,0.5396825,0.5227273,0.5111111,0.5050505,0.4090909,0.4583333,0.9609929,0.0229759,2003-06-30
0.4034761,0.7439804,0.4662005,0.7837838,0.0810811,0.1746032,0.3863636,0.0888889,0.6363636,0.3181818,0.5416667,0.4290780,0.0175217,2003-07-31
0.7337058,0.3244193,0.4685315,0.3513514,0.6486486,0.5714286,0.5681818,0.5555556,0.6161616,0.4090909,0.3750000,0.7163121,0.0249237,2003-08-31
0.4922408,0.5633923,0.6013986,0.7297297,0.2432432,0.3174603,0.5909091,0.2000000,0.5151515,0.4545455,0.6250000,0.4539007,0.0245342,2003-09-30
0.5710739,0.5373961,0.4848485,0.4864865,0.3513514,0.3492063,0.5909091,0.4222222,0.7272727,0.2727273,0.4305556,0.6028369,0.0623233,2003-10-31
0.7454997,0.2423823,0.6200466,0.2972973,0.6216216,0.5555556,0.6136364,0.4222222,0.5757576,0.3636364,0.5277778,0.9148936,0.0864772,2003-11-30
0.7094972,0.3115278,0.3006993,0.3243243,0.0000000,0.1428571,0.2727273,0.2000000,0.3333333,0.4545455,0.4305556,0.4574468,0.0942688,2003-12-31
0.7566729,0.4808225,0.4941725,0.4594595,0.5405405,0.5873016,0.4318182,0.4444444,0.7171717,0.2272727,0.4583333,0.8900709,0.0482677,2004-01-31
0.5121043,0.4993608,0.5198135,0.4594595,0.3513514,0.4126984,0.5227273,0.5555556,0.5858586,0.5454545,0.5000000,0.6382979,0.0436322,2004-02-29
