Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.4062500,0.4317838,0.5051593,0.6511628,0.8372093,0.8000000,0.9148936,0.6862745,0.7592593,0.3333333,0.4901961,0.2763348,0.0358157,1997-02-28
0.6074561,0.3850811,0.4342755,0.4418605,0.5813953,0.8000000,0.5106383,0.8235294,0.4907407,0.3888889,0.3333333,1.0000000,0.0064331,1997-03-31
0.3706140,0.4564324,0.5513683,0.7674419,0.7441860,0.8000000,0.7446809,0.5882353,0.8055556,0.6111111,0.5882353,0.4650072,0.0193960,1997-04-30
0.1776316,0.5477838,0.6235980,0.6976744,0.4418605,0.6117647,0.5531915,0.4901961,0.5555556,0.6111111,0.5490196,0.5028860,0.0166306,1997-05-31
0.7905702,0.3539459,0.3584567,0.6279070,0.3720930,0.6117647,0.4680851,0.3921569,0.6018519,0.7777778,0.4313725,0.5725108,0.0143837,1997-06-30
0.2554825,0.6488649,0.7142216,0.7441860,0.1860465,0.4588235,0.3829787,0.2352941,0.4537037,0.7222222,0.6274510,0.2810245,0.0432478,1997-07-31
0.6063596,0.3672432,0.4024226,0.4186047,0.5581395,0.6705882,0.5744681,0.3921569,0.6203704,0.3888889,0.5490196,0.7460317,0.0907784,1997-08-31
0.3437500,0.3124324,0.4266487,0.4883721,0.5581395,0.7294118,0.5744681,0.5490196,0.6574074,0.5555556,0.4901961,0.5595238,0.1915435,1997-09-30
0.4709430,0.3985946,0.3714670,0.6511628,0.5116279,0.6941176,0.4893617,0.3529412,0.5092593,0.4444444,0.4705882,0.7362915,0.2627530,1997-10-31
0.5180921,0.4444324,0.7411395,0.2558140,0.4186047,0.6000000,0.5319149,0.3921569,0.6666667,0.3333333,0.3725490,0.7012987,0.1721855,1997-11-30
0.6293860,0.1715676,0.1287573,0.4418605,0.4186047,0.5647059,0.4042553,0.4313725,0.4814815,0.2222222,0.2745098,0.7683983,0.1282845,1997-12-31
0.3969298,0.3914595,0.4140870,0.5116279,0.4651163,0.8352941,0.4680851,0.6274510,0.6203704,0.3888889,0.5882353,0.7160895,0.1464638,1998-01-31
0.3678728,0.4023784,0.4445940,0.5348837,0.5116279,0.7058824,0.5319149,0.5490196,0.6203704,0.5555556,0.5098039,0.4116162,0.0496391,1998-02-28
0.6496711,0.4086486,0.4706146,0.5581395,0.7441860,0.8470588,0.6595745,0.7647059,0.5648148,0.3333333,0.4313725,0.8311688,0.0294530,1998-03-31
0.3815789,0.4155676,0.4993271,0.5813953,0.6279070,0.7058824,0.7234043,0.5294118,0.7407407,0.5555556,0.5294118,0.3943001,0.0263737,1998-04-30
0.0000000,0.5242162,0.7110812,0.7441860,0.6046512,0.7176471,0.6595745,0.4313725,0.4074074,0.7222222,0.5294118,0.5440115,0.0414278,1998-05-31
0.6935307,0.5442162,0.4028712,0.7674419,0.0697674,0.4117647,0.2765957,0.2352941,0.6481481,0.9444444,0.6862745,0.3888889,0.0220970,1998-06-30
0.4057018,0.3600000,0.6177658,0.6279070,0.4186047,0.6470588,0.4255319,0.3921569,0.5092593,0.5000000,0.4509804,0.6915584,0.0381775,1998-07-31
0.4067982,0.5241081,0.3140422,0.6046512,0.3488372,0.6000000,0.4042553,0.3137255,0.6296296,0.5000000,0.5294118,0.5025253,0.0727333,1998-08-31
0.3870614,0.5585946,0.5172723,0.6511628,0.3023256,0.5764706,0.4468085,0.4509804,0.5833333,0.5555556,0.4509804,0.4137807,0.0561397,1998-09-30
0.4775219,0.3135135,0.7021086,0.4651163,0.5348837,0.6000000,0.5531915,0.2156863,0.6296296,0.5000000,0.5098039,0.7907648,0.0405724,1998-10-31
0.4895833,0.1913514,0.1933603,0.4186047,0.3953488,0.6000000,0.4893617,0.4117647,0.4814815,0.3888889,0.5490196,0.4336219,0.0352693,1998-11-30
0.4862939,0.4116757,0.6747420,0.3720930,0.1860465,0.5294118,0.2127660,0.4705882,0.2500000,0.3888889,0.4705882,0.6767677,0.0289398,1998-12-31
0.5186404,0.3044324,0.1552266,0.5581395,0.6046512,0.7764706,0.5744681,0.3921569,0.6111111,0.3333333,0.1372549,0.6930014,0.0147354,1999-01-31
0.4906798,0.3526486,0.4096007,0.3953488,0.5116279,0.7529412,0.4680851,0.6078431,0.7222222,0.3333333,0.6862745,0.6854257,0.0059398,1999-02-28
0.5202851,0.4444324,0.5226559,0.6511628,0.8372093,0.9058824,0.8723404,0.7058824,0.6296296,0.5555556,0.5098039,0.7110390,0.0138897,1999-03-31
0.2401316,0.5407568,0.5091969,0.8372093,0.3720930,0.5294118,0.5106383,0.4509804,0.7592593,0.9444444,0.5490196,0.3001443,0.0174418,1999-04-30
0.3421053,0.4191351,0.4836249,0.6046512,0.4418605,0.6352941,0.4893617,0.3921569,0.6296296,0.5000000,0.5490196,0.6475469,0.0164269,1999-05-31
0.5773026,0.4631351,0.5334231,0.4883721,0.2790698,0.5529412,0.3617021,0.1568627,0.4351852,0.5555556,0.4509804,0.4711400,0.0240386,1999-06-30
0.4605263,0.4148108,0.5414984,0.6976744,0.4418605,0.6117647,0.5319149,0.5490196,0.6481481,0.5000000,0.5098039,0.6796537,0.0423065,1999-07-31
0.4961623,0.3712432,0.3454464,0.4418605,0.5348837,0.7294118,0.5319149,0.3529412,0.5092593,0.3888889,0.5098039,0.6590909,0.0340183,1999-08-31
0.4281798,0.3046486,0.4230597,0.5116279,0.5581395,0.7176471,0.6170213,0.5882353,0.7222222,0.4444444,0.4509804,0.7056277,0.0257300,1999-09-30
0.3640351,0.7535135,0.7348587,0.7209302,0.3720930,0.5647059,0.4042553,0.5098039,0.5092593,0.6666667,0.4705882,0.4036797,0.0348640,1999-10-31
0.4901316,0.2423784,0.3472409,0.5116279,0.4418605,0.6235294,0.5319149,0.2549020,0.6666667,0.3333333,0.4313725,0.6064214,0.0402767,1999-11-30
0.6595395,0.1814054,0.3153881,0.2790698,0.0232558,0.3882353,0.0851064,0.2549020,0.0000000,0.2777778,0.5294118,0.5955988,0.0328342,1999-12-31
