Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.6197503,0.4754801,0.6074423,0.6461538,0.7121212,0.6163522,1.0000000,0.5178571,0.7627119,0.4509614,0.4268293,0.1634383,0.5173161,1997-02-28
0.9753121,0.4656404,0.6166143,0.4769231,0.8030303,0.8490566,0.5527950,0.8690476,0.5355932,0.1568561,0.2195122,0.9968523,0.5276982,1997-03-31
0.3952894,0.6295033,0.6307652,0.9076923,0.6060606,0.5031447,0.8385093,0.4404762,0.8271186,0.6078175,0.5853659,0.1506053,0.5251026,1997-04-30
0.4526107,0.5641168,0.7243187,0.6923077,0.5000000,0.3584906,0.6956522,0.2976190,0.6440678,0.5882105,0.6829268,0.4041162,0.5242375,1997-05-31
0.8141317,0.2667037,0.2203878,0.2615385,0.5151515,0.4402516,0.5652174,0.5119048,0.5830508,0.3529263,0.5121951,0.4893462,0.5164509,1997-06-30
0.5351873,0.7328202,0.7316562,0.8307692,0.2803030,0.2452830,0.5527950,0.2142857,0.5322034,0.5882105,0.4756098,0.4162228,0.5276982,1997-07-31
0.5678207,0.6985399,0.7292977,0.6615385,0.4393939,0.3836478,0.5031056,0.3273810,0.5152542,0.4705684,0.6219512,0.2246973,0.5424062,1997-08-31
0.6404654,0.2321854,0.5710168,0.3384615,0.4090909,0.6477987,0.4844720,0.6547619,0.4779661,0.4705684,0.1341463,0.6283293,0.7214977,1997-09-30
0.6421680,0.2165529,0.3438155,0.4307692,0.4318182,0.4654088,0.4347826,0.3392857,0.4745763,0.3137123,0.4634146,0.7174334,0.4455064,1997-10-31
0.7142452,0.2786066,0.4171908,0.1230769,0.2803030,0.3773585,0.3354037,0.4940476,0.3457627,0.3725333,0.4024390,0.5941889,0.5147205,1997-11-30
0.7641884,0.3858118,0.3936059,0.5076923,0.1893939,0.4465409,0.3043478,0.3333333,0.3118644,0.3333193,0.1707317,0.6537530,0.4212815,1997-12-31
0.7505675,0.4359625,0.5235849,0.4000000,0.4318182,0.6037736,0.6211180,0.7321429,0.5966102,0.2941052,0.5609756,0.5014528,0.5013470,1998-01-31
0.7338252,0.4721473,0.6066562,0.5692308,0.7954545,0.7798742,0.7267081,0.6785714,0.6949153,0.2548912,0.1707317,0.4721550,0.5191987,1998-02-28
