Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.4064857,0.4352059,0.4974266,0.7192982,0.4599303,0.3768997,0.5172414,0.5406250,0.6020151,0.5525573,0.5428571,0.3521705,0.0000000,1997-02-28
0.6485671,0.5705391,0.6426485,0.7368421,0.7595819,0.7021277,0.7689655,0.5968750,0.6750630,0.3530227,0.3523810,0.5154478,0.0000000,1997-03-31
0.8386124,0.5873611,0.5981360,0.4912281,0.6968641,0.7416413,0.6551724,0.7000000,0.6649874,0.2455810,0.5333333,0.8748533,0.0000000,1997-04-30
0.3763198,0.4555712,0.5989706,0.4210526,0.7247387,0.6838906,0.7068966,0.6156250,0.6322418,0.2609298,0.2857143,0.7107939,0.0000000,1997-05-31
0.8250377,0.6828924,0.6298512,0.5789474,0.5017422,0.4528875,0.5620690,0.5875000,0.6322418,0.6599990,0.6666667,0.2264372,0.0000000,1997-06-30
0.0286576,0.5601844,0.3847545,0.8421053,0.3972125,0.3191489,0.5137931,0.2781250,0.6423174,0.7367431,0.6380952,0.1593664,0.0000000,1997-07-31
0.9351433,0.2233995,0.4555571,0.6315789,0.5296167,0.5805471,0.4827586,0.6562500,0.4559194,0.2148834,0.0571429,0.8754400,0.0000000,1997-08-31
0.4140271,0.3505109,0.5067464,0.4035088,0.2926829,0.2158055,0.3620690,0.2843750,0.3123426,0.5525573,0.6285714,0.2649589,0.0000000,1997-09-30
0.4125189,0.6465307,0.6283210,0.5614035,0.4425087,0.4255319,0.4896552,0.3531250,0.5541562,0.4758132,0.4380952,0.5211185,0.0000000,1997-10-31
0.5739065,0.1010011,0.1947420,0.4385965,0.3554007,0.2583587,0.2379310,0.4500000,0.3375315,0.2148834,0.3428571,0.4022292,0.0000000,1997-11-30
0.2616893,0.5051429,0.6050911,0.4210526,0.3449477,0.2735562,0.3655172,0.2281250,0.4282116,0.5986038,0.5523810,0.1405944,0.0000000,1997-12-31
0.6070890,0.4141869,0.3956044,0.6491228,0.1881533,0.2583587,0.4241379,0.4781250,0.4685139,0.2455810,0.6666667,0.5664842,0.0000000,1998-01-31
0.5022624,0.4740101,0.5416609,0.4385965,0.5435540,0.5440729,0.5310345,0.5593750,0.5214106,0.3683715,0.4000000,0.5117325,0.0000000,1998-02-28
0.6870287,0.4946851,0.5896509,0.6140351,0.6655052,0.5805471,0.7034483,0.6625000,0.7103275,0.4451156,0.4190476,0.3971451,0.0000000,1998-03-31
0.9004525,0.5471808,0.6614272,0.8070175,0.7770035,0.7659574,0.7655172,0.7031250,0.7682620,0.4911621,0.3619048,0.8459132,0.0000000,1998-04-30
0.4276018,0.6660704,0.6477952,0.7719298,0.5749129,0.5136778,0.6241379,0.4781250,0.6372796,0.6139526,0.5047619,0.4211967,0.0000000,1998-05-31
0.2209653,0.5831298,0.5088329,0.7017544,0.5400697,0.4711246,0.5931034,0.4625000,0.6876574,0.5218597,0.7333333,0.3120845,0.0000000,1998-06-30
0.4932127,0.8972789,0.7167895,0.6491228,0.4599303,0.4194529,0.4965517,0.3906250,0.5415617,0.4451156,0.5142857,0.4900274,0.0000000,1998-07-31
0.6923077,0.1044756,0.2896091,0.4912281,0.4773519,0.5136778,0.4827586,0.4750000,0.5465995,0.4604644,0.3428571,0.7524443,0.0000000,1998-08-31
0.7013575,0.0855895,0.4917235,0.0000000,0.3763066,0.4012158,0.3689655,0.4437500,0.1838791,0.2762787,0.1333333,0.4442706,0.0000000,1998-09-30
0.5067873,0.3692249,0.2620670,0.6491228,0.2787456,0.2917933,0.3068966,0.3968750,0.4005038,0.5218597,0.1714286,0.4247165,0.0000000,1998-10-31
0.3099548,0.4693316,0.6159410,0.4736842,0.3554007,0.2431611,0.2655172,0.2500000,0.4609572,0.3837204,0.7142857,0.3946031,0.0000000,1998-11-30
0.3876320,0.4311810,0.3665322,0.5438596,0.3832753,0.3039514,0.3620690,0.4781250,0.3224181,0.5065109,0.4761905,0.3365272,0.0000000,1998-12-31
0.3921569,0.4817503,0.5303937,0.8421053,0.1881533,0.2006079,0.4931034,0.2906250,0.6297229,0.4451156,0.5428571,0.2923348,0.0000000,1999-01-31
0.5369532,0.4491727,0.4974266,0.5087719,0.5888502,0.5167173,0.6275862,0.6125000,0.5037783,0.4451156,0.3428571,0.3705514,0.0000000,1999-02-28
0.9147813,0.4533008,0.5081374,0.4736842,0.6759582,0.6382979,0.6793103,0.6031250,0.8614610,0.1688370,0.7904762,0.5854517,0.0000000,1999-03-31
0.4268477,0.7683787,0.9180693,0.8947368,0.6933798,0.6352584,0.7275862,0.6125000,0.6448363,0.7367431,0.3904762,0.5324599,0.0000000,1999-04-30
0.2006033,0.4838488,0.3976909,0.7543860,0.4878049,0.4741641,0.5103448,0.4500000,0.4911839,0.4604644,0.3619048,0.4546343,0.0000000,1999-05-31
0.7390649,0.7514190,1.0000000,0.7894737,0.6759582,0.6656535,0.6724138,0.6437500,0.8261965,0.4758132,0.5523810,0.6802894,0.0000000,1999-06-30
0.4871795,0.4413637,0.2043400,0.4385965,0.4808362,0.4316109,0.5241379,0.3843750,0.5667506,0.4604644,0.6285714,0.4137661,0.0000000,1999-07-31
0.3868778,0.4724621,0.5203784,0.6140351,0.3972125,0.3890578,0.4551724,0.4125000,0.5239295,0.5218597,0.4761905,0.4569808,0.0000000,1999-08-31
0.6734540,0.0116275,0.1617749,0.1929825,0.4320557,0.4376900,0.4275862,0.4750000,0.3551637,0.3990692,0.3428571,0.6527180,0.0000000,1999-09-30
0.3257919,0.6282638,0.8062317,0.7543860,0.2857143,0.2036474,0.3793103,0.3750000,0.3098237,0.5218597,0.2000000,0.1726633,0.0000000,1999-10-31
0.4773756,0.2381919,0.2452358,0.2982456,0.3658537,0.2644377,0.1241379,0.2656250,0.4055416,0.3990692,0.7142857,0.4728197,0.0000000,1999-11-30
0.7300151,0.4015962,0.4174433,0.3333333,0.2613240,0.3373860,0.1344828,0.2125000,0.0554156,0.2609298,0.0380952,0.6820493,0.0000000,1999-12-31
0.4494721,0.4703636,0.5114759,0.8070175,0.3310105,0.3069909,0.8000000,0.6062500,0.7959698,0.3376739,0.9428571,0.1867423,0.0000000,2000-01-31
0.0972851,0.4747669,0.5138406,0.7894737,0.3519164,0.2613982,0.4379310,0.4781250,0.5390428,0.7060455,0.5809524,0.1691435,0.0000000,2000-02-29
0.8574661,0.4816815,0.5405481,0.5263158,0.8013937,0.7689970,0.7965517,0.5187500,0.6826196,0.4144180,0.4571429,0.5879937,0.0000000,2000-03-31
0.7820513,0.4942378,0.5820003,0.5789474,0.7491289,0.7203647,0.7517241,0.7656250,0.8614610,0.3837204,0.3809524,0.6343371,0.0000000,2000-04-30
0.3597285,0.7375555,0.7462790,0.7192982,0.5993031,0.5987842,0.5931034,0.5156250,0.5768262,0.4297668,0.3904762,0.6071568,0.0000000,2000-05-31
0.5867270,0.6299838,0.7615802,0.7368421,0.5156794,0.4194529,0.5862069,0.4875000,0.6801008,0.5832549,0.6476190,0.3537348,0.0000000,2000-06-30
0.7820513,0.3440435,0.4269022,0.5087719,0.5540070,0.5714286,0.5517241,0.5312500,0.6498741,0.4297668,0.3809524,0.7872507,0.0000000,2000-07-31
0.3936652,0.4194159,0.2672138,0.5087719,0.4564460,0.4376900,0.4965517,0.5375000,0.5214106,0.4144180,0.3714286,0.4151349,0.0865476,2000-08-31
