Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.2523384,0.4696154,0.3843075,0.6125000,0.3986014,0.3584158,0.4899777,0.2808765,0.5173611,0.5342466,0.7385621,0.2673239,0.5291449,1997-02-28
0.3973214,0.6222296,0.4779543,0.5625000,0.7482517,0.7603960,0.7772829,0.6573705,0.6284722,0.6575342,0.5294118,0.7722535,0.5291449,1997-03-31
0.4281463,0.5583147,0.4347522,0.5000000,0.6969697,0.7346535,0.6948775,0.5398406,0.6527778,0.3561644,0.5032680,0.7042254,0.5323644,1997-04-30
0.3601190,0.5180878,0.4669632,0.3000000,0.7039627,0.7128713,0.7149220,0.6035857,0.6597222,0.2054795,0.3398693,0.9792958,0.5264620,1997-05-31
1.0000000,0.5405367,0.4719187,0.5125000,0.5990676,0.5821782,0.6458797,0.5816733,0.5937500,0.2602740,0.3202614,0.4359155,0.5291449,1997-06-30
0.0916241,0.7771317,0.4378018,0.7625000,0.3962704,0.3465347,0.5189310,0.2370518,0.4982639,0.6438356,0.7320261,0.2005634,0.5361205,1997-07-31
0.3771259,0.4334874,0.4419314,0.4125000,0.4755245,0.5148515,0.5011136,0.4422311,0.4427083,0.3972603,0.5882353,0.8032394,0.5275352,1997-08-31
0.0000000,0.4790525,0.4331639,0.5250000,0.2750583,0.2891089,0.4142539,0.2250996,0.2239583,0.4520548,0.2941176,0.2861972,0.5286083,1997-09-30
0.3316327,0.5171346,0.4877382,0.3500000,0.4801865,0.4871287,0.4877506,0.3446215,0.5052083,0.3150685,0.5359477,0.8536620,0.5269986,1997-10-31
0.4017857,0.1842143,0.2145489,0.2375000,0.2960373,0.3485149,0.3385301,0.4641434,0.3940972,0.1917808,0.4901961,0.4354930,0.5355839,1997-11-30
0.2468112,0.6822840,0.5944091,0.6250000,0.2144522,0.1900990,0.3385301,0.0717131,0.2916667,0.4931507,0.6274510,0.1984507,0.5414862,1997-12-31
0.3637330,0.2921214,0.2312579,0.4625000,0.3170163,0.3762376,0.3674833,0.5199203,0.2743056,0.4931507,0.4705882,0.5760563,0.5134233,1998-01-31
0.3244048,0.5119394,0.4281449,0.4500000,0.5780886,0.5564356,0.6369710,0.3187251,0.5555556,0.4383562,0.6013072,0.4491549,0.5233900,1998-02-28
0.2901786,0.5378199,0.4433291,0.7500000,0.5710956,0.5445545,0.6302895,0.4681275,0.5486111,0.6438356,0.6209150,0.4428169,0.5322840,1998-03-31
0.4987245,0.5158953,0.4407878,0.3500000,0.8508159,0.8673267,0.8485523,0.8247012,0.9253472,0.2602740,0.1764706,0.9122535,0.5260059,1998-04-30
0.4107143,0.7295172,0.5231893,0.5750000,0.6270396,0.6356436,0.6592428,0.4143426,0.5781250,0.3424658,0.6013072,0.7745070,0.5286218,1998-05-31
0.4071003,0.9490491,0.4916773,0.5625000,0.6037296,0.5584158,0.6570156,0.5139442,0.5920139,0.3424658,0.5490196,0.4115493,0.5359462,1998-06-30
0.4330357,0.0405128,0.3029860,0.4375000,0.4918415,0.5108911,0.5434298,0.3545817,0.5243056,0.3698630,0.4967320,0.7463380,0.5369925,1998-07-31
0.1832483,0.4973071,0.4268107,0.4250000,0.3962704,0.4217822,0.4654788,0.2768924,0.4531250,0.5616438,0.7581699,0.6274648,0.5914024,1998-08-31
0.3860544,0.4684715,0.4981576,0.3125000,0.3729604,0.4099010,0.4276169,0.3167331,0.2795139,0.2876712,0.0849673,0.4466197,0.6301172,1998-09-30
0.4959609,0.4628473,0.3393901,0.4500000,0.3240093,0.4257426,0.3585746,0.2868526,0.4375000,0.1917808,0.4183007,0.5760563,1.0000000,1998-10-31
0.2878401,0.3869692,0.3743964,0.3625000,0.2634033,0.2514851,0.3385301,0.2529880,0.3420139,0.3424658,0.5359477,0.3922535,0.5082180,1998-11-30
0.2825255,0.5323388,0.4472681,0.5500000,0.2703963,0.2732673,0.3452116,0.4143426,0.2690972,0.3835616,0.6339869,0.2940845,0.0891570,1998-12-31
0.2225765,0.5158477,0.4226175,0.5875000,0.3216783,0.3247525,0.4276169,0.2529880,0.3315972,0.7123288,0.5424837,0.4850704,0.3489881,1999-01-31
0.3801020,0.4895858,0.4140407,0.5125000,0.6107226,0.5821782,0.6703786,0.4023904,0.5520833,0.3561644,0.2222222,0.4839437,0.5225045,1999-02-28
0.3365221,0.5186597,0.4342440,0.5375000,0.6060606,0.5801980,0.6636971,0.5019920,0.7534722,0.5753425,0.8888889,0.4884507,0.5286341,1999-03-31
0.3139881,0.6674134,0.4827827,0.7000000,0.7179487,0.7267327,0.7550111,0.6254980,0.5885417,0.4794521,0.6274510,0.7997183,0.5291449,1999-04-30
0.4640731,0.6683190,0.4651842,0.7000000,0.5361305,0.5524752,0.5634744,0.4780876,0.5729167,0.4109589,0.5228758,0.5128169,0.5306773,1999-05-31
0.3426871,0.5941090,0.4427573,0.2875000,0.6923077,0.6910891,0.7171492,0.4960159,0.6944444,0.3287671,0.6209150,0.8183099,0.5383393,1999-06-30
0.4360119,0.4854392,0.4939009,0.4625000,0.5291375,0.5247525,0.5768374,0.4023904,0.5121528,0.3424658,0.4575163,0.5547887,0.5209721,1999-07-31
0.1974915,0.4286736,0.3707116,0.5875000,0.3682984,0.3742574,0.4721604,0.3247012,0.4826389,0.5890411,0.6143791,0.4888732,0.5322097,1999-08-31
0.4162415,0.4742863,0.4041296,0.2750000,0.4452214,0.4752475,0.4610245,0.3904382,0.3871528,0.2465753,0.3137255,0.7433803,0.5393609,1999-09-30
0.2825255,0.5717077,0.4102922,0.6250000,0.2727273,0.2792079,0.3875278,0.2868526,0.2447917,0.5068493,0.2352941,0.1708451,0.5306773,1999-10-31
0.2808248,0.2983175,0.3904701,0.2875000,0.2447552,0.2673267,0.3207127,0.1892430,0.3194444,0.3835616,0.7450980,0.4747887,0.5189289,1999-11-30
0.4570578,0.5225680,0.4339263,0.3250000,0.0722611,0.2415842,0.0890869,0.0996016,0.0729167,0.1095890,0.1307190,0.8201408,0.5311881,1999-12-31
0.2876276,0.3798675,0.3649936,0.4375000,0.6293706,0.4910891,0.7616927,0.6175299,0.6857639,0.5890411,0.9215686,0.1332394,0.5194397,2000-01-31
0.2276786,0.5503551,0.4475222,0.8500000,0.3240093,0.3386139,0.3897550,0.2669323,0.4166667,0.5616438,0.5686275,0.4126761,0.5306315,2000-02-29
0.3577806,0.5071732,0.4179161,0.5750000,0.7575758,0.7227723,0.7861915,0.6494024,0.5312500,0.5753425,0.4836601,0.6190141,0.5276583,2000-03-31
0.4272959,0.6581669,0.5247776,0.4000000,0.8018648,0.8178218,0.8218263,0.6235060,1.0000000,0.3698630,0.6143791,0.7088732,0.5331092,2000-04-30
