Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.2924589,0.4910651,0.4373178,0.6626506,0.3932039,0.2903226,0.5195531,0.3451327,0.6115242,0.7582418,0.7419355,0.2988491,0.0000000,1997-02-28
0.4366835,0.4952881,0.4610995,0.2771084,0.7669903,0.7836812,0.7681564,0.6353982,0.6189591,0.4945055,0.5419355,0.6029412,0.0000000,1997-03-31
0.4176691,0.5412851,0.5082049,0.4457831,0.6771845,0.6850095,0.7011173,0.5893805,0.5947955,0.4945055,0.5290323,0.6129156,0.0000000,1997-04-30
0.4430216,0.4717505,0.5275302,0.1204819,0.7500000,0.7191651,0.7150838,0.6477876,0.5780669,0.2087912,0.3935484,0.7378517,0.0000000,1997-05-31
0.7304359,0.4953547,0.3473136,0.5060241,0.5752427,0.4971537,0.6564246,0.4141593,0.5594796,0.4065934,0.6774194,0.4626598,0.0000000,1997-06-30
0.2563705,0.4916541,0.4515618,0.5783133,0.3956311,0.3814042,0.4776536,0.3451327,0.6152416,0.6813187,0.7161290,0.3024297,0.0488470,1997-07-31
0.3932221,0.5325836,0.4919200,0.5060241,0.4514563,0.4819734,0.4441341,0.4831858,0.4033457,0.6043956,0.5483871,0.5214834,0.0580698,1997-08-31
0.1061958,0.6049853,0.5667638,0.5301205,0.2354369,0.2485769,0.2709497,0.2654867,0.1394052,0.9120879,0.7483871,0.2644501,0.0059778,1997-09-30
0.3320398,0.5001334,0.4613078,0.4096386,0.4490291,0.4459203,0.4581006,0.4159292,0.4702602,0.6593407,0.6709677,0.5480818,0.0196413,1997-10-31
0.3934808,0.3482953,0.2857559,0.0602410,0.3033981,0.3567362,0.2681564,0.4831858,0.3921933,0.4835165,0.4516129,0.4272379,0.0182749,1997-11-30
0.3244082,0.5165474,0.4720950,0.6506024,0.2500000,0.2390892,0.3128492,0.1734513,0.3382900,0.7472527,0.7741935,0.3540921,0.0000000,1997-12-31
0.3504075,0.4886869,0.4336110,0.5421687,0.4563107,0.4573055,0.4776536,0.6230088,0.3921933,0.7142857,0.5612903,0.4794118,0.0000000,1998-01-31
0.3633424,0.5046230,0.4620991,0.4216867,0.4781553,0.4629981,0.5083799,0.5221239,0.4182156,0.6153846,0.3741935,0.4535806,0.0000000,1998-02-28
0.4231018,0.4891870,0.4470637,0.5662651,0.6116505,0.6091082,0.6564246,0.5132743,0.7286245,0.5604396,0.5419355,0.4870844,0.0000000,1998-03-31
0.4810503,0.5021226,0.4667638,0.1325301,0.7791262,0.7628083,0.7821229,0.5982301,0.6895911,0.4285714,0.6451613,0.6554987,0.0000000,1998-04-30
0.3641185,0.5353396,0.5138692,0.4337349,0.6456311,0.6053131,0.6592179,0.4407080,0.5501859,0.3846154,0.6709677,0.6157289,0.0000000,1998-05-31
0.7881257,0.4730952,0.4163682,0.3132530,0.6504854,0.5730550,0.7150838,0.3911504,0.6524164,0.2307692,0.6580645,0.6086957,0.0000000,1998-06-30
0.4775579,0.4779961,0.4143274,0.3132530,0.4684466,0.4838710,0.4553073,0.4761062,0.4535316,0.4615385,0.5032258,0.5992327,0.0634138,1998-07-31
0.0986936,0.5269492,0.5052895,0.5783133,0.3567961,0.4098672,0.3910615,0.3982301,0.4237918,0.8681319,0.6838710,0.2914322,0.1008160,1998-08-31
0.1204243,0.6813433,0.6316118,0.9156627,0.2645631,0.2428843,0.3268156,0.2707965,0.3048327,0.9120879,0.8322581,0.1235294,0.1890513,1998-09-30
0.3967145,0.4095172,0.3735527,0.1325301,0.3131068,0.3301708,0.2960894,0.1946903,0.2472119,0.5824176,0.4000000,0.5299233,1.0000000,1998-10-31
0.3326866,0.5167252,0.5150354,0.4939759,0.2961165,0.2827324,0.3491620,0.3415929,0.4349442,0.6263736,0.7677419,0.3239130,0.4005440,1998-11-30
0.3382486,0.4164629,0.3077051,0.4939759,0.2354369,0.2732448,0.2374302,0.4654867,0.1710037,0.6043956,0.6064516,0.4230179,0.0363822,1998-12-31
