Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.2934721,0.5208609,0.4409267,0.7168142,0.4102564,0.3677686,0.4922118,0.2225434,0.6678241,0.5867969,0.5978261,0.2891431,0.5000000,1997-02-28
0.5084412,0.6408542,0.5650340,0.6548673,0.7709402,0.6942149,0.8115265,0.5173410,0.7337963,0.5755194,0.6793478,0.5114401,0.5000000,1997-03-31
0.7059651,0.6424712,0.5583985,0.5929204,0.6666667,0.7534435,0.6479751,0.5650289,0.6284722,0.3612457,0.4021739,0.8796546,0.5331378,1997-04-30
0.3967361,0.5956802,0.5342743,0.3008850,0.7794872,0.6887052,0.7445483,0.5852601,0.6979167,0.2823028,0.3152174,1.0000000,0.4668622,1997-05-31
1.0000000,0.6877735,0.5704324,0.7256637,0.5829060,0.5440771,0.6323988,0.5187861,0.6828704,0.4627438,0.3152174,0.3430911,0.5000000,1997-06-30
0.0250422,0.8097432,0.5107125,0.6902655,0.4017094,0.3292011,0.5404984,0.1806358,0.5868056,0.7446828,0.8043478,0.1123822,0.5000000,1997-07-31
0.5922904,0.4880584,0.5513131,0.3451327,0.4940171,0.5247934,0.5000000,0.4421965,0.5092593,0.3838008,0.2554348,0.9239569,0.5000000,1997-08-31
0.2808104,0.3582346,0.3611314,0.5840708,0.2991453,0.2768595,0.3940810,0.1343931,0.2685185,0.5304091,0.5271739,0.2270076,0.5000000,1997-09-30
0.5793472,0.6894932,0.6047349,0.3539823,0.4940171,0.5096419,0.5233645,0.3684971,0.5520833,0.4401887,0.4076087,0.8740467,0.5000000,1997-10-31
0.7357907,0.2668857,0.3068661,0.1327434,0.3179487,0.3842975,0.3271028,0.4263006,0.3726852,0.2484701,0.3043478,0.4896815,0.5000000,1997-11-30
0.3016320,0.5846434,0.5148175,0.6991150,0.2478632,0.1694215,0.4049844,0.0867052,0.4756944,0.5078540,0.5706522,0.1454688,0.5000000,1997-12-31
0.4226224,0.5679855,0.4835517,0.6725664,0.4119658,0.4311295,0.4579439,0.5650289,0.4467593,0.5642418,0.4239130,0.5897263,0.5000000,1998-01-31
0.4310636,0.5782523,0.5149300,0.4513274,0.5709402,0.5468320,0.5950156,0.4898844,0.5798611,0.4176335,0.3097826,0.4574921,0.5000000,1998-02-28
0.4302195,0.5845921,0.5117809,0.7168142,0.6085470,0.5303030,0.6697819,0.2702312,0.6296296,0.6206296,0.8043478,0.4107223,0.5000000,1998-03-31
0.7889702,0.6273020,0.5398977,0.4867257,0.8307692,0.8181818,0.8021807,0.6690751,0.8900463,0.3048579,0.1739130,0.9143114,0.5000000,1998-04-30
0.3410242,0.6926759,0.5700950,0.6548673,0.6427350,0.5950413,0.6604361,0.3424855,0.6192130,0.5304091,0.8097826,0.6957156,0.5000000,1998-05-31
0.6218346,0.7171366,0.5107125,0.6106195,0.5709402,0.4972452,0.6401869,0.3569364,0.6921296,0.5191316,0.4619565,0.3779722,0.5000000,1998-06-30
0.6719190,0.4141631,0.4840016,0.4159292,0.5042735,0.5206612,0.5436137,0.3554913,0.5763889,0.3499682,0.4076087,0.7805070,0.5000000,1998-07-31
0.1845808,0.6112088,0.5108812,0.6194690,0.4205128,0.4146006,0.4766355,0.3150289,0.5011574,0.6093521,0.5054348,0.5435173,0.5000000,1998-08-31
0.4243106,0.6115168,0.6697970,0.3539823,0.3504274,0.3663912,0.4127726,0.1965318,0.2824074,0.4401887,0.3097826,0.4469493,0.5000000,1998-09-30
0.6722003,0.5573850,0.3968959,0.4159292,0.3299145,0.3705234,0.3769470,0.2239884,0.4837963,0.3612457,0.3695652,0.5976895,0.5000000,1998-10-31
0.4558244,0.3641124,0.3497723,0.4159292,0.3025641,0.3168044,0.3629283,0.2817919,0.4189815,0.4627438,0.4891304,0.3273890,0.5000000,1998-11-30
0.3868880,0.5873641,0.5337120,0.5044248,0.3179487,0.2878788,0.3894081,0.4523121,0.4085648,0.4289111,0.6195652,0.3112382,0.5326882,1998-12-31
0.3131683,0.5724773,0.4895687,0.5929204,0.3914530,0.3553719,0.4953271,0.1647399,0.4953704,0.5867969,0.5271739,0.4505384,0.4673118,1999-01-31
0.4729882,0.5810500,0.5184165,0.5663717,0.5897436,0.5606061,0.6292835,0.3294798,0.6030093,0.4740213,0.2934783,0.4656797,0.5000000,1999-02-28
0.5725943,0.5809217,0.5082382,0.5752212,0.6581197,0.6033058,0.6993769,0.6849711,0.7638889,0.4401887,0.6902174,0.6018394,0.5000000,1999-03-31
0.5531795,0.7544308,0.7026936,0.7345133,0.7418803,0.6831956,0.7647975,0.4725434,0.6678241,0.5980745,0.5760870,0.6387393,0.5000000,1999-04-30
0.2872819,0.7375675,0.4885003,0.8053097,0.5059829,0.5013774,0.5467290,0.3930636,0.6064815,0.5078540,0.4347826,0.5569762,0.5000000,1999-05-31
0.6029826,0.4441935,0.4150593,0.4159292,0.6854701,0.6487603,0.6978193,0.3554913,0.7812500,0.4401887,0.6467391,0.8129206,0.5646966,1999-06-30
0.5638717,0.5887501,0.4955294,0.5132743,0.5299145,0.5123967,0.5638629,0.3540462,0.5312500,0.4627438,0.4347826,0.5591072,0.4676517,1999-07-31
0.3027575,0.6435749,0.5025024,0.6106195,0.3931624,0.3663912,0.4922118,0.3034682,0.5694444,0.5980745,0.6086957,0.3713549,0.4676517,1999-08-31
0.4606078,0.4351587,0.5074509,0.2920354,0.4307692,0.3911846,0.4610592,0.2933526,0.3587963,0.4063560,0.2336957,0.7609915,0.5000000,1999-09-30
0.4369724,0.6661619,0.5553056,0.6017699,0.3162393,0.3209366,0.4221184,0.2601156,0.3761574,0.5642418,0.2173913,0.1089053,0.5000000,1999-10-31
0.4316263,0.3994559,0.4273745,0.2743363,0.2871795,0.3099174,0.3504673,0.2586705,0.4884259,0.4063560,0.7608696,0.4647824,0.5000000,1999-11-30
0.6482836,0.5644435,0.4821459,0.4247788,0.0427350,0.1955923,0.0623053,0.0043353,0.0000000,0.2823028,0.0815217,0.7382234,0.5000000,1999-12-31
0.4048959,0.5012769,0.4509925,0.4778761,0.7367521,0.5619835,0.8457944,0.6517341,0.8495370,0.6657399,0.9456522,0.2723194,0.5000000,2000-01-31
0.2664603,0.5986576,0.5251082,0.8318584,0.3435897,0.3374656,0.4283489,0.3713873,0.4224537,0.4852989,0.5217391,0.3392777,0.5000000,2000-02-29
0.4746764,0.5897768,0.5017151,0.6725664,0.7367521,0.6639118,0.7601246,0.3829480,0.6898148,0.5642418,0.3478261,0.5966801,0.5000000,2000-03-31
0.7208779,0.6668806,0.6095147,0.5309735,0.8341880,0.8209366,0.8115265,0.7543353,0.9166667,0.3838008,0.5543478,0.7500000,0.5000000,2000-04-30
0.4513225,0.7092055,0.5112186,0.5663717,0.6051282,0.5674931,0.6308411,0.3439306,0.6296296,0.3725233,0.4782609,0.6437865,0.5000000,2000-05-31
0.6634778,0.4974782,0.4855199,0.5221239,0.5623932,0.5247934,0.5981308,0.3049133,0.6412037,0.4627438,0.5706522,0.6066622,0.5000000,2000-06-30
0.4870568,0.7589482,0.6058595,0.5398230,0.5384615,0.5247934,0.5747664,0.4190751,0.6481481,0.5078540,0.3804348,0.7914984,0.5000000,2000-07-31
0.3033202,0.4295119,0.4106169,0.4336283,0.4581197,0.4449036,0.5327103,0.2962428,0.5706019,0.5867969,0.6032609,0.3764020,0.5000000,2000-08-31
0.4521666,0.8621039,1.0000000,0.5663717,0.3487179,0.3498623,0.4205607,0.2658960,0.3171296,0.4401887,0.1467391,0.4185734,0.5000000,2000-09-30
0.4378165,0.2622913,0.0415003,0.4513274,0.3794872,0.3553719,0.4563863,0.2817919,0.5011574,0.5191316,0.5706522,0.4779049,0.5000000,2000-10-31
0.7093416,0.3823103,0.3633245,0.1504425,0.2051282,0.3209366,0.2180685,0.1531792,0.2210648,0.1920823,0.2717391,0.6382907,0.5000000,2000-11-30
0.3992684,0.5726569,0.5010403,0.4867257,0.4393162,0.3815427,0.5280374,0.3482659,0.5555556,0.4965765,0.5815217,0.2787124,0.5000000,2000-12-31
0.3500281,0.5891865,0.5162234,0.7433628,0.4017094,0.3663912,0.4890966,0.5881503,0.5706019,0.5867969,0.5597826,0.4489681,0.5000000,2001-01-31
0.3182330,0.5769433,0.5014340,0.6991150,0.4205128,0.3512397,0.5031153,0.0419075,0.5173611,0.5642418,0.3967391,0.3244729,0.5000000,2001-02-28
0.5804727,0.7137229,0.5832537,0.6194690,0.7538462,0.7190083,0.7601246,0.6069364,0.7002315,0.5191316,0.6630435,0.7017721,0.5000000,2001-03-31
0.5633089,0.4528689,0.4487994,0.4513274,0.7333333,0.7107438,0.7429907,0.7919075,0.6377315,0.4289111,0.2989130,0.6542171,0.5000000,2001-04-30
0.4783343,0.9765532,0.5977619,0.7876106,0.6034188,0.5674931,0.6277259,0.2861272,0.8078704,0.3838008,0.5434783,0.6634141,0.5000000,2001-05-31
0.5664041,0.5199882,0.5864027,0.4247788,0.6085470,0.5757576,0.6370717,0.2803468,0.5925926,0.5304091,0.6521739,0.7042396,0.5000000,2001-06-30
0.4116488,0.6427536,0.4774785,0.6106195,0.5111111,0.4724518,0.5638629,0.3901734,0.6203704,0.5304091,0.5217391,0.5014581,0.5000000,2001-07-31
0.4048959,0.5600287,0.5325311,0.4778761,0.4358974,0.4022039,0.5124611,0.3164740,0.5462963,0.5304091,0.5380435,0.4995514,0.5000000,2001-08-31
