Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.3839506,0.4121272,0.3756098,0.7916667,0.3714286,0.3630952,0.4285714,0.2934783,0.5487179,0.6511628,0.7343750,0.3029963,0.0000000,1997-02-28
0.4598765,0.6091584,0.7512195,0.7083333,0.7642857,0.7440476,0.7959184,0.4836957,0.7333333,0.5581395,0.5468750,0.5524345,0.0000000,1997-03-31
0.5425926,0.7700602,0.8434146,0.5416667,0.7285714,0.7857143,0.7278912,0.6576087,0.5948718,0.4883721,0.5781250,0.9026217,0.0000000,1997-04-30
0.4037037,0.2276992,0.2502439,0.1666667,0.7142857,0.7380952,0.7006803,0.6304348,0.7794872,0.3720930,0.4062500,0.7917603,0.0000000,1997-05-31
0.7043210,0.7433133,0.6390244,0.7083333,0.6142857,0.6428571,0.6258503,0.6086957,0.6000000,0.4651163,0.3750000,0.3692884,0.0000000,1997-06-30
0.3074074,0.6871587,0.5990244,0.7083333,0.4214286,0.3571429,0.5306122,0.1793478,0.5692308,0.6046512,0.7343750,0.1827715,0.0000000,1997-07-31
0.5185185,0.4369136,0.5951220,0.2500000,0.4928571,0.5714286,0.5170068,0.5434783,0.4512821,0.5116279,0.4531250,0.8179775,0.0000000,1997-08-31
0.3820988,0.3698362,0.5190244,0.5416667,0.2357143,0.2857143,0.2925170,0.1195652,0.1897436,0.5813953,0.5312500,0.2692884,0.0000000,1997-09-30
0.5185185,0.2985576,0.5385366,0.2083333,0.5071429,0.5773810,0.5034014,0.4293478,0.5230769,0.4418605,0.3750000,0.8513109,0.0000000,1997-10-31
0.5679012,0.3719367,0.3014634,0.3333333,0.3000000,0.3750000,0.3401361,0.4945652,0.4461538,0.4186047,0.4531250,0.4134831,0.0000000,1997-11-30
0.5030864,0.5160342,0.6063415,0.6666667,0.1642857,0.1488095,0.2857143,0.0923913,0.3282051,0.5813953,0.6562500,0.1722846,0.0000000,1997-12-31
0.3567901,0.4464361,0.4209756,0.5000000,0.4071429,0.4583333,0.4421769,0.5380435,0.3948718,0.5581395,0.6406250,0.4883895,0.0000000,1998-01-31
0.4345679,0.5185548,0.5902439,0.4166667,0.5428571,0.5476190,0.5850340,0.3260870,0.5538462,0.5348837,0.6250000,0.4397004,0.0000000,1998-02-28
0.4395062,0.5189749,0.6341463,0.9166667,0.6071429,0.5892857,0.6326531,0.3532609,0.6512821,0.6046512,0.5156250,0.4928839,0.0000000,1998-03-31
0.5672840,0.5030108,0.4965854,0.2083333,0.8500000,0.8690476,0.8435374,0.5326087,0.9076923,0.4186047,0.2812500,0.8172285,0.0000000,1998-04-30
0.4197531,0.7517154,0.6346341,0.6666667,0.6428571,0.6488095,0.6462585,0.7336957,0.5948718,0.4418605,0.6875000,0.7434457,0.0000000,1998-05-31
0.5993827,0.5030108,0.7380488,0.5000000,0.6214286,0.6190476,0.6666667,0.4728261,0.6256410,0.4418605,0.5625000,0.3752809,0.0000000,1998-06-30
0.6376543,0.2394623,0.2604878,0.2916667,0.5071429,0.5238095,0.5578231,0.2717391,0.6153846,0.4186047,0.5000000,0.7370787,0.0000000,1998-07-31
0.2055556,0.5954348,0.6336585,0.5416667,0.3928571,0.4345238,0.4285714,0.3913043,0.4307692,0.6511628,0.5468750,0.5509363,0.0000000,1998-08-31
0.4864198,0.6423470,0.9068293,0.5833333,0.3428571,0.4226190,0.3877551,0.2717391,0.3743590,0.5581395,0.4062500,0.3951311,0.0000000,1998-09-30
