Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.1213793,0.4302110,0.3567867,0.5714286,0.4000000,0.3818182,0.4746835,0.4746835,0.5804878,0.5714286,0.6060606,0.3620567,0.5194346,1997-02-28
0.3144828,0.5328078,0.4750693,0.7428571,0.7448276,0.7333333,0.7531646,0.4683544,0.7219512,0.5918367,0.5909091,0.5524823,0.5194346,1997-03-31
0.4993103,0.6503594,0.5349030,0.4857143,0.7241379,0.7818182,0.7151899,0.7721519,0.5853659,0.4693878,0.5606061,0.8858156,0.5194346,1997-04-30
0.3951724,0.3492928,0.3675900,0.3142857,0.7103448,0.7393939,0.6898734,0.7341772,0.7756098,0.4285714,0.1818182,0.7861702,0.5194346,1997-05-31
0.8751724,0.5926269,0.4731302,0.7142857,0.6344828,0.6545455,0.6518987,0.7151899,0.6292683,0.3877551,0.3787879,0.3918440,0.5194346,1997-06-30
0.2124138,0.5779040,0.5146814,0.5714286,0.4482759,0.3575758,0.5316456,0.2468354,0.6146341,0.6530612,0.7121212,0.2443262,0.5194346,1997-07-31
0.2703448,0.5660793,0.4861496,0.3428571,0.4965517,0.5757576,0.5189873,0.5886076,0.4829268,0.5102041,0.4848485,0.8163121,0.5194346,1997-08-31
0.3655172,0.4813355,0.5423823,0.6285714,0.2551724,0.2969697,0.3227848,0.2468354,0.2341463,0.5510204,0.5000000,0.3294326,0.5194346,1997-09-30
0.5724138,0.3002550,0.2443213,0.4285714,0.5034483,0.5636364,0.5126582,0.4746835,0.5121951,0.4489796,0.2121212,0.7705674,0.5194346,1997-10-31
0.5248276,0.3419893,0.3925208,0.2857143,0.3310345,0.3696970,0.3797468,0.5000000,0.4731707,0.4285714,0.3484848,0.4170213,0.5212363,1997-11-30
0.2868966,0.4762346,0.4299169,0.5714286,0.1655172,0.1575758,0.2784810,0.1265823,0.4048780,0.5510204,0.5303030,0.1914894,0.5176330,1997-12-31
0.4462069,0.4576861,0.4036011,0.5428571,0.4413793,0.4484848,0.4556962,0.5316456,0.4097561,0.5510204,0.6212121,0.5613475,0.5212244,1998-01-31
0.3565517,0.4762346,0.4240997,0.5142857,0.5586207,0.5696970,0.6265823,0.4746835,0.5658537,0.5510204,0.5303030,0.4617021,0.5176448,1998-02-28
0.3186207,0.5416184,0.5717452,0.8571429,0.6000000,0.5878788,0.6139241,0.5443038,0.6195122,0.5918367,0.5606061,0.4822695,0.5194346,1998-03-31
0.5648276,0.4419198,0.3590028,0.1714286,0.8482759,0.8787879,0.8291139,0.9113924,0.9756098,0.4489796,0.4090909,0.8375887,0.5194346,1998-04-30
