Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.3062701,0.4767485,0.4071060,0.6875000,0.3750000,0.3525641,0.4492754,0.4740260,0.5393258,0.4871795,0.6172840,0.2579505,0.5206912,1997-02-28
0.4710611,0.5678792,0.5155953,0.6875000,0.7573529,0.7692308,0.7826087,0.4870130,0.6573034,0.2564103,0.5308642,0.6222615,0.5214406,1997-03-31
0.5892283,0.6383836,0.5958774,0.5000000,0.7647059,0.8076923,0.7318841,0.7077922,0.5674157,0.3076923,0.5308642,0.7734982,0.5210659,1997-04-30
0.9437299,0.5240015,0.4854896,0.3437500,0.6985294,0.6987179,0.7101449,0.7207792,0.6292135,0.1025641,0.2962963,0.7187279,0.5210659,1997-05-31
0.2757235,0.6173823,0.5440738,0.7812500,0.6102941,0.6474359,0.6376812,0.6233766,0.6685393,0.1025641,0.4320988,0.4378092,0.5206912,1997-06-30
0.3842444,0.5404088,0.4795226,0.6250000,0.4338235,0.4102564,0.5072464,0.2792208,0.5674157,0.4102564,0.5679012,0.2378092,0.5229395,1997-07-31
0.5691318,0.5192200,0.5863846,0.4375000,0.5220588,0.6089744,0.5144928,0.5519481,0.4325843,0.4615385,0.3827160,0.7544170,0.5236890,1997-08-31
0.3898714,0.4879055,0.4005967,0.5000000,0.2500000,0.3076923,0.2898551,0.3311688,0.0955056,1.0000000,0.4814815,0.3000000,0.5233143,1997-09-30
0.5884244,0.4504969,0.4857608,0.2500000,0.5220588,0.5833333,0.5434783,0.4090909,0.5842697,0.1025641,0.3580247,0.8869258,0.5225648,1997-10-31
0.6366559,0.4039002,0.3840521,0.4062500,0.3088235,0.3589744,0.3550725,0.5454545,0.3876404,0.3846154,0.3580247,0.3166078,0.5150702,1997-11-30
0.2347267,0.5170636,0.4732845,0.7187500,0.1617647,0.1923077,0.2173913,0.1363636,0.2977528,0.3846154,0.5185185,0.1261484,0.5210659,1997-12-31
0.4622186,0.5270017,0.4936263,0.5312500,0.4117647,0.4423077,0.4492754,0.4935065,0.3820225,0.1538462,0.5679012,0.5318021,0.5184428,1998-01-31
0.4236334,0.5139696,0.4716572,0.6250000,0.5294118,0.5384615,0.5724638,0.4545455,0.4157303,0.3846154,0.4938272,0.3791519,0.5221782,1998-02-28
0.4590032,0.5505344,0.5446162,0.7187500,0.6176471,0.6217949,0.6376812,0.5324675,0.6910112,0.5128205,0.5802469,0.5060071,0.5262565,1998-03-31
0.6760450,0.5270954,0.5142392,0.2812500,0.8602941,0.9230769,0.8478261,1.0000000,0.8426966,0.3333333,0.2345679,0.7971731,0.5180999,1998-04-30
