Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.2988506,0.4807434,0.4430823,0.5531915,0.7843137,0.7166667,1.0000000,0.6588235,0.8828829,0.6136364,0.4736842,0.2107914,0.0248638,1997-02-28
0.5686275,0.4676065,0.4238179,0.4680851,0.6078431,0.7000000,0.4400000,0.6000000,0.4954955,0.5227273,0.3684211,0.8564748,0.0147456,1997-03-31
0.5490196,0.4924704,0.4502627,0.7234043,0.8627451,0.9000000,0.8000000,0.6705882,0.8558559,0.7500000,0.3947368,0.4607914,0.0217019,1997-04-30
0.0743746,0.4836270,0.4556918,0.6382979,0.6862745,0.7500000,0.6800000,0.9882353,0.6576577,1.0000000,0.2631579,0.3823741,0.0200155,1997-05-31
0.7762001,0.4619032,0.4122592,0.4468085,0.5686275,0.6000000,0.5400000,0.4000000,0.7117117,0.0000000,0.5263158,0.6834532,0.0404628,1997-06-30
0.4435429,0.5074656,0.4639229,0.6808511,0.4117647,0.4000000,0.4600000,0.2470588,0.5135135,0.7500000,0.4736842,0.2629496,0.0762983,1997-07-31
0.4388100,0.4974047,0.4443082,0.7021277,0.4705882,0.6333333,0.4000000,0.7411765,0.5315315,0.5681818,0.4210526,0.5377698,0.0619641,1997-08-31
0.2190669,0.6139058,0.4880911,0.5957447,0.2352941,0.2000000,0.3000000,0.1882353,0.5675676,0.7500000,0.4736842,0.3438849,0.0937944,1997-09-30
0.3914807,0.4162128,0.4341506,0.5957447,0.3725490,0.3000000,0.3600000,0.2000000,0.5405405,0.6136364,0.6842105,0.5805755,0.1136093,1997-10-31
0.5780933,0.4558795,0.4847636,0.4468085,0.2941176,0.3500000,0.3200000,0.3764706,0.4414414,0.5681818,0.3421053,0.3079137,0.1302622,1997-11-30
0.5530764,0.4176226,0.3203152,0.6382979,0.2941176,0.4166667,0.2400000,0.3647059,0.4594595,0.5909091,0.5263158,0.5892086,0.1300514,1997-12-31
0.3542934,0.4543416,0.4422067,0.4255319,0.4901961,0.5833333,0.4800000,0.5176471,0.5405405,0.6136364,0.4473684,0.5334532,0.1273085,1998-01-31
