Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.4144144,0.4735603,0.5337705,0.6500000,0.8666667,0.7611940,0.8571429,0.8032787,0.8631579,0.2500000,0.6666667,0.2629851,0.4228492,1997-02-28
0.6509009,0.3957805,0.4285246,0.4250000,0.6888889,0.7462687,0.5714286,0.7704918,0.5894737,0.3125000,0.4722222,0.8955224,0.4368023,1997-03-31
0.4306306,0.6053060,0.7196721,0.7750000,0.8222222,0.7164179,0.7571429,0.7868852,0.6105263,0.5000000,0.5277778,0.4307463,0.4465272,1997-04-30
0.2144144,0.5717131,0.2196721,0.2500000,0.6222222,0.2835821,0.6857143,0.4098361,0.7263158,0.4375000,0.6388889,0.4059701,0.5319371,1997-05-31
0.7252252,0.2668417,0.6229508,0.9000000,0.5555556,0.5373134,0.7000000,0.0327869,0.6210526,0.6875000,0.8055556,0.6313433,0.5454673,1997-06-30
0.3630631,0.6628033,0.5931148,0.7250000,0.2666667,0.3731343,0.4285714,0.4262295,0.5578947,0.6875000,0.5833333,0.2588060,1.0000000,1997-07-31
0.5540541,0.4623325,0.5986885,0.4750000,0.5777778,0.5671642,0.6142857,0.4590164,0.6210526,0.4375000,0.5277778,0.6913433,0.2355395,1997-08-31
0.4860360,0.1680551,0.2239344,0.3250000,0.7333333,0.7462687,0.6714286,0.7704918,0.7157895,0.5000000,0.4444444,0.5492537,0.2435731,1997-09-30
0.4549550,0.5008149,0.5281967,0.7000000,0.5333333,0.6865672,0.4571429,0.5409836,0.5157895,0.3750000,0.4583333,0.7265672,0.3928289,1997-10-31
0.4896396,0.4205904,0.5190164,0.3250000,0.4666667,0.5074627,0.6000000,0.6229508,0.6631579,0.2500000,0.5000000,0.5964179,0.6668170,1997-11-30
0.5612613,0.2379573,0.2485246,0.2500000,0.4666667,0.5970149,0.4571429,0.4098361,0.5263158,0.1250000,0.5416667,0.7053731,0.4833126,1997-12-31
0.4490991,0.4312749,0.4688525,0.5000000,0.4888889,0.6119403,0.4857143,0.5245902,0.5157895,0.2500000,0.5555556,0.6477612,0.2743870,1998-01-31
0.4500000,0.4330858,0.4754098,0.5250000,0.6444444,0.7164179,0.6285714,0.7704918,0.6842105,0.5625000,0.5555556,0.4617910,0.2702796,1998-02-28
0.7292793,0.4330858,0.4754098,0.5250000,0.8222222,0.8208955,0.6571429,0.8524590,0.6526316,0.1875000,0.3611111,0.6626866,0.3736133,1998-03-31
0.3990991,0.4489315,0.5134426,0.6250000,0.7555556,0.6268657,0.7857143,0.6065574,0.7157895,0.3750000,0.5694444,0.3823881,0.5462512,1998-04-30
0.0063063,0.5753350,0.5544262,0.7250000,0.6888889,0.5074627,0.7142857,0.4918033,0.6526316,0.6250000,0.7083333,0.5543284,0.5325563,1998-05-31
0.7315315,0.5916335,0.7649180,0.6750000,0.2666667,0.1194030,0.5285714,0.0655738,0.5578947,1.0000000,0.8333333,0.4256716,0.7197190,1998-06-30
