Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.6630484,0.5309265,0.5786290,0.5526316,0.8481013,0.6235294,1.0000000,0.5476190,0.7712418,0.5000000,0.6491228,0.2307971,0.0000000,1997-02-28
0.7521483,0.5169204,0.5032258,0.5526316,0.5822785,0.7411765,0.4204545,0.6309524,0.4575163,0.2500000,0.3333333,0.6775362,0.0000000,1997-03-31
0.3563998,0.6876033,0.6770161,0.8157895,0.6075949,0.3882353,0.9659091,0.5595238,0.8104575,0.8750000,0.5789474,0.2713768,0.0000000,1997-04-30
0.2519222,0.5998260,0.5330645,0.6315789,0.4683544,0.2588235,0.4318182,0.2976190,0.6143791,0.7083333,0.9298246,0.3137681,0.0000000,1997-05-31
0.7874265,0.3390170,0.3141129,0.4210526,0.4810127,0.3176471,0.4772727,0.4642857,0.4575163,0.5833333,0.5789474,0.3547101,0.0000000,1997-06-30
0.5472637,0.7021314,0.7104839,0.6842105,0.4050633,0.2117647,0.5113636,0.2738095,0.5751634,0.7083333,0.6140351,0.2420290,0.0000000,1997-07-31
0.6182723,0.5579817,0.5298387,0.6315789,0.4177215,0.3882353,0.4431818,0.3928571,0.4575163,0.5416667,0.5438596,0.5568841,0.0154515,1997-08-31
0.6472185,0.4321009,0.5060484,0.2631579,0.4810127,0.5294118,0.3977273,0.6547619,0.4052288,0.3333333,0.3684211,0.5742754,0.0281763,1997-09-30
0.7878788,0.4005220,0.3524194,0.3684211,0.4683544,0.5647059,0.3750000,0.4285714,0.4313725,0.2916667,0.5087719,0.7619565,0.0136337,1997-10-31
0.7883311,0.4082645,0.4338710,0.1842105,0.3670886,0.2588235,0.2840909,0.5714286,0.2941176,0.3333333,0.4736842,0.5804348,0.0000000,1997-11-30
0.7661692,0.4953458,0.4500000,0.3947368,0.3164557,0.4000000,0.2386364,0.3690476,0.3202614,0.4166667,0.2982456,0.6199275,0.0000000,1997-12-31
0.5979195,0.5155285,0.5080645,0.5000000,0.5696203,0.5058824,0.5454545,0.6666667,0.5359477,0.5000000,0.8070175,0.4278986,0.0000000,1998-01-31
0.6481230,0.5190953,0.5205645,0.5789474,0.7088608,0.7058824,0.7045455,0.6666667,0.6601307,0.2916667,0.5087719,0.3818841,0.0000000,1998-02-28
0.8982361,0.5119617,0.4955645,0.4210526,0.6329114,0.5176471,0.6022727,0.6428571,0.7058824,0.2083333,0.5789474,0.5467391,0.0000000,1998-03-31
0.3853460,0.5923445,0.6060484,0.6842105,0.5443038,0.4000000,0.6590909,0.5238095,0.4444444,0.6666667,0.4736842,0.2971014,0.0000000,1998-04-30
0.0343736,0.5460635,0.4979839,0.6842105,0.4556962,0.1882353,0.6136364,0.2976190,0.6535948,0.9166667,0.7543860,0.2960145,0.0017621,1998-05-31
0.8620534,0.4706394,0.4943548,0.5263158,0.4556962,0.3294118,0.4886364,0.2261905,0.5098039,0.7083333,0.8070175,0.5307971,0.0740088,1998-06-30
0.5997286,0.5439756,0.5762097,0.5263158,0.3797468,0.3529412,0.4204545,0.4047619,0.4705882,0.4166667,0.5789474,0.4851449,0.2414097,1998-07-31
0.5282678,0.5871248,0.4951613,0.6842105,0.3417722,0.3176471,0.3863636,0.4166667,0.4313725,0.7083333,0.5789474,0.3126812,1.0000000,1998-08-31
0.5635459,0.6243584,0.6758065,0.5526316,0.4177215,0.2235294,0.5113636,0.2261905,0.4967320,0.5833333,0.6315789,0.2992754,0.1286344,1998-09-30
0.7064677,0.3658982,0.3532258,0.2631579,0.3797468,0.3882353,0.2840909,0.5000000,0.2679739,0.3333333,0.5438596,0.6724638,0.0149780,1998-10-31
0.6607870,0.5417138,0.6358871,0.4210526,0.3544304,0.2235294,0.4090909,0.4404762,0.4117647,0.4583333,0.5263158,0.3304348,0.0017621,1998-11-30
0.8064224,0.3811222,0.2834677,0.2894737,0.3417722,0.2941176,0.3409091,0.4642857,0.4640523,0.3333333,0.4035088,0.7159420,0.0000000,1998-12-31
0.7177748,0.5051762,0.4770161,0.3947368,0.4683544,0.5058824,0.3636364,0.7023810,0.2026144,0.4166667,0.5614035,0.5420290,0.0000000,1999-01-31
0.6829489,0.5266638,0.5596774,0.5000000,0.5316456,0.5294118,0.4772727,0.5476190,0.6797386,0.3333333,0.4736842,0.5960145,0.0000000,1999-02-28
0.5920398,0.5594606,0.5701613,0.7894737,0.7974684,0.8352941,0.7840909,0.4523810,0.6339869,0.5833333,0.5087719,0.4931159,0.0000000,1999-03-31
0.5454545,0.4914311,0.4233871,0.4210526,0.5316456,0.3294118,0.6250000,0.5595238,0.6470588,0.7500000,0.6842105,0.2605072,0.0000000,1999-04-30
0.2207146,0.7006525,0.9056452,0.8947368,0.4050633,0.2823529,0.5227273,0.1547619,0.6078431,0.7083333,0.7368421,0.4485507,0.0000000,1999-05-31
0.7159656,0.4667247,0.2947581,0.4210526,0.4177215,0.1647059,0.4886364,0.4404762,0.5098039,0.6250000,0.6315789,0.1858696,0.0725481,1999-06-30
0.6720941,0.5124837,0.5048387,0.6052632,0.4556962,0.3764706,0.4886364,0.5119048,0.4836601,0.5000000,0.5263158,0.5152174,0.0674270,1999-07-31
0.5915875,0.6087864,0.4842742,0.3947368,0.4303797,0.5058824,0.3863636,0.3690476,0.4509804,0.4583333,0.5438596,0.6206522,0.0000000,1999-08-31
