Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.5563736,0.4645323,0.4901364,0.5813953,0.5046555,0.4606061,0.6223507,0.3852327,0.6002183,0.4314715,0.3935185,0.5163950,0.0000000,1997-02-28
0.6844762,0.6049111,0.5842669,0.6589147,0.7448790,0.6893939,0.8092486,0.6500803,0.7011871,0.4840900,0.5000000,0.7594479,0.0000000,1997-03-31
0.4766512,0.5339504,0.6134925,0.6434109,0.5270019,0.4484848,0.6339114,0.2616372,0.6657116,0.5893269,0.5879630,0.6077251,0.0000000,1997-04-30
0.3056374,0.3947854,0.4950073,0.3410853,0.7299814,0.6227273,0.8342967,0.5120385,0.7080093,0.3367582,0.4907407,0.7118377,0.0000000,1997-05-31
0.6741691,0.6532888,0.5161958,0.7751938,0.4674115,0.3212121,0.6763006,0.2680578,0.7380270,0.9050378,0.6157407,0.1968322,0.0000000,1997-06-30
0.2526294,0.7818577,0.6171456,0.7441860,0.3873371,0.2909091,0.5510597,0.1107544,0.6056761,0.8208482,0.7592593,0.2408299,0.0000000,1997-07-31
0.7162390,0.1625825,0.4746712,0.2868217,0.4729981,0.5075758,0.5202312,0.4157303,0.4883340,0.3157109,0.1527778,0.8539274,0.0000000,1997-08-31
0.4737064,0.4147384,0.4352168,0.3643411,0.2774674,0.2818182,0.3526012,0.2889246,0.3095920,0.5156611,0.4490741,0.5741015,0.0000000,1997-09-30
0.5416491,0.3606707,0.4029469,0.3875969,0.4227188,0.4333333,0.5067437,0.2118780,0.5770228,0.4630426,0.5925926,0.7625973,0.0000000,1997-10-31
0.5881363,0.3351036,0.3127131,0.2015504,0.2122905,0.2136364,0.2755299,0.1765650,0.3546186,0.5472322,0.3518519,0.4757318,0.0000000,1997-11-30
0.4570888,0.4972562,0.5550414,0.6201550,0.3072626,0.2484848,0.4547206,0.2985554,0.4678674,0.6208980,0.5555556,0.5019452,0.0000000,1997-12-31
0.8014304,0.4306957,0.3947881,0.2790698,0.4208566,0.4696970,0.4296724,0.2841091,0.4637740,0.2209976,0.2731481,0.7399037,0.0000000,1998-01-31
0.6731174,0.5151607,0.6172674,0.6434109,0.4972067,0.4893939,0.5549133,0.4221509,0.5401828,0.3578056,0.4351852,0.5316784,0.0000000,1998-02-28
0.9133361,0.5205473,0.5692888,0.4573643,0.7206704,0.6424242,0.7938343,0.6179775,0.7312048,0.3367582,0.4120370,0.6691367,0.0000000,1998-03-31
0.1220025,0.5027944,0.4270580,0.8449612,0.5623836,0.4333333,0.7379576,0.2712681,0.7898758,0.8524193,0.5787037,0.5943868,0.0000000,1998-04-30
0.3411864,0.6509117,0.6447881,0.6434109,0.5605214,0.4484848,0.7360308,0.3467095,0.6561605,0.8629430,0.7870370,0.4706373,0.0000000,1998-05-31
0.3304586,1.0000000,1.0000000,0.6434109,0.5214153,0.3621212,0.6994220,0.2504013,0.7462137,0.5998506,0.5787037,0.3105780,0.0000000,1998-06-30
0.4106016,0.2818451,0.3426693,0.5426357,0.3873371,0.3196970,0.5356455,0.2808989,0.5879383,0.5682795,0.4398148,0.3899592,0.0000000,1998-07-31
0.6365166,0.3300205,0.2703361,0.3953488,0.4692737,0.5015152,0.5105973,0.3033708,0.5128940,0.4209478,0.5555556,0.8249352,0.0000000,1998-08-31
0.7385360,0.0422578,0.2530443,0.0000000,0.3798883,0.4287879,0.4084778,0.2696629,0.2113522,0.3157109,0.0046296,0.7361060,0.0000000,1998-09-30
0.5479596,0.4376754,0.4258402,0.5116279,0.3072626,0.3136364,0.3911368,0.3065811,0.5592850,0.6840402,0.6296296,0.5414969,0.0000000,1998-10-31
0.3992427,0.4996839,0.5769605,0.3643411,0.2048417,0.2196970,0.2909441,0.1861958,0.3914586,0.5788032,0.5138889,0.5784550,0.0000000,1998-11-30
