Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.3492205,0.4857526,0.5252252,0.7317073,0.3612903,0.3027027,0.4366197,0.3459459,0.6205128,0.4186047,0.3888889,0.2302083,0.5060241,1997-02-28
0.6552339,0.6664258,0.6588589,0.4390244,0.7612903,0.8162162,0.7183099,0.7243243,0.7435897,0.4418605,0.4777778,0.8315972,0.5060241,1997-03-31
0.6383073,0.5601900,0.5876877,0.4878049,0.5677419,0.5459459,0.5140845,0.3621622,0.6769231,0.3953488,0.4888889,0.7232639,0.5060241,1997-04-30
0.3122494,0.3553582,0.4906907,0.4634146,0.6774194,0.6324324,0.7535211,0.5243243,0.7179487,0.4883721,0.5333333,0.6493056,0.5060241,1997-05-31
0.6935412,0.6843898,0.7492492,0.6585366,0.4322581,0.3783784,0.5070423,0.3783784,0.6410256,0.5813953,0.6000000,0.2059028,0.5060241,1997-06-30
0.2365256,0.8305802,0.6993994,0.6341463,0.3483871,0.3243243,0.4084507,0.1675676,0.6307692,0.5813953,0.7555556,0.1020833,0.5060241,1997-07-31
0.6966592,0.3593847,0.7000000,0.3414634,0.4709677,0.5189189,0.4436620,0.5405405,0.5384615,0.3255814,0.2111111,0.8458333,0.5060241,1997-08-31
0.3358575,0.1806731,0.0960961,0.5121951,0.2000000,0.2216216,0.1830986,0.2378378,0.1692308,0.4418605,0.3777778,0.4190972,0.5124896,1997-09-30
0.4628062,0.4553995,0.5873874,0.4634146,0.4322581,0.4486486,0.4366197,0.3945946,0.5384615,0.4418605,0.4777778,0.6673611,0.4995585,1997-10-31
0.7002227,0.3066281,0.3954955,0.2439024,0.2580645,0.2918919,0.2535211,0.2486486,0.5076923,0.4186047,0.5000000,0.5357639,0.5060241,1997-11-30
0.3492205,0.5652488,0.6588589,0.7804878,0.2129032,0.2486486,0.1619718,0.3513514,0.2923077,0.4651163,0.5000000,0.4944444,0.5060241,1997-12-31
0.7777283,0.4206071,0.4435435,0.3414634,0.4322581,0.4864865,0.4225352,0.4108108,0.5641026,0.3023256,0.2777778,0.7010417,0.5060241,1998-01-31
0.6271715,0.5561635,0.6087087,0.5365854,0.4903226,0.4486486,0.5070423,0.3783784,0.5333333,0.3953488,0.4222222,0.4243056,0.5060241,1998-02-28
0.6467706,0.5106339,0.6243243,0.5121951,0.6258065,0.6378378,0.6197183,0.6972973,0.7487179,0.3488372,0.3777778,0.5270833,0.5060241,1998-03-31
0.2240535,0.5566797,0.4915916,0.6585366,0.5935484,0.5351351,0.6338028,0.3081081,0.8205128,0.5581395,0.6666667,0.6923611,0.5060241,1998-04-30
0.4026726,0.5738179,0.6369369,0.6097561,0.4774194,0.4648649,0.5492958,0.3621622,0.6153846,0.5581395,0.7000000,0.3159722,0.5060241,1998-05-31
0.3884187,0.7952715,0.5402402,0.5853659,0.5161290,0.4324324,0.5915493,0.4324324,0.7282051,0.5581395,0.5666667,0.3215278,0.5060241,1998-06-30
0.4953229,0.3832335,0.6540541,0.5365854,0.4064516,0.4054054,0.4154930,0.3513514,0.6256410,0.4651163,0.4444444,0.4923611,0.5060241,1998-07-31
0.4124722,0.4653108,0.5585586,0.4390244,0.3935484,0.4432432,0.3802817,0.3243243,0.4410256,0.3720930,0.5777778,0.5857639,0.5060241,1998-08-31
0.5902004,0.4156515,0.7558559,0.1463415,0.3483871,0.4000000,0.3169014,0.3675676,0.4461538,0.2325581,0.1444444,0.7034722,0.5250433,1998-09-30
0.4485523,0.2408631,0.1750751,0.6585366,0.2516129,0.2702703,0.2535211,0.3081081,0.4410256,0.5581395,0.4777778,0.4090278,0.4870049,1998-10-31
0.4654788,0.4908115,0.5618619,0.3414634,0.2516129,0.3081081,0.2253521,0.2486486,0.4410256,0.4418605,0.5888889,0.6513889,0.5060241,1998-11-30
0.4641425,0.4560190,0.4960961,0.5609756,0.2322581,0.2000000,0.2816901,0.3945946,0.2923077,0.3953488,0.3888889,0.2534722,0.5060241,1998-12-31
0.5247216,0.5217840,0.5750751,0.6097561,0.3548387,0.4054054,0.2957746,0.4108108,0.4923077,0.4186047,0.4222222,0.6645833,0.5060241,1999-01-31
0.5287305,0.4387776,0.5060060,0.5365854,0.5161290,0.5027027,0.5633803,0.5297297,0.5743590,0.3488372,0.4555556,0.3604167,0.5060241,1999-02-28
