Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.3027196,0.5735899,0.6008224,0.8358209,0.9893617,0.6361431,1.0000000,0.4368932,0.8249090,0.6551724,0.5142857,0.2478114,0.0052220,1997-02-28
0.9478377,0.4223463,0.4578947,0.4029851,0.5106383,0.6452395,0.4022929,0.9417476,0.4933279,0.4482759,0.4095238,0.7661055,0.0013055,1997-03-31
0.2447615,0.7122013,0.6531250,0.8507463,0.6170213,0.4724075,0.8061490,0.3980583,0.7521229,0.7586207,0.6761905,0.2307520,0.0039165,1997-04-30
0.4404815,0.2887779,0.3018092,0.5074627,0.6063830,0.3541540,0.8949974,0.4368932,0.7925596,0.6724138,0.6952381,0.3286195,0.0248044,1997-05-31
0.7293803,0.3832256,0.4935855,0.4029851,0.3617021,0.3450576,0.2569046,0.5533981,0.5378083,0.6034483,0.5428571,0.6271605,0.0234989,1997-06-30
0.4676772,0.6514395,0.5039474,0.8059701,0.2978723,0.1813220,0.4669098,0.1650485,0.6308128,0.6551724,0.7238095,0.2085297,0.0391648,1997-07-31
0.6246099,0.4126028,0.4652961,0.4029851,0.4042553,0.3541540,0.5072955,0.5048544,0.5903761,0.5689655,0.5619048,0.4496072,0.0522198,1997-08-31
0.6397682,0.3102722,0.4393092,0.3731343,0.4893617,0.7180109,0.3861386,0.6601942,0.4488476,0.4827586,0.4000000,0.6408530,0.0469978,1997-09-30
0.6611681,0.4743929,0.5175987,0.5671642,0.3936170,0.5360825,0.3538301,0.4466019,0.5458957,0.5172414,0.3809524,0.6518519,0.0274154,1997-10-31
0.7449844,0.2553858,0.4381579,0.1343284,0.3404255,0.3814433,0.3538301,0.5631068,0.4326729,0.4310345,0.4095238,0.5939394,0.2284615,1997-11-30
0.9398128,0.3457697,0.3796053,0.1641791,0.3191489,0.5360825,0.2730589,0.6310680,0.3922362,0.3448276,0.2761905,0.7010101,0.0000000,1997-12-31
0.6201516,0.4205347,0.4356908,0.4477612,0.4255319,0.5360825,0.3376759,0.6990291,0.5458957,0.3793103,0.4952381,0.5313131,0.0037608,1998-01-31
0.5523852,0.4747846,0.5712171,0.5820896,0.7446809,0.7998787,0.7092236,0.9611650,0.7076425,0.6034483,0.6190476,0.3099888,0.0075217,1998-02-28
