Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.4570313,0.3620916,0.2098188,0.4230769,0.4488017,0.3893804,0.5275203,0.5015723,0.7343511,0.6250000,0.5818182,0.4835408,0.0000000,1997-02-28
0.5673828,0.6313102,0.7430353,0.7948718,0.7581699,0.7104699,0.7764624,0.5078616,0.7007634,0.6388889,0.4484848,0.5600277,0.0000000,1997-03-31
0.6972656,0.5624802,0.6288720,0.6923077,0.7211329,0.7231684,0.7270691,0.6194969,0.6244275,0.4166667,0.5636364,0.9262794,0.0000000,1997-04-30
0.6002604,0.4454739,0.5205533,0.1410256,0.7233115,0.7032137,0.6480399,0.6006289,0.7251908,0.2916667,0.2303030,0.7731674,0.0000000,1997-05-31
0.8108724,0.3819316,0.4812001,0.7307692,0.5708061,0.5689728,0.6776758,0.5974843,0.6503817,0.5138889,0.4363636,0.4669433,0.0000000,1997-06-30
0.2923177,0.5990419,0.4732125,0.9358974,0.4248366,0.3803100,0.5551805,0.3160377,0.6244275,0.7083333,0.6242424,0.6825726,0.0061611,1997-07-31
0.7408854,0.5289465,0.6666667,0.3846154,0.5163399,0.5417618,0.5077629,0.5518868,0.5022901,0.3888889,0.1454545,0.7536653,0.0000000,1997-08-31
0.4886068,0.3294165,0.5026300,0.4358974,0.3137255,0.3621694,0.3832919,0.3443396,0.2519084,0.4722222,0.4424242,0.4378976,0.0000000,1997-09-30
0.6816406,0.4275772,0.4956166,0.3076923,0.4749455,0.4492445,0.4939328,0.4119497,0.4778626,0.4444444,0.2484848,0.6443983,0.0020537,1997-10-31
0.7246094,0.3495729,0.3582700,0.3461538,0.2745098,0.3150037,0.3062383,0.4638365,0.3877863,0.3055556,0.3515152,0.4571231,0.0000000,1997-11-30
0.4225260,0.4866905,0.5601013,0.5769231,0.2527233,0.1499237,0.3852676,0.2500000,0.5007634,0.4861111,0.4545455,0.3986169,0.0041074,1997-12-31
0.5764974,0.4574502,0.4973700,0.6666667,0.4052288,0.4456164,0.4089764,0.5660377,0.3740458,0.4861111,0.4909091,0.4997234,0.0000000,1998-01-31
0.5911458,0.4794595,0.5733489,0.3076923,0.6013072,0.5889275,0.6381612,0.5534591,0.6091603,0.4722222,0.3939394,0.5439834,0.0000000,1998-02-28
0.5387370,0.5364487,0.7036821,0.8589744,0.6470588,0.5871135,0.6757001,0.5188679,0.6152672,0.6250000,0.4848485,0.5683264,0.0000000,1998-03-31
0.9007161,0.5235233,0.5604909,0.2948718,0.8278867,0.8229420,0.8219042,0.6194969,0.8732824,0.3055556,0.2545455,0.7753804,0.0000000,1998-04-30
0.5709635,0.5182356,0.5832846,0.6410256,0.6078431,0.5834853,0.6361855,0.4716981,0.6015267,0.5000000,0.4848485,0.7297372,0.0000000,1998-05-31
0.3883464,0.7033037,0.6999805,0.8333333,0.5729847,0.5290634,0.6361855,0.4496855,0.7480916,0.6111111,0.6484848,0.6968188,0.0000000,1998-06-30
0.7304687,0.3268857,0.4776934,0.4615385,0.5032680,0.5054805,0.5472776,0.4795597,0.5633588,0.3611111,0.4000000,0.6308437,0.0000000,1998-07-31
0.6432292,0.3720342,0.3319696,0.3717949,0.4836601,0.5272493,0.4919571,0.4732704,0.5068702,0.5138889,0.3212121,0.6507607,0.0000000,1998-08-31
0.5957031,0.4880463,0.6540035,0.3589744,0.3834423,0.4020788,0.4050249,0.3726415,0.2427481,0.4583333,0.0606061,0.6428769,0.0000000,1998-09-30
0.9612630,0.3028879,0.2684590,0.3717949,0.3180828,0.4002647,0.3338986,0.4119497,0.4030534,0.2500000,0.3878788,0.3686030,0.0000000,1998-10-31
0.4847005,0.4688842,0.5287356,0.5000000,0.2723312,0.2750942,0.3378500,0.3600629,0.4274809,0.4027778,0.2848485,0.5990318,0.0020376,1998-11-30
0.5283203,0.4765219,0.5678940,0.5769231,0.3246187,0.3131896,0.3911948,0.4009434,0.4000000,0.4305556,0.5212121,0.5027663,0.0000000,1998-12-31
0.3125000,0.5096940,0.5743230,0.6153846,0.3812636,0.3059333,0.4623211,0.3616352,0.4564885,0.6666667,0.3575758,0.4446750,0.0080845,1999-01-31
0.6523438,0.4202106,0.4428210,0.4487179,0.6339869,0.5961838,0.6776758,0.5849057,0.6015267,0.3472222,0.3575758,0.4780083,0.0000000,1999-02-28
0.6601562,0.4871876,0.5735437,0.5512821,0.6405229,0.5889275,0.6796516,0.6226415,0.7496183,0.5277778,0.7090909,0.5674965,0.0000000,1999-03-31
0.6175130,0.6412980,0.8071303,0.8076923,0.7494553,0.7213543,0.7804139,0.5471698,0.7694656,0.5138889,0.4606061,0.7784232,0.0000000,1999-04-30
0.5061849,0.5726036,0.5827002,0.7051282,0.5228758,0.4837118,0.5571562,0.4245283,0.5297710,0.6388889,0.3333333,0.5922545,0.0020211,1999-05-31
