Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.3275591,0.4118495,0.5057604,0.6981132,0.3736264,0.3471338,0.4392857,0.3215339,0.4477212,0.6078431,0.5068493,0.2413854,0.0000000,1997-02-28
0.5145669,0.4349548,0.5557604,0.5660377,0.7912088,0.7738854,0.8321429,0.4749263,0.7184987,0.5882353,0.5205479,0.5870337,0.0000000,1997-03-31
0.6610236,0.4714932,0.6755760,0.3773585,0.7985348,0.8312102,0.7892857,0.6932153,0.5174263,0.3333333,0.3356164,0.7740675,0.0000000,1997-04-30
0.5885827,0.3824378,0.4866359,0.0943396,0.7728938,0.7770701,0.7714286,0.6194690,0.6461126,0.2156863,0.2123288,0.8571936,0.0000000,1997-05-31
0.8755906,0.4310803,0.5061060,0.5849057,0.6190476,0.6433121,0.6464286,0.5280236,0.6461126,0.2745098,0.3287671,0.3257549,0.0000000,1997-06-30
0.4216535,0.4679581,0.5042627,0.6226415,0.4761905,0.4394904,0.5464286,0.3156342,0.4959786,0.5098039,0.4794521,0.1589698,0.0000000,1997-07-31
0.5086614,0.4786765,0.6185484,0.2641509,0.5201465,0.5828025,0.5321429,0.4926254,0.4504021,0.4509804,0.3698630,0.8598579,0.0000000,1997-08-31
0.3409449,0.3694005,0.5284562,0.4716981,0.2857143,0.3216561,0.3392857,0.1740413,0.0831099,0.5098039,0.4041096,0.2824156,0.0000000,1997-09-30
0.6870079,0.3914027,0.4874424,0.3962264,0.5347985,0.5700637,0.5535714,0.3923304,0.4825737,0.2745098,0.2123288,0.8396092,0.0000000,1997-10-31
0.5649606,0.3200792,0.4352535,0.0000000,0.3333333,0.4012739,0.3714286,0.4188791,0.3806971,0.3333333,0.3219178,0.4174067,0.0000000,1997-11-30
0.3011811,0.4117647,0.5164747,0.6037736,0.1721612,0.1783439,0.2785714,0.0884956,0.2841823,0.5098039,0.4589041,0.0955595,0.0000000,1997-12-31
0.4940945,0.4125566,0.5323733,0.5471698,0.4468864,0.4585987,0.4821429,0.4690265,0.3378016,0.4705882,0.4863014,0.5165187,0.0000000,1998-01-31
0.4397638,0.4205317,0.5442396,0.3773585,0.5531136,0.5605096,0.6035714,0.4159292,0.4477212,0.4705882,0.3835616,0.3898757,0.0000000,1998-02-28
0.5055118,0.4239253,0.5676267,0.5471698,0.6227106,0.6146497,0.6607143,0.4454277,0.5951743,0.5686275,0.5273973,0.4841918,0.0000000,1998-03-31
0.6881890,0.4457296,0.5548387,0.2641509,0.9047619,0.9044586,0.9071429,0.7492625,0.9115282,0.2745098,0.2123288,0.8182948,0.0000000,1998-04-30
0.7287402,0.5162330,0.7277650,0.5094340,0.7289377,0.7133758,0.7285714,0.5280236,0.5656836,0.2941176,0.2945205,0.7690941,0.0378378,1998-05-31
0.6921260,0.3892817,0.3764977,0.3773585,0.6300366,0.6433121,0.6714286,0.3628319,0.5737265,0.3137255,0.4520548,0.3513321,0.0243243,1998-06-30
0.8023622,0.3521776,0.5372120,0.3584906,0.5494505,0.5445860,0.6000000,0.3539823,0.4745308,0.2941176,0.4178082,0.7520426,0.0459459,1998-07-31
0.2177165,0.4891968,0.5523041,0.4716981,0.4468864,0.5000000,0.4607143,0.4454277,0.4289544,0.6078431,0.3082192,0.5047957,0.3810811,1998-08-31
0.4055118,0.3947681,0.6414747,0.3962264,0.3772894,0.4522293,0.4000000,0.4188791,0.3243968,0.3725490,0.3219178,0.3227353,0.2135135,1998-09-30
0.6610236,0.4195984,0.4117512,0.3584906,0.3406593,0.4267516,0.3392857,0.1504425,0.3056300,0.2549020,0.2191781,0.6284192,1.0000000,1998-10-31
0.5429134,0.3095871,0.4102535,0.1698113,0.3113553,0.3503185,0.3678571,0.2979351,0.3512064,0.2941176,0.3424658,0.3014210,0.3864865,1998-11-30
0.4570866,0.4179581,0.5384793,0.4528302,0.2783883,0.2961783,0.3357143,0.3126844,0.2091153,0.4117647,0.4315068,0.3476021,0.0216216,1998-12-31
0.2905512,0.4201640,0.5288018,0.5849057,0.3443223,0.3407643,0.4428571,0.2005900,0.3324397,0.7058824,0.4726027,0.3298401,0.0000000,1999-01-31
0.5543307,0.4082862,0.5216590,0.3207547,0.6666667,0.6592357,0.7000000,0.4129794,0.5737265,0.4313725,0.2397260,0.5554174,0.0000000,1999-02-28
0.4251969,0.4385464,0.5744240,0.6415094,0.6336996,0.6210191,0.6964286,0.6814159,0.6997319,0.6078431,0.7191781,0.4552398,0.0000000,1999-03-31
0.6437008,0.4188066,0.5551843,0.2452830,0.7912088,0.7961783,0.8178571,0.5221239,0.5924933,0.4313725,0.2945205,0.7127886,0.0000000,1999-04-30
0.7015748,0.5639140,0.6842166,0.7735849,0.6043956,0.6019108,0.6142857,0.5309735,0.6085791,0.3529412,0.3835616,0.5811723,0.0000000,1999-05-31
0.6094488,0.3485294,0.4804147,0.0943396,0.7582418,0.7515924,0.7892857,0.4837758,0.6487936,0.2745098,0.4178082,0.8019538,0.0000000,1999-06-30
0.6818898,0.3524887,0.4152074,0.4905660,0.5750916,0.6082803,0.5964286,0.4188791,0.5415550,0.2941176,0.3356164,0.3829485,0.0000000,1999-07-31
0.2082677,0.5475113,0.6985023,0.6415094,0.3882784,0.4171975,0.4071429,0.3067847,0.3083110,0.5882353,0.4109589,0.2728242,0.0267770,1999-08-31
0.5992126,0.3593609,0.4649770,0.1132075,0.4798535,0.5191083,0.4928571,0.3893805,0.4611260,0.2941176,0.3219178,0.8067496,0.2008277,1999-09-30
0.4500000,0.4984446,0.4837558,0.6981132,0.2893773,0.3248408,0.3785714,0.3185841,0.1769437,0.5294118,0.2534247,0.1882771,0.0000000,1999-10-31
