Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.3819772,0.5164030,0.5339370,0.7922705,0.3959670,0.3023426,0.5293057,0.3868955,0.6211937,0.6292135,0.6693122,0.4171823,0.0000000,1997-02-28
0.5797719,0.5606554,0.6438976,0.5217391,0.7736022,0.7423133,0.8079351,0.6911076,0.7503045,0.3595506,0.4523810,0.6169945,0.0000000,1997-03-31
0.5174905,0.6796919,0.6870866,0.7536232,0.6461962,0.6610542,0.6609558,0.5897036,0.6412911,0.4101124,0.4523810,0.6841105,0.0000000,1997-04-30
0.4581749,0.4544095,0.5575984,0.1835749,0.7094409,0.7005857,0.7033363,0.6443058,0.6705238,0.0898876,0.2777778,0.8143646,0.0000000,1997-05-31
0.8886692,0.6532184,0.6487795,0.6425121,0.5407883,0.4648609,0.6384130,0.4937598,0.6601705,0.3932584,0.4523810,0.4828177,0.0003165,1997-06-30
0.2088213,0.5668874,0.6027559,0.8164251,0.3913841,0.3045388,0.5491434,0.2277691,0.6077954,0.7247191,0.7328042,0.2416022,0.0000000,1997-07-31
0.5613688,0.5674779,0.6013780,0.4347826,0.4582951,0.4765739,0.4923354,0.5569423,0.5079172,0.3988764,0.4338624,0.6883425,0.0000000,1997-08-31
0.2425095,0.5144681,0.5892913,0.6521739,0.2538955,0.2247438,0.3805230,0.2480499,0.2728380,0.6741573,0.6560847,0.3124309,0.0063294,1997-09-30
0.5339163,0.5466459,0.5721654,0.3574879,0.4757104,0.4670571,0.5401262,0.5171607,0.5907430,0.4831461,0.3597884,0.6824309,0.1892483,1997-10-31
0.5182510,0.3671990,0.4751575,0.1739130,0.2593951,0.3404100,0.2858431,0.4516381,0.3830694,0.2528090,0.3571429,0.4839227,0.0724714,1997-11-30
0.3475285,0.5737099,0.6369291,0.7053140,0.2474794,0.1691069,0.4012624,0.1427457,0.4476248,0.5955056,0.7328042,0.3564088,0.0060129,1997-12-31
0.4755894,0.5141414,0.5147244,0.6473430,0.4042163,0.3997072,0.4706943,0.6372855,0.5006090,0.5393258,0.3201058,0.5342541,0.0143615,1998-01-31
0.5032700,0.5695385,0.6455512,0.5169082,0.4784601,0.4853587,0.5202885,0.5967239,0.5182704,0.3876404,0.2671958,0.5363536,0.0000000,1998-02-28
0.5272243,0.5456156,0.5753937,0.6280193,0.6260312,0.5680820,0.7141569,0.4703588,0.7594397,0.5000000,0.4656085,0.5645856,0.0000000,1998-03-31
0.5817490,0.5956853,0.6476378,0.4782609,0.7690192,0.7247438,0.7917042,0.6513261,0.7563946,0.2977528,0.6031746,0.7001105,0.0000000,1998-04-30
0.4485171,0.6466220,0.6668110,0.7053140,0.6049496,0.5724744,0.6537421,0.4297972,0.6784409,0.3314607,0.5476190,0.6303315,0.0115517,1998-05-31
0.8376426,0.4848409,0.5990551,0.3623188,0.5957837,0.5168375,0.6681695,0.4843994,0.6559074,0.1910112,0.5396825,0.5953039,0.0227911,1998-06-30
0.5978707,0.4628655,0.4890945,0.5024155,0.4537122,0.4685212,0.5004509,0.4633385,0.5334957,0.3651685,0.4735450,0.6620442,0.0749298,1998-07-31
