Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.2782378,0.4773462,0.4319122,0.6400000,0.3672727,0.3421829,0.4727891,0.3141210,0.5776567,0.5918367,0.6250000,0.2712875,0.5307087,1997-02-28
0.4418682,0.5604025,0.5128477,0.7800000,0.7781818,0.7404130,0.8367347,0.5706052,0.6675749,0.6326531,0.5892857,0.5929659,0.5307087,1997-03-31
0.5511759,0.6695506,0.5882976,0.4200000,0.7454545,0.7699115,0.7448980,0.6455331,0.5940054,0.3061224,0.4821429,0.7935006,0.5307087,1997-04-30
0.5124213,0.4068121,0.4444231,0.3800000,0.7345455,0.7433628,0.7517007,0.6685879,0.7084469,0.2244898,0.1785714,0.8533525,0.5307087,1997-05-31
0.8453130,0.5661855,0.5088057,0.7200000,0.6109091,0.6194690,0.6666667,0.6426513,0.6702997,0.2857143,0.2678571,0.4162896,0.5307087,1997-06-30
0.1911229,0.7559765,0.5677991,0.7600000,0.4218182,0.3510324,0.5612245,0.2190202,0.5177112,0.6938776,0.7321429,0.2313863,0.5307087,1997-07-31
0.5316330,0.5689176,0.7416995,0.2600000,0.5018182,0.5516224,0.5510204,0.5619597,0.4632153,0.4081633,0.2946429,0.8597285,0.5307087,1997-08-31
0.2729381,0.3598197,0.2253874,0.7400000,0.2509091,0.2831858,0.3605442,0.1700288,0.1444142,0.5714286,0.5625000,0.3255862,0.5307087,1997-09-30
0.5273269,0.6191430,0.6922337,0.3600000,0.5090909,0.5457227,0.5646259,0.4524496,0.5640327,0.2857143,0.2589286,0.8681613,0.5307087,1997-10-31
0.5972176,0.2215746,0.1898759,0.1800000,0.3272727,0.3923304,0.3707483,0.4697406,0.3760218,0.2653061,0.3928571,0.5318799,0.5307087,1997-11-30
0.3067241,0.5322162,0.5042826,0.6800000,0.1781818,0.1769912,0.3367347,0.0864553,0.2643052,0.4285714,0.5000000,0.1299877,0.5307087,1997-12-31
0.4104008,0.5157780,0.4833991,0.5800000,0.4109091,0.4513274,0.4761905,0.6743516,0.3978202,0.5306122,0.5625000,0.5520362,0.5307087,1998-01-31
0.3309043,0.5420518,0.5236262,0.5200000,0.5490909,0.5486726,0.6122449,0.4236311,0.5204360,0.4897959,0.5267857,0.4751131,0.5307087,1998-02-28
0.4160318,0.5390920,0.5316139,0.8000000,0.6072727,0.5752212,0.6768707,0.4207493,0.5994550,0.6530612,0.6160714,0.4965035,0.5307087,1998-03-31
0.6449155,0.5393652,0.4714657,0.4000000,0.8581818,0.8554572,0.8639456,0.8760807,0.9073569,0.2653061,0.0000000,0.8506787,0.5307087,1998-04-30
0.5223584,0.6472383,0.5720335,0.6400000,0.6545455,0.6430678,0.7006803,0.3717579,0.6239782,0.3061224,0.5714286,0.7842452,0.5307087,1998-05-31
0.5617754,0.6093074,0.5185256,0.6000000,0.6109091,0.5811209,0.6734694,0.4380403,0.5994550,0.3265306,0.5714286,0.3733032,0.5307087,1998-06-30
0.6694270,0.3570876,0.4425946,0.3600000,0.5309091,0.5339233,0.5986395,0.4207493,0.5340599,0.3265306,0.4017857,0.8214726,0.5307087,1998-07-31
