Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.5499389,0.5510757,0.5431421,0.6153846,0.8363636,0.8548387,1.0000000,0.7864078,1.0000000,0.5384615,0.4897959,0.1534884,0.2259191,1997-02-28
0.6526702,0.5369340,0.5062344,0.4871795,0.5636364,0.7419355,0.3750000,0.7475728,0.1566265,0.6538462,0.3877551,0.7607973,0.5402866,1997-03-31
0.4826743,0.5610802,0.5591022,0.6153846,0.7272727,0.7741935,0.7500000,0.7184466,0.9397590,0.5769231,0.6530612,0.3950166,0.6176176,1997-04-30
0.4044028,0.5602527,0.5359102,0.7179487,0.6181818,0.7258065,0.6607143,0.7669903,0.5783133,0.6153846,0.5306122,0.2950166,0.4705205,1997-05-31
1.0000000,0.5588235,0.6002494,0.4871795,0.5818182,0.7419355,0.5357143,0.7475728,0.1686747,0.7692308,0.2857143,0.6269103,0.6747753,1997-06-30
0.4194863,0.5275312,0.5084788,0.7692308,0.2545455,0.3387097,0.3750000,0.5533981,0.7228916,0.5769231,0.5510204,0.2299003,0.7277303,1997-07-31
0.7301264,0.5598766,0.4890274,0.4871795,0.5272727,0.7096774,0.5357143,0.7572816,0.3493976,0.6538462,0.3469388,0.4993355,0.5428082,1997-08-31
0.2780269,0.6149391,0.5518703,0.6410256,0.2000000,0.1774194,0.2857143,0.4660194,0.3373494,0.6153846,0.7142857,0.3534884,0.7100786,1997-09-30
0.5748064,0.5253498,0.5441397,0.4871795,0.3090909,0.4032258,0.3392857,0.2621359,0.3132530,0.4230769,0.4897959,0.5478405,0.4864911,1997-10-31
0.6257644,0.6396119,0.7538653,0.6153846,0.2727273,0.3548387,0.4107143,0.5922330,0.2771084,0.4615385,0.5102041,0.3089701,0.4394200,1997-11-30
0.6494089,0.4565970,0.3179551,0.5641026,0.3272727,0.4193548,0.3571429,0.4466019,0.0963855,0.3461538,0.5510204,0.5770764,0.5680249,1997-12-31
0.5854056,0.4588536,0.4471322,0.3589744,0.4727273,0.7258065,0.3750000,0.7087379,0.4578313,0.5769231,0.3877551,0.4817276,0.2170106,1998-01-31
0.4859356,0.5309162,0.4955112,0.5128205,0.4727273,0.6612903,0.4464286,0.6601942,0.4819277,0.7307692,0.5102041,0.5073090,0.5191840,1998-02-28
0.7350183,0.5541598,0.5498753,0.5897436,0.6727273,0.7741935,0.7142857,0.7475728,0.4939759,0.4230769,0.4285714,0.5727575,0.5627846,1998-03-31
0.5658377,0.5320445,0.4930175,0.5641026,0.7454545,0.6935484,0.7857143,0.6990291,0.7590361,0.6923077,0.3265306,0.2717608,0.9864507,1998-04-30
0.3550754,0.6145630,0.6039900,0.8461538,0.5636364,0.7903226,0.5714286,0.9611650,0.4939759,0.6153846,0.5510204,0.3910299,0.4377414,1998-05-31
0.9380351,0.4781856,0.4488778,0.3846154,0.5636364,0.5967742,0.5892857,0.5728155,0.5180723,0.6923077,0.5102041,0.4830565,0.5586714,1998-06-30
0.5205870,0.5664962,0.5783042,0.5128205,0.3090909,0.4193548,0.3035714,0.5922330,0.3373494,0.6153846,0.4693878,0.5604651,0.8416639,1998-07-31
0.4732980,0.5552881,0.5386534,0.6410256,0.2727273,0.4032258,0.3214286,0.4757282,0.2891566,0.5384615,0.6122449,0.2667774,0.6022719,1998-08-31
0.5002038,0.6882052,0.6087282,0.8974359,0.3272727,0.4838710,0.4285714,0.7475728,0.4578313,0.7692308,0.2653061,0.2863787,0.4912138,1998-09-30
0.4830819,0.7131037,0.8521197,0.5128205,0.2000000,0.1935484,0.2678571,0.2038835,0.2168675,0.5384615,0.8163265,0.4445183,0.5389277,1998-10-31
0.5886669,0.6914397,0.5765586,0.5641026,0.2727273,0.2903226,0.4464286,0.4271845,0.3614458,0.6153846,0.5102041,0.2707641,0.3439590,1998-11-30
0.7162658,0.2946442,0.2693267,0.5128205,0.2909091,0.3709677,0.3392857,0.5825243,0.2168675,0.8461538,0.5306122,0.4275748,0.4624210,1998-12-31
0.6555238,0.3336844,0.3104738,0.3076923,0.4181818,0.5483871,0.4642857,0.5339806,0.1566265,0.0000000,0.4285714,0.4571429,0.3839582,1999-01-31
0.6930289,0.5118851,0.4817955,0.4871795,0.4909091,0.8064516,0.4464286,0.8932039,0.5301205,0.4230769,0.2857143,0.7833887,0.4472212,1999-02-28
