Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.3690019,0.5591283,0.4510363,0.6833333,0.3869863,0.3945205,0.4969325,0.2405498,0.5452261,0.5102041,0.5145631,0.3665308,0.4959016,1997-02-28
0.5091171,0.7674342,0.7300518,0.6833333,0.7363014,0.7178082,0.8067485,0.6219931,0.7185930,0.5102041,0.7281553,0.4797127,0.4959016,1997-03-31
0.6895393,0.5999178,0.3901554,0.4666667,0.7226027,0.7917808,0.7177914,0.5567010,0.6080402,0.2857143,0.4174757,0.9838866,0.4959016,1997-04-30
0.5139155,0.4202303,0.4950777,0.2166667,0.7157534,0.7397260,0.7423313,0.7766323,0.7211055,0.1020408,0.2233010,0.7773248,0.4959016,1997-05-31
0.9261036,0.6654605,0.5613990,0.7500000,0.5616438,0.5972603,0.6319018,0.6185567,0.5854271,0.3469388,0.4368932,0.3818676,0.4959016,1997-06-30
0.0000000,0.9580592,0.7445596,0.8000000,0.3698630,0.3397260,0.5368098,0.0378007,0.5477387,0.6938776,0.8737864,0.1768589,0.5029425,1997-07-31
0.6348369,0.4568257,0.4007772,0.2500000,0.4965753,0.5917808,0.5368098,0.5326460,0.4824121,0.2653061,0.2524272,0.8687633,0.4930853,1997-08-31
0.3881958,0.2027961,0.2365285,0.5333333,0.2739726,0.3287671,0.4079755,0.1993127,0.2211055,0.3469388,0.3398058,0.3071248,0.4944935,1997-09-30
0.6928983,0.7084704,0.7668394,0.4666667,0.4863014,0.5342466,0.5766871,0.2955326,0.5226131,0.3061224,0.5436893,0.7693652,0.4930853,1997-10-31
0.4793666,0.3072368,0.2000000,0.2500000,0.2636986,0.3780822,0.3343558,0.4673540,0.3894472,0.1632653,0.3203883,0.3673073,0.4959016,1997-11-30
0.2197697,0.5604441,0.4155440,0.8833333,0.1712329,0.1808219,0.3650307,0.0240550,0.3567839,0.4285714,0.6213592,0.1518152,0.4959016,1997-12-31
0.5143954,0.5361020,0.4424870,0.4500000,0.3767123,0.4493151,0.4693252,0.5360825,0.3768844,0.4693878,0.5533981,0.5973597,0.4972953,1998-01-31
0.4313820,0.5675164,0.5000000,0.4833333,0.5753425,0.5972603,0.6288344,0.3127148,0.5301508,0.3265306,0.5922330,0.5094156,0.4945080,1998-02-28
0.4117083,0.5907072,0.5059585,0.7500000,0.5719178,0.5780822,0.6533742,0.5292096,0.6055276,0.6326531,0.6116505,0.3977868,0.4986889,1998-03-31
0.8594050,0.5847862,0.5419689,0.4000000,0.8390411,0.8630137,0.8496933,0.8350515,0.9371859,0.1836735,0.1844660,0.8462434,0.5265618,1998-04-30
0.6713052,0.7861020,0.6626943,0.6666667,0.6164384,0.6602740,0.6595092,0.3814433,0.5929648,0.3061224,0.4563107,0.7054941,0.4638478,1998-05-31
0.3339731,0.7237664,0.5067358,0.5666667,0.5582192,0.5315068,0.6564417,0.5051546,0.6306533,0.3877551,0.6310680,0.4375849,0.4945080,1998-06-30
0.7178503,0.3247533,0.6207254,0.3666667,0.4931507,0.5452055,0.5705521,0.3402062,0.5351759,0.3265306,0.4368932,0.6870511,0.4959016,1998-07-31
0.3550864,0.5212993,0.2326425,0.5500000,0.4212329,0.5095890,0.5061350,0.2886598,0.5100503,0.3673469,0.6019417,0.6680256,0.6464151,1998-08-31
0.5254319,0.5574836,0.5329016,0.4166667,0.3698630,0.4493151,0.4478528,0.2714777,0.2688442,0.2448980,0.0873786,0.4488449,0.7119164,1998-09-30
0.5215931,0.4848684,0.4165803,0.5000000,0.2945205,0.3780822,0.3926380,0.2542955,0.4371859,0.3265306,0.4951456,0.5111629,0.1293734,1998-10-31
0.3992322,0.5068257,0.4481865,0.4000000,0.2568493,0.3369863,0.3588957,0.1546392,0.3743719,0.3673469,0.4757282,0.3162493,0.5028699,1998-11-30
0.4208253,0.5546053,0.4308290,0.6000000,0.2876712,0.3232877,0.4049080,0.5154639,0.3291457,0.2653061,0.5825243,0.4265191,0.4889334,1998-12-31
0.2787908,0.5702303,0.5318653,0.5666667,0.3184932,0.3506849,0.4631902,0.1924399,0.4396985,0.6122449,0.5242718,0.3278975,0.4972809,1999-01-31
0.5091171,0.5495066,0.4445596,0.5166667,0.5856164,0.6054795,0.6687117,0.4123711,0.5427136,0.3469388,0.3300971,0.4868957,0.4945223,1999-02-28
0.5191939,0.5805099,0.4979275,0.6833333,0.6061644,0.6027397,0.6932515,0.4845361,0.7462312,0.4489796,0.8155340,0.5129101,0.4959016,1999-03-31
0.6276392,0.6321546,0.6168394,0.7166667,0.7123288,0.7397260,0.7576687,0.6838488,0.6080402,0.4897959,0.4174757,0.7171423,0.4959016,1999-04-30
0.5230326,0.9241776,0.7909326,0.6666667,0.5171233,0.5589041,0.5736196,0.3780069,0.6155779,0.3265306,0.5339806,0.5494079,0.4959016,1999-05-31
0.4856046,0.4154605,0.4572539,0.4166667,0.6746575,0.6849315,0.7331288,0.5532646,0.6658291,0.3265306,0.6504854,0.7447098,0.4959016,1999-06-30
