Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.4400662,0.5318970,0.5087503,0.5882353,0.6718750,0.6071429,0.9322034,0.4705882,0.7073171,0.6315789,0.5849057,0.2563636,0.5433502,1997-02-28
0.6298013,0.5206845,0.4821297,0.3529412,0.7187500,0.8571429,0.6101695,0.6806723,0.5447154,0.3684211,0.3962264,0.9103030,0.5809476,1997-03-31
0.5543046,0.5375398,0.5245255,0.6764706,0.8281250,0.8214286,0.8474576,0.4033613,0.8130081,0.4210526,0.5471698,0.4569697,0.5670959,1997-04-30
0.5162252,0.5812905,0.6157259,0.5882353,0.7500000,0.8214286,0.7457627,0.7142857,0.5853659,0.5263158,0.3207547,0.4624242,0.5977675,1997-05-31
0.8615894,0.4905280,0.4372689,0.3823529,0.7031250,0.6547619,0.7288136,0.5210084,0.5528455,0.3157895,0.5471698,0.6036364,0.6586160,1997-06-30
0.4754967,0.5673665,0.6297757,0.7647059,0.3281250,0.3571429,0.5254237,0.3781513,0.4959350,0.7368421,0.5471698,0.3063636,0.6022198,1997-07-31
0.5718543,0.5034993,0.3933941,0.4117647,0.4687500,0.5238095,0.5254237,0.5546218,0.5934959,0.5263158,0.5471698,0.4842424,0.3850453,1997-08-31
0.2539735,0.6808838,0.7054474,0.7352941,0.3125000,0.3333333,0.3898305,0.3613445,0.5203252,0.6842105,0.5094340,0.4103030,0.5557178,1997-09-30
0.4069536,0.5312008,0.6499877,0.6176471,0.3593750,0.2976190,0.4745763,0.0504202,0.5365854,0.6842105,0.8679245,0.5530303,0.5527495,1997-10-31
0.5546358,0.4869371,0.3965985,0.3823529,0.3437500,0.3809524,0.4406780,0.4537815,0.4471545,0.6842105,0.3396226,0.3833333,0.8708435,1997-11-30
0.5940397,0.4325235,0.2477200,0.6470588,0.4218750,0.4761905,0.4915254,0.3613445,0.3495935,0.3157895,0.6415094,0.6224242,0.4468831,1997-12-31
0.4807947,0.5370269,0.5267439,0.3529412,0.4843750,0.6190476,0.4576271,0.7394958,0.5121951,0.4210526,0.4528302,0.4954545,0.3391461,1998-01-31
0.5175497,0.5076399,0.4663544,0.2352941,0.5468750,0.6309524,0.5593220,0.5210084,0.6260163,0.3684211,0.4150943,0.5384848,0.5956204,1998-02-28
0.5986755,0.5402514,0.5366034,0.6176471,0.6250000,0.6904762,0.5932203,0.5042017,0.3252033,0.7368421,0.3773585,0.6490909,0.5644769,1998-03-31
0.6562914,0.5228097,0.4668474,0.5294118,0.8906250,0.8333333,1.0000000,0.6470588,0.9593496,0.4736842,0.5283019,0.4509091,0.6379562,1998-04-30
0.4112583,0.5507310,0.5370964,0.8529412,0.6718750,0.6904762,0.7457627,0.7142857,0.6747967,0.5263158,0.4716981,0.4503030,0.5133820,1998-05-31
0.8317881,0.5131728,0.4744885,0.1764706,0.6093750,0.6785714,0.6440678,0.3697479,0.5203252,0.3684211,0.5660377,0.5512121,0.9552311,1998-06-30
0.4370861,0.5419735,0.5240325,0.6176471,0.3125000,0.4166667,0.3389831,0.3781513,0.4959350,0.4210526,0.6037736,0.5866667,1.0000000,1998-07-31
0.4758278,0.5391887,0.5134336,0.6470588,0.4062500,0.4880952,0.5084746,0.4789916,0.4959350,0.4736842,0.4339623,0.3166667,0.0000000,1998-08-31
0.5129139,0.5899747,0.5876263,0.7352941,0.4531250,0.4047619,0.5593220,0.4117647,0.4959350,0.5263158,0.6037736,0.2921212,0.3299270,1998-09-30
0.3370861,0.6614635,0.6561499,0.5294118,0.2187500,0.1071429,0.4067797,0.2689076,0.4390244,1.0000000,0.6981132,0.4457576,0.4992701,1998-10-31
0.4523179,0.7938148,0.7340399,0.7352941,0.2968750,0.2738095,0.4237288,0.0672269,0.4715447,0.6315789,0.7358491,0.2930303,0.4958637,1998-11-30
0.5910596,0.2089333,0.3640621,0.4411765,0.2812500,0.3452381,0.2881356,0.4201681,0.2926829,0.3684211,0.5849057,0.4648485,0.5479319,1998-12-31
0.5344371,0.4289693,0.2952921,0.3823529,0.4062500,0.5000000,0.6610169,0.3781513,0.5853659,0.5263158,0.3773585,0.4733333,0.4945688,1999-01-31
0.5907285,0.5077132,0.4227262,0.4705882,0.6250000,0.7380952,0.4237288,0.5462185,0.5934959,0.3157895,0.4905660,0.7921212,0.5451936,1999-02-28
0.5721854,0.5184127,0.4666009,0.2647059,0.8437500,0.9285714,0.8135593,0.9159664,0.5934959,0.5789474,0.3584906,0.8451515,0.5758093,1999-03-31
0.5211921,0.5658276,0.5627311,0.7352941,0.6406250,0.6071429,0.7627119,0.5546218,0.6829268,0.6842105,0.4716981,0.2666667,0.5997277,1999-04-30
