Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.3195526,0.5102468,0.5238881,0.7843137,0.4229249,0.3388158,0.5131579,0.3827493,0.5746479,0.6557377,0.6754386,0.3091429,0.0011687,1997-02-28
0.4639505,0.4986503,0.4810617,0.2352941,0.7865613,0.7894737,0.7763158,0.7412399,0.5971831,0.2950820,0.3684211,0.7249524,0.0000000,1997-03-31
0.4561614,0.5470432,0.5489957,0.7450980,0.6837945,0.6809211,0.6754386,0.4690027,0.6788732,0.6065574,0.4561404,0.6430476,0.0000000,1997-04-30
0.5232674,0.4833777,0.5228838,0.1372549,0.7391304,0.7730263,0.6710526,0.6684636,0.5577465,0.1639344,0.3684211,0.8200000,0.0005843,1997-05-31
0.7493509,0.5134434,0.4699426,0.6078431,0.6324111,0.5394737,0.6535088,0.4636119,0.6478873,0.5245902,0.4649123,0.5300952,0.0023373,1997-06-30
0.2981825,0.5015628,0.5043042,0.6666667,0.4189723,0.3980263,0.4912281,0.3180593,0.5577465,0.3114754,0.5964912,0.3643810,0.0397343,1997-07-31
0.4529658,0.5278103,0.5218077,0.6078431,0.4545455,0.4802632,0.4561404,0.4285714,0.4366197,0.6065574,0.5438596,0.6287619,0.0484993,1997-08-31
0.0545237,0.7662227,0.7946198,0.7450980,0.2173913,0.2039474,0.2192982,0.2749326,0.1690141,0.8688525,0.6491228,0.2278095,0.2354844,1997-09-30
0.3465149,0.3611437,0.2764706,0.5882353,0.4624506,0.4078947,0.4780702,0.2884097,0.5464789,0.6885246,0.7719298,0.6066667,0.2424963,1997-10-31
0.4044338,0.4003374,0.5126255,0.1372549,0.2964427,0.3355263,0.2675439,0.5013477,0.3774648,0.5081967,0.3245614,0.5034286,0.2395747,1997-11-30
0.3748752,0.5079737,0.4576040,0.5490196,0.2727273,0.2828947,0.1710526,0.1563342,0.3549296,0.5737705,0.8333333,0.4158095,0.0882336,1997-12-31
0.3754743,0.4955958,0.5200143,0.5098039,0.4861660,0.4703947,0.6315789,0.6388140,0.4140845,0.5081967,0.2982456,0.4809524,0.0051724,1998-01-31
0.3553026,0.5223051,0.4903156,0.6666667,0.4545455,0.4473684,0.4956140,0.5498652,0.4732394,0.5737705,0.3508772,0.4961905,0.0028736,1998-02-28
0.4581586,0.4953827,0.4972740,0.6666667,0.6324111,0.6217105,0.6403509,0.4528302,0.7211268,0.5245902,0.3771930,0.5944762,0.0000000,1998-03-31
0.5084881,0.5163381,0.5257532,0.2549020,0.7786561,0.7861842,0.7500000,0.6145553,0.6478873,0.3114754,0.5614035,0.7059048,0.0097701,1998-04-30
0.4180148,0.5456757,0.5631994,0.5686275,0.6521739,0.5953947,0.6535088,0.4016173,0.6084507,0.4098361,0.5526316,0.6561905,0.0034483,1998-05-31
0.8454164,0.4671106,0.4434003,0.2156863,0.7154150,0.6809211,0.7149123,0.4123989,0.6591549,0.1311475,0.6491228,0.7194286,0.7758621,1998-06-30
0.4701418,0.5085775,0.5017934,0.5294118,0.3952569,0.3059211,0.4385965,0.4636119,0.4845070,0.5245902,0.4649123,0.5761905,1.0000000,1998-07-31
0.1875374,0.5311490,0.5528694,0.7450980,0.4268775,0.5460526,0.3903509,0.3665768,0.4366197,0.7049180,0.5526316,0.4523810,0.5517241,1998-08-31
0.0738965,0.7418221,0.7385222,0.9803922,0.2292490,0.1973684,0.2894737,0.2695418,0.3295775,0.9344262,0.7280702,0.0582857,0.7362069,1998-09-30
0.4535650,0.3239212,0.5441176,0.3137255,0.3557312,0.3355263,0.3333333,0.0943396,0.2929577,0.5081967,0.4561404,0.6706667,0.6810345,1998-10-31
0.3439185,0.5600249,0.3161406,0.5490196,0.2845850,0.2598684,0.3464912,0.3423181,0.5098592,0.5901639,0.7543860,0.3188571,0.6614943,1998-11-30
0.3541043,0.4441485,0.4434720,0.6862745,0.2371542,0.2697368,0.2149123,0.3504043,0.1661972,0.5081967,0.5175439,0.4895238,0.1086207,1998-12-31
0.3423208,0.4932339,0.5081779,0.3137255,0.3952569,0.3618421,0.4166667,0.3207547,0.4281690,0.6229508,0.5789474,0.5129524,0.0000000,1999-01-31
0.4152187,0.4867519,0.4705882,0.5098039,0.6086957,0.6085526,0.6008772,0.4285714,0.6394366,0.5081967,0.5964912,0.5685714,0.0000000,1999-02-28
0.4180148,0.5329782,0.5824247,0.6078431,0.6679842,0.6907895,0.6710526,1.0000000,0.6394366,0.4918033,0.2017544,0.6177143,0.0000000,1999-03-31
0.4497703,0.4984905,0.4903874,0.3333333,0.7114625,0.6611842,0.7412281,0.3530997,0.6394366,0.4426230,0.7982456,0.6182857,0.0011322,1999-04-30
0.4735370,0.5662049,0.5530129,0.7450980,0.5217391,0.4901316,0.5307018,0.3530997,0.5239437,0.5081967,0.5614035,0.5312381,0.0028306,1999-05-31
0.6568804,0.4366187,0.4605452,0.1568627,0.7628458,0.7467105,0.7192982,0.5283019,0.7577465,0.0983607,0.3596491,0.8051429,0.0000000,1999-06-30
0.6015578,0.5115788,0.4746772,0.5098039,0.5454545,0.5394737,0.5833333,0.4366577,0.5126761,0.3606557,0.5438596,0.6979048,0.0401944,1999-07-31
0.2318754,0.5235482,0.5291966,0.7450980,0.3636364,0.3750000,0.3508772,0.3450135,0.4394366,0.8360656,0.5789474,0.3175238,0.0554796,1999-08-31
0.1360096,0.6149529,0.8330703,0.7058824,0.3201581,0.3059211,0.3333333,0.3504043,0.3718310,0.7868852,0.6491228,0.3270476,0.1296412,1999-09-30
0.3299381,0.7725626,0.3141320,0.9019608,0.3320158,0.2631579,0.3771930,0.2129380,0.2478873,0.6393443,0.5263158,0.4160000,0.3034396,1999-10-31
0.3533054,0.3043864,0.5006456,0.2745098,0.2411067,0.2565789,0.2631579,0.2911051,0.3352113,0.4754098,0.7807018,0.4420952,0.0469879,1999-11-30
0.5020971,0.3687622,0.3906026,0.3725490,0.0474308,0.0921053,0.0219298,0.1078167,0.2000000,0.4262295,0.1842105,0.5064762,0.0000000,1999-12-31
0.2788097,0.4900018,0.5030129,0.3529412,0.6758893,0.6414474,0.7061404,0.6064690,0.5943662,0.7049180,1.0000000,0.5228571,0.0000000,2000-01-31
0.3910525,0.4987924,0.4910330,0.5882353,0.3992095,0.4177632,0.3947368,0.5714286,0.4422535,0.5081967,0.3596491,0.5019048,0.0000000,2000-02-29
0.3760735,0.5147221,0.5131994,0.7647059,0.6640316,0.6085526,0.6973684,0.2560647,0.5802817,0.5737705,0.5350877,0.4523810,0.0000000,2000-03-31
0.5222688,0.5529391,0.5646341,0.2941176,0.8498024,0.8782895,0.8245614,0.9568733,0.8253521,0.3606557,0.3157895,0.8055238,0.0000000,2000-04-30
0.4413821,0.5153969,0.6017934,0.7254902,0.6245059,0.5657895,0.6228070,0.3746631,0.6450704,0.4590164,0.6052632,0.6064762,0.0000000,2000-05-31
0.5314560,0.4952939,0.3702296,0.3333333,0.5691700,0.5328947,0.5964912,0.4043127,0.5690141,0.3770492,0.5263158,0.6567619,0.0000000,2000-06-30
0.5364490,0.4826496,0.5022238,0.4313725,0.5296443,0.5296053,0.5263158,0.4312668,0.5943662,0.3114754,0.5263158,0.5840000,0.0000000,2000-07-31
0.4106251,0.5393181,0.6202296,0.5882353,0.4940711,0.5263158,0.4780702,0.4878706,0.4478873,0.6229508,0.4649123,0.5563810,0.0000000,2000-08-31
0.1058518,0.5659563,0.5550215,0.7843137,0.2332016,0.2072368,0.2807018,0.2183288,0.2112676,0.8360656,0.7894737,0.2036190,0.0000000,2000-09-30
0.3886559,0.4902682,0.4959828,0.5490196,0.3873518,0.3322368,0.4210526,0.2830189,0.4394366,0.6229508,0.7105263,0.5011429,0.0000000,2000-10-31
0.4074296,0.5215947,0.7025825,0.5294118,0.1501976,0.2203947,0.0877193,0.2156334,0.2169014,0.4426230,0.1578947,0.4828571,0.0000000,2000-11-30
0.3397244,0.4495116,0.2129842,0.5882353,0.4268775,0.3684211,0.5000000,0.3450135,0.5267606,0.6229508,0.7456140,0.3763810,0.0000000,2000-12-31
0.3742760,0.4949387,0.5557389,0.4117647,0.4822134,0.4967105,0.4561404,0.8221024,0.4957746,0.5901639,0.5350877,0.5980952,0.2140807,2001-01-31
0.3844618,0.5072278,0.4284075,0.3529412,0.3952569,0.3881579,0.3991228,0.0134771,0.3774648,0.4754098,0.5350877,0.4790476,0.2185407,2001-02-28
0.4214100,0.5253774,0.5272597,0.6666667,0.6758893,0.6546053,0.7368421,0.8948787,0.6169014,0.5245902,0.5614035,0.5617143,0.2079482,2001-03-31
0.5076892,0.4900195,0.4872310,0.2549020,0.8260870,0.8486842,0.7894737,0.6172507,0.6873239,0.4098361,0.3157895,0.7676190,0.2007007,2001-04-30
0.4038346,0.6280057,0.7784075,0.7058824,0.5849802,0.5197368,0.6096491,0.3261456,0.7098592,0.3934426,0.6140351,0.5196190,0.1828606,2001-05-31
0.6353106,0.3931096,0.2482783,0.1960784,0.6284585,0.6118421,0.6403509,0.4097035,0.6366197,0.2459016,0.4824561,0.6923810,0.1884356,2001-06-30
0.6151388,0.5120582,0.5088953,0.6470588,0.5138340,0.5065789,0.5087719,0.3935310,0.5014085,0.3606557,0.5614035,0.6693333,0.2798659,2001-07-31
0.0443379,0.6432605,0.7021521,0.9019608,0.3399209,0.3289474,0.3552632,0.4097035,0.4169014,0.8688525,0.6140351,0.2779048,0.2118507,2001-08-31
0.3009786,0.4515184,0.3934003,0.3529412,0.3913043,0.3717105,0.3859649,0.2560647,0.4394366,0.6721311,0.7192982,0.4243810,0.1711531,2001-09-30
0.3229479,0.6474516,0.5555954,1.0000000,0.3438735,0.3157895,0.4078947,0.2560647,0.4253521,0.7377049,0.7631579,0.3824762,0.2235582,2001-10-31
0.5206711,0.4502930,0.8124821,0.0000000,0.1660079,0.2335526,0.0964912,0.3396226,0.0985915,0.4098361,0.2017544,0.6739048,0.2486458,2001-11-30
0.3031756,0.4298704,0.1958393,0.7647059,0.3122530,0.2664474,0.3552632,0.3072776,0.3577465,0.5245902,0.6228070,0.3300952,0.1979132,2001-12-31
0.3908528,0.4393181,0.3942611,0.3137255,0.4426877,0.4638158,0.4649123,0.2938005,0.6422535,0.6102591,0.6578947,0.6283810,0.0000000,2002-01-31
0.3483124,0.5140650,0.5129125,0.5882353,0.6007905,0.5394737,0.6096491,0.4366577,0.4338028,0.5753381,0.6754386,0.4419048,0.0000000,2002-02-28
0.4505692,0.5301012,0.5710187,0.2941176,0.6482213,0.6513158,0.6885965,0.6145553,0.6704225,0.4563912,0.3596491,0.6857143,0.0000000,2002-03-31
0.4523667,0.5033387,0.4985653,0.5294118,0.7114625,0.6973684,0.7061404,0.8113208,0.5830986,0.4869734,0.3333333,0.8742857,0.0000000,2002-04-30
0.4345916,0.5625999,0.5731707,0.8823529,0.6403162,0.6052632,0.6403509,0.3881402,0.7718310,0.3744756,0.6315789,0.5257143,0.0127171,2002-05-31
0.6998203,0.4470432,0.4275466,0.1372549,0.6679842,0.6578947,0.6622807,0.4339623,0.5971831,0.1320818,0.4298246,0.6076190,0.0187992,2002-06-30
0.5652087,0.5126798,0.5064562,0.6862745,0.4743083,0.4013158,0.5350877,0.4123989,0.4619718,0.4660145,0.4473684,0.1676190,0.1045014,2002-07-31
0.0970641,0.6098029,0.6822095,0.6862745,0.3557312,0.4210526,0.3070175,0.3719677,0.4281690,0.8038075,0.6403509,0.6552381,0.0226696,2002-08-31
0.2274815,0.5789203,0.4583931,0.7647059,0.3043478,0.2664474,0.3464912,0.2614555,0.3859155,0.8077737,0.7105263,0.2761905,0.0486567,2002-09-30
0.4256042,0.4342568,0.5186514,0.3725490,0.3873518,0.4078947,0.3596491,0.3153639,0.2901408,0.5375463,0.3245614,0.8380952,0.0713264,2002-10-31
0.3868584,0.4553720,0.4268293,0.4705882,0.2529644,0.1907895,0.0701754,0.3692722,0.2000000,0.5094483,0.6666667,0.2628571,0.0475509,2002-11-30
0.3113641,0.4978689,0.5172166,0.6274510,0.3636364,0.3980263,0.6008772,0.2938005,0.4901408,0.7930372,0.9649123,0.3942857,0.0000000,2002-12-31
0.4499700,0.4809093,0.4318508,0.2941176,0.2292490,0.3125000,0.1666667,0.2938005,0.4056338,0.2416711,0.2017544,0.6533333,0.0000000,2003-01-31
0.3495107,0.5156455,0.5322812,0.4901961,0.7944664,0.6809211,0.8771930,0.4555256,0.5718310,0.6565876,0.6403509,0.3676190,0.0000000,2003-02-28
0.4501698,0.5168354,0.5028694,0.6078431,0.5138340,0.5493421,0.5087719,0.9514825,0.5915493,0.4676853,0.1140351,0.6971429,0.0000000,2003-03-31
0.4993010,0.4945303,0.4899570,0.3529412,0.8418972,0.8355263,0.8026316,0.5363881,0.8732394,0.3475762,0.5350877,0.8247619,0.0000000,2003-04-30
0.4018374,0.5235127,0.5258250,0.6470588,0.6758893,0.6282895,0.6710526,0.4420485,0.4760563,0.3234973,0.6315789,0.7295238,0.0000000,2003-05-31
0.7900939,0.5103889,0.5150646,0.3333333,0.5731225,0.5328947,0.5964912,0.3126685,0.6760563,0.3169399,0.6052632,0.4152381,0.0000000,2003-06-30
0.3479129,0.5083822,0.5401722,0.5098039,0.4387352,0.4802632,0.3947368,0.4690027,0.4788732,0.6439274,0.5175439,0.8457143,0.0000000,2003-07-31
0.4140204,0.5186290,0.4964132,0.6666667,0.4782609,0.4473684,0.5394737,0.4258760,0.4507042,0.4907456,0.5438596,0.1942857,0.1093595,2003-08-31
0.0561214,0.5995560,0.6492109,0.8823529,0.2608696,0.2335526,0.2982456,0.1994609,0.4309859,0.9571303,0.7719298,0.3771429,0.0928732,2003-09-30
0.3860595,0.5337773,0.6233859,0.6274510,0.3399209,0.3289474,0.3333333,0.3153639,0.2957746,0.5843822,0.7017544,0.4323810,0.0527563,2003-10-31
0.3800679,0.4448766,0.3084648,0.3725490,0.3122530,0.3157895,0.2982456,0.3342318,0.3718310,0.5090605,0.4385965,0.4380952,0.0324232,2003-11-30
