Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.4598802,0.4581111,0.4031866,0.7088608,0.6818182,0.5189873,0.8293181,0.4326241,0.7640449,0.5595425,0.5789474,0.1825953,0.0106792,1997-02-28
0.8614770,0.4590897,0.4099393,0.3291139,0.8181818,0.8902954,0.6754930,0.8368794,0.4531835,0.2049787,0.2736842,1.0000000,0.0156629,1997-03-31
0.5097804,0.5066009,0.4625190,0.8354430,0.7613636,0.6497890,0.8226301,0.2801418,0.8988764,0.4135456,0.5789474,0.3573260,0.0071195,1997-04-30
0.8435130,0.4889665,0.4223824,0.6329114,0.6875000,0.6919831,0.7022452,0.6063830,0.6516854,0.4552590,0.4736842,0.5925799,0.0256302,1997-05-31
0.4167665,0.4749587,0.4478756,0.6329114,0.6420455,0.5780591,0.6353647,0.4468085,0.5880150,0.3718322,0.4526316,0.3857070,0.0747547,1997-06-30
0.4714571,0.5115708,0.4348255,0.6455696,0.5454545,0.3839662,0.6621169,0.3368794,0.6741573,0.6012559,0.4947368,0.3393743,0.0234943,1997-07-31
0.6942116,0.4179683,0.4165402,0.4430380,0.6079545,0.5696203,0.5885483,0.5319149,0.5505618,0.3509756,0.4947368,0.4638400,0.0441409,1997-08-31
0.1956088,0.7712899,0.7206373,0.8354430,0.2840909,0.1898734,0.3745308,0.2340426,0.3932584,0.7472527,0.7894737,0.3002223,0.1979219,1997-09-30
0.5548902,0.2737844,0.2709408,0.5696203,0.5113636,0.4599156,0.5751722,0.2127660,0.6516854,0.4969724,0.4631579,0.5777056,0.2043294,1997-10-31
0.4774451,0.4833442,0.3783005,0.5696203,0.3693182,0.3248945,0.3812188,0.4078014,0.4494382,0.4552590,0.5578947,0.2957771,0.2036175,1997-11-30
0.5101796,0.4103312,0.3706373,0.5569620,0.3977273,0.3797468,0.3812188,0.2269504,0.3483146,0.4761157,0.5473684,0.4368268,0.0996729,1997-12-31
0.6123752,0.4134781,0.3813354,0.5063291,0.6136364,0.6244726,0.5952364,0.6347518,0.6441948,0.3926889,0.3684211,0.5376988,0.0225532,1998-01-31
0.5976048,0.4265265,0.3482549,0.4303797,0.6363636,0.5907173,0.6353647,0.6099291,0.5880150,0.3718322,0.4315789,0.4060523,0.0197340,1998-02-28
0.7600798,0.4747669,0.4322458,0.5696203,0.7727273,0.7299578,0.7691257,0.4893617,0.7602996,0.3301189,0.2736842,0.6286545,0.0310106,1998-03-31
0.6674651,0.4728288,0.4221548,0.6835443,0.7443182,0.6624473,0.7624376,0.5460993,0.5880150,0.3509756,0.5052632,0.4038297,0.0324202,1998-04-30
0.2235529,0.5215297,0.4704856,0.7848101,0.6363636,0.5696203,0.7156213,0.4503546,0.6666667,0.4969724,0.4842105,0.4770046,0.1254521,1998-05-31
0.9225549,0.4405150,0.4190440,0.5063291,0.6306818,0.5738397,0.6153005,0.4113475,0.6891386,0.3509756,0.5578947,0.5865960,0.2121409,1998-06-30
0.5153693,0.4677822,0.3954476,0.7088608,0.4772727,0.4388186,0.4949156,0.3120567,0.5692884,0.4969724,0.4210526,0.4593948,0.3347738,1998-07-31
0.4710579,0.4817324,0.4316388,0.6835443,0.4772727,0.4303797,0.5417320,0.4326241,0.5393258,0.5595425,0.6105263,0.3044965,0.4376727,1998-08-31
0.2586826,0.6513797,0.5477238,0.8227848,0.3693182,0.2194093,0.5216678,0.2801418,0.5093633,0.7263961,0.6315789,0.0593264,0.2678190,1998-09-30
0.5225549,0.4687992,0.5433232,0.4556962,0.4090909,0.3375527,0.3812188,0.1879433,0.3595506,0.4552590,0.3052632,0.5312019,0.4947604,1998-10-31
0.4403194,0.9249722,0.7684370,0.8227848,0.4375000,0.3164557,0.5417320,0.2801418,0.5955056,0.6012559,0.9368421,0.2060181,0.2438563,1998-11-30
0.5760479,0.1241317,0.1345979,0.5189873,0.2897727,0.2742616,0.3076503,0.4716312,0.3520599,0.3926889,0.3789474,0.4132330,0.1564627,1998-12-31
0.5269461,0.2691599,0.2391502,0.5569620,0.4659091,0.4556962,0.4681634,0.2943262,0.5805243,0.4344023,0.4526316,0.4443495,0.0286022,1999-01-31
0.6311377,0.4066278,0.3149469,0.4810127,0.6590909,0.6624473,0.6153005,0.5673759,0.5805243,0.4135456,0.4947368,0.6438707,0.0146499,1999-02-28
0.7309381,0.4692789,0.4920334,0.3417722,0.9204545,0.9240506,0.9296388,0.6595745,0.7490637,0.3092622,0.4315789,0.7408104,0.0181380,1999-03-31
0.5253493,0.5114557,0.4691199,0.7721519,0.6647727,0.5232068,0.7022452,0.3900709,0.6741573,0.4552590,0.5052632,0.4253719,0.0362760,1999-04-30
0.5904192,0.4361592,0.3232929,0.6708861,0.6136364,0.5527426,0.6688049,0.4042553,0.7265918,0.4969724,0.5368421,0.4431527,0.0139523,1999-05-31
0.6786427,0.4728864,0.4247344,0.5569620,0.6193182,0.6413502,0.5885483,0.4858156,0.5655431,0.3301189,0.3052632,0.5035049,0.0202308,1999-06-30
0.6766467,0.4653644,0.4360395,0.5696203,0.6420455,0.5780591,0.6286766,0.5177305,0.5805243,0.3301189,0.4421053,0.4607625,0.0069762,1999-07-31
0.5868263,0.4399394,0.3872534,0.5822785,0.5454545,0.4978903,0.5417320,0.4042553,0.5580524,0.4552590,0.3894737,0.5542828,0.0041857,1999-08-31
0.2363273,0.5453045,0.5186646,0.6708861,0.3863636,0.3080169,0.4815395,0.2411348,0.4943820,0.6638260,0.7052632,0.2061891,0.0006976,1999-09-30
0.3860279,0.6010093,0.4693475,0.8607595,0.3863636,0.2362869,0.5016037,0.2730496,0.5018727,0.6638260,0.7052632,0.2862028,0.0034881,1999-10-31
0.4918164,0.7589515,0.7742792,0.5569620,0.3863636,0.3164557,0.4280352,0.3049645,0.4157303,0.4761157,0.5368421,0.3306548,0.0118595,1999-11-30
0.4782435,0.4894078,0.4428680,0.7088608,0.0000000,0.0000000,0.0000000,0.0602837,0.0299625,0.4761157,0.2631579,0.2190118,0.0062785,1999-12-31
0.6423154,0.0135856,0.0365706,0.4177215,0.8806818,0.8481013,0.8627584,0.6914894,0.9625468,0.3926889,0.7052632,0.7425201,0.0006942,2000-01-31
0.5940120,0.4229574,0.3013657,0.4683544,0.5284091,0.5316456,0.5283559,0.5992908,0.5168539,0.3509756,0.4736842,0.4125492,0.0020827,2000-02-29
0.6762475,0.4582070,0.4164643,0.5443038,0.8068182,0.7383966,0.8426942,0.3652482,0.6928839,0.3718322,0.3473684,0.6563515,0.0020827,2000-03-31
0.6223553,0.5514257,0.5231411,0.7215190,0.8579545,0.8185654,0.8360062,0.6631206,0.8838951,0.4344023,0.4842105,0.5635151,0.0000000,2000-04-30
0.4870259,0.5088268,0.4265554,0.7974684,0.6079545,0.5443038,0.6487408,0.4326241,0.6516854,0.4761157,0.4842105,0.4771756,0.0000000,2000-05-31
0.7193613,0.4239936,0.4116085,0.4556962,0.6022727,0.5147679,0.6153005,0.4539007,0.6179775,0.3926889,0.4736842,0.5060694,0.0013885,2000-06-30
0.6339321,0.4439306,0.4064492,0.6329114,0.5795455,0.5274262,0.6086125,0.3794326,0.5617978,0.3718322,0.4526316,0.3188579,0.0041654,2000-07-31
0.5329341,0.5571823,0.6494689,0.5696203,0.5454545,0.5232068,0.5216678,0.5106383,0.5318352,0.4761157,0.3473684,0.5917251,0.0131905,2000-08-31
0.3017964,0.4038454,0.2145675,0.6455696,0.4034091,0.2827004,0.5016037,0.2234043,0.4307116,0.5803992,0.7263158,0.1863566,0.0027769,2000-09-30
0.3756487,0.8968799,0.7638847,0.7594937,0.4261364,0.2784810,0.5617961,0.2588652,0.5955056,0.6638260,0.6315789,0.2778253,0.0131905,2000-10-31
0.5568862,0.3525924,0.2716237,0.5822785,0.2670455,0.2784810,0.2407698,0.2056738,0.2659176,0.3926889,0.2947368,0.3757907,0.0006942,2000-11-30
0.4335329,0.3248455,0.2501517,0.8101266,0.4431818,0.3375527,0.5216678,0.2836879,0.6816479,0.6012559,0.7789474,0.2455121,0.0006942,2000-12-31
0.6982036,0.2813256,0.3459029,0.2278481,0.5909091,0.6751055,0.5149798,0.7269504,0.5430712,0.2884055,0.1052632,0.7596170,0.5279889,2001-01-31
0.5848303,0.4757071,0.4726859,0.4936709,0.5511364,0.5274262,0.5216678,0.2730496,0.5430712,0.4135456,0.3473684,0.5436827,1.0000000,2001-02-28
0.6107784,0.4799670,0.4090288,0.7088608,0.7613636,0.6835443,0.8360062,0.7234043,0.6741573,0.4969724,0.7157895,0.4713626,0.5936420,2001-03-31
0.8063872,0.4369651,0.3839909,0.3924051,0.9261364,0.9282700,0.8426942,0.7482270,0.7602996,0.3926889,0.6526316,0.7055907,0.5487215,2001-04-30
0.4698603,0.5852554,0.5480273,0.9113924,0.5852273,0.4261603,0.6487408,0.3794326,0.6516854,0.3301189,0.3263158,0.3479227,0.5950242,2001-05-31
0.6251497,0.3739302,0.3053869,0.5316456,0.5795455,0.5780591,0.6153005,0.3262411,0.6629213,0.4969724,0.7052632,0.4641819,0.4858328,2001-06-30
0.7904192,0.4681851,0.4635053,0.4683544,0.6250000,0.6202532,0.5684842,0.4787234,0.4606742,0.3718322,0.3789474,0.5491537,0.4809952,2001-07-31
0.2239521,0.5568945,0.4912747,0.8607595,0.4147727,0.3122363,0.5484200,0.4078014,0.6554307,0.5386858,0.5157895,0.2945803,0.3953006,2001-08-31
0.5309381,0.3926584,0.3458270,0.5316456,0.6022727,0.4599156,0.6487408,0.2907801,0.6329588,0.3092622,0.3789474,0.4971790,0.3275743,2001-09-30
0.3696607,0.7524657,0.8825493,0.8734177,0.2556818,0.2827004,0.3879069,0.1843972,0.3108614,0.6846827,0.5894737,0.2475637,0.3718037,2001-10-31
