Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.2066064,0.4596082,0.3926526,0.5365854,0.7037037,0.5825243,0.8695652,0.5714286,0.7377049,0.3870968,0.5250000,0.1546921,0.5324136,1997-02-28
0.9252103,0.4910440,0.4241594,0.3902439,0.7901235,0.9029126,0.6666667,0.9047619,0.4918033,0.3225806,0.4500000,1.0000000,0.5355890,1997-03-31
0.4549704,0.5098735,0.4536737,0.6341463,0.8148148,0.5922330,0.8550725,0.5428571,0.8688525,0.4516129,0.4500000,0.4468475,0.5412341,1997-04-30
0.0000000,0.5040093,0.4214197,0.5121951,0.7407407,0.6893204,0.7681159,0.7047619,0.6803279,0.2580645,0.3500000,0.5920088,0.5388820,1997-05-31
1.0000000,0.4821478,0.4151930,0.4146341,0.6913580,0.8834951,0.6811594,0.5904762,0.5409836,0.1935484,0.3500000,0.4076246,0.5378235,1997-06-30
0.4032409,0.5814816,0.5077210,0.8780488,0.4691358,0.4271845,0.5797101,0.5523810,0.5737705,0.5161290,0.4250000,0.3859971,0.5399405,1997-07-31
0.5278903,0.4818686,0.4075965,0.5121951,0.5802469,0.5631068,0.5652174,0.4857143,0.4508197,0.1935484,0.5250000,0.5326246,0.5325313,1997-08-31
0.3019632,0.7444449,0.6707347,0.6585366,0.2592593,0.1844660,0.3333333,0.2380952,0.4754098,0.8387097,0.6750000,0.2668622,0.5395876,1997-09-30
0.6051730,0.3119639,0.2075965,0.4634146,0.4691358,0.4854369,0.5072464,0.2761905,0.5081967,0.4193548,0.6000000,0.6235337,0.5370003,1997-10-31
0.3287629,0.4554993,0.4125778,0.5121951,0.3456790,0.3300971,0.3623188,0.3523810,0.3688525,0.3870968,0.5250000,0.2983871,0.5424102,1997-11-30
0.4954815,0.4985439,0.4300125,0.4878049,0.4074074,0.4271845,0.4057971,0.3809524,0.3852459,0.4193548,0.3750000,0.4945015,0.5295911,1997-12-31
0.1364911,0.4749671,0.4326276,0.4878049,0.5555556,0.6019417,0.5507246,0.7523810,0.5163934,0.2580645,0.2250000,0.5395894,0.5323896,1998-01-31
0.4911187,0.4401404,0.3696139,0.2926829,0.6172840,0.6504854,0.6376812,0.5238095,0.5901639,0.3548387,0.8000000,0.5109971,0.5408463,1998-02-28
