Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.3506560,0.4370620,0.4672589,0.6951220,0.4349882,0.3689956,0.6028513,0.5486936,0.7582781,0.5623084,0.6187845,0.4660747,0.3935910,1997-02-28
0.4651402,0.5859472,0.6261421,0.8292683,0.7872340,0.7467249,0.7942974,0.7007126,0.6754967,0.5031609,0.3977901,0.5388242,0.4185989,1997-03-31
0.6812452,0.6137156,0.6005076,0.6585366,0.7872340,0.8144105,0.7698574,0.8313539,0.7168874,0.3020594,0.4530387,0.7923454,0.3991483,1997-04-30
0.4967842,0.5567922,0.6883249,0.3780488,0.7068558,0.6855895,0.7169043,0.7767221,0.7367550,0.2665708,0.2817680,0.7210655,0.3991483,1997-05-31
0.6331361,0.5423646,0.5027919,0.6707317,0.6170213,0.6026201,0.6639511,0.6959620,0.7367550,0.3848659,0.3922652,0.4897734,0.4088736,1997-06-30
0.3807564,0.8875023,0.8432318,0.8048780,0.4751773,0.4082969,0.5621181,0.4940618,0.6109272,0.5031609,0.4088398,0.3587875,0.4199883,1997-07-31
0.5780808,0.2656923,0.5279188,0.4390244,0.5460993,0.6244541,0.5458248,0.6318290,0.5662252,0.2665708,0.2044199,0.7897734,0.3671937,1997-08-31
0.4581940,0.3651115,0.4103215,0.5609756,0.2955083,0.2707424,0.3951120,0.3586698,0.2566225,0.4558429,0.5580110,0.4050827,0.4283242,1997-09-30
0.5276563,0.3439385,0.4644670,0.3292683,0.5248227,0.5655022,0.5437882,0.5558195,0.5662252,0.3020594,0.1878453,0.9000000,0.3949803,1997-10-31
0.5839979,0.4637437,0.5495770,0.4512195,0.3026005,0.3187773,0.3727088,0.4631829,0.4354305,0.3020594,0.3038674,0.3659522,0.4019270,1997-11-30
0.3161821,0.5398164,0.5923858,0.8048780,0.2411348,0.1637555,0.3869654,0.2969121,0.4586093,0.5149904,0.4475138,0.1881200,0.3852550,1997-12-31
0.4522768,0.4942852,0.5593909,0.5243902,0.4255319,0.4126638,0.4826884,0.6152019,0.4933775,0.3966954,0.5414365,0.5788120,0.4002279,1998-01-31
0.4126576,0.5089376,0.5750423,0.7073171,0.5626478,0.5524017,0.6109980,0.6247031,0.5596026,0.4795019,0.4530387,0.5309247,0.3841516,1998-02-28
0.4455879,0.5495222,0.6209814,0.7317073,0.6643026,0.7532751,0.6924644,0.6579572,0.6854305,0.5268199,0.5138122,0.5560318,0.4046342,1998-03-31
0.6820170,0.5428143,0.6166667,0.2804878,0.8723404,0.7794760,0.8370672,0.9216152,0.9486755,0.2310823,0.2596685,0.8541335,0.4237512,1998-04-30
0.6007203,0.6017988,0.5842640,0.9268293,0.6761229,0.6593886,0.6843177,0.5961995,0.6456954,0.3375479,0.2486188,0.6717697,0.4292133,1998-05-31
0.4942115,0.7489226,0.6674281,0.5731707,0.6028369,0.5436681,0.6680244,0.5795724,0.7052980,0.4676724,0.7790055,0.4556032,0.4578889,1998-06-30
0.5603293,0.5658235,0.7318105,0.4878049,0.5366430,0.5174672,0.5906314,0.5605701,0.6341060,0.3612069,0.3701657,0.7432945,0.3363588,1998-07-31
