Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.3035522,0.4320131,0.5535334,0.8666667,0.3787234,0.2825397,0.5205479,0.3779193,0.5384615,0.7058824,0.7419355,0.1663883,0.4662031,1997-02-28
0.5842842,0.4641033,0.6451682,0.2333333,0.8042553,0.8444444,0.7762557,0.7176221,0.6121795,0.0294118,0.3145161,1.0000000,0.4670268,1997-03-31
0.4053821,0.4874884,0.6409110,0.6666667,0.6042553,0.5587302,0.6301370,0.3949045,0.7564103,0.3235294,0.3306452,0.4747229,0.4683447,1997-04-30
0.3502691,0.3864637,0.5327799,0.3666667,0.6382979,0.5650794,0.6849315,0.4352442,0.5448718,0.1176471,0.5645161,0.6057386,0.4673563,1997-05-31
0.9444564,0.4050304,0.5174542,0.4833333,0.5106383,0.3968254,0.6210046,0.4373673,0.6121795,0.4117647,0.4435484,0.3670867,0.4629083,1997-06-30
0.2346609,0.5109698,0.6877395,0.8166667,0.3531915,0.3047619,0.4748858,0.3205945,0.5128205,0.7058824,0.6290323,0.2661303,0.4770758,1997-07-31
0.3685684,0.4991166,0.6268625,0.5333333,0.3872340,0.3809524,0.4429224,0.3842887,0.4423077,0.3529412,0.5645161,0.5135874,0.4587899,1997-08-31
0.0951561,0.5774951,0.7713921,0.5166667,0.3404255,0.3301587,0.3470320,0.4118896,0.2916667,0.7647059,0.3951613,0.4648550,0.4722984,1997-09-30
0.3166846,0.3029777,0.4246488,0.5166667,0.3914894,0.3841270,0.4840183,0.3949045,0.5256410,0.5882353,0.5806452,0.6811902,0.5101881,1997-10-31
0.4137783,0.3127750,0.4465730,0.2833333,0.2553191,0.2857143,0.2876712,0.4182590,0.3717949,0.4117647,0.4112903,0.4416274,0.4352324,1997-11-30
0.3435953,0.5536603,0.8702639,0.5666667,0.2638298,0.2285714,0.3515982,0.2462845,0.3141026,0.5294118,0.7177419,0.3687566,0.4859716,1997-12-31
0.6047363,0.2873342,0.2751171,0.1666667,0.6723404,0.6000000,0.4657534,0.6008493,0.4519231,0.3529412,0.1209677,0.5738576,0.4262759,1998-01-31
0.3909580,0.4435771,0.5944019,0.6000000,0.4851064,0.4603175,0.5433790,0.5392781,0.4551282,0.3823529,0.4032258,0.3783209,0.4689521,1998-02-28
0.6127018,0.4287045,0.5759898,0.4666667,0.5829787,0.5523810,0.6438356,0.4331210,0.7275641,0.2941176,0.4919355,0.6033095,0.4641009,1998-03-31
0.3896663,0.4532138,0.6070668,0.6833333,0.5829787,0.5936508,0.7168950,0.4989384,0.6185897,0.0882353,0.4919355,0.6064976,0.4770375,1998-04-30
0.0000000,0.5278340,0.6696467,0.7166667,0.4851064,0.4380952,0.6164384,0.3906582,0.5929487,0.6176471,0.5887097,0.5539699,0.5861902,1998-05-31
0.7160388,0.4792972,0.5903576,0.3166667,0.4042553,0.4285714,0.6255708,0.3312102,0.6121795,0.1470588,0.6370968,0.5034158,0.8492885,1998-06-30
0.3205597,0.4006938,0.5439549,0.6500000,0.3829787,0.4000000,0.4200913,0.4352442,0.4871795,0.5588235,0.4193548,0.5551845,0.4233506,1998-07-31
0.3500538,0.4878417,0.5737548,0.6000000,0.3829787,0.3841270,0.4246575,0.3673036,0.4711538,0.5294118,0.5645161,0.5055412,0.1581501,1998-08-31
0.2781485,0.6021008,0.8673904,0.8000000,0.3446809,0.1428571,0.3881279,0.2993631,0.3525641,1.0000000,0.6612903,0.0000000,1.0000000,1998-09-30
0.4219591,0.2501365,0.4003831,0.3166667,0.3872340,0.3492063,0.3698630,0.3524416,0.2660256,0.3235294,0.3064516,0.6502201,0.0000000,1998-10-31
0.4027987,0.5272558,0.8037463,0.7000000,0.3404255,0.2888889,0.3926941,0.3460722,0.5865385,0.5882353,0.7822581,0.2643085,0.3379690,1998-11-30
0.4045210,0.2486910,0.2845892,0.4166667,0.2595745,0.2857143,0.2420091,0.4097665,0.1538462,0.3823529,0.4919355,0.5509337,0.3829237,1998-12-31
0.2996771,0.4085317,0.5576841,0.5000000,0.2382979,0.2571429,0.3881279,0.4012739,0.4391026,0.6176471,0.4677419,0.4102019,0.4432406,1999-01-31
0.4180840,0.4428705,0.5920605,0.3333333,0.5106383,0.5396825,0.6027397,0.5498938,0.5897436,0.2941176,0.3951613,0.6678306,0.4662031,1999-02-28
0.5229279,0.4291863,0.6146232,0.3500000,0.6680851,0.7333333,0.7168950,0.5583864,0.6730769,0.1764706,0.2983871,0.6391377,0.4730416,1999-03-31
0.4699677,0.4757958,0.6370796,0.6666667,0.6340426,0.4666667,0.6803653,0.3566879,0.5384615,0.5000000,0.6451613,0.5258843,0.4625453,1999-04-30
0.2828848,0.5307892,0.6403789,0.8500000,0.4936170,0.3873016,0.5114155,0.3375796,0.5737179,0.5000000,0.5806452,0.4637923,0.4644537,1999-05-31
0.8092573,0.3216408,0.5126650,0.0833333,0.5872340,0.5619048,0.6575342,0.4522293,0.7724359,0.0588235,0.4838710,0.6310915,0.4690657,1999-06-30
0.4146394,0.4991809,0.6562367,0.5166667,0.4170213,0.4000000,0.5433790,0.4246285,0.4711538,0.3235294,0.4516129,0.4906634,0.4677935,1999-07-31
0.2585576,0.4291863,0.5594934,0.7500000,0.3617021,0.3777778,0.3926941,0.3949045,0.4294872,0.5588235,0.5483871,0.3579778,0.4617501,1999-08-31
0.1091496,0.6296618,0.5484249,0.4000000,0.2978723,0.3841270,0.4246575,0.3821656,0.4326923,0.6764706,0.4919355,0.4997723,0.4654079,1999-09-30
0.3300323,0.3871382,0.7388250,0.9000000,0.3148936,0.2190476,0.3881279,0.3397028,0.2596154,0.7352941,0.5887097,0.3335358,0.4679525,1999-10-31
0.3756728,0.4911503,1.0000000,0.2833333,0.2808511,0.2444444,0.3470320,0.3439490,0.3942308,0.4411765,0.5967742,0.4115682,0.4665212,1999-11-30
0.4230355,0.2371912,0.0000000,0.5000000,0.0978723,0.0888889,0.0000000,0.1507431,0.0769231,0.2941176,0.2580645,0.3077273,0.4641356,1999-12-31
0.3715823,0.3796858,0.5391656,0.3500000,0.5106383,0.5555556,0.6940639,0.5859873,0.6217949,0.6470588,0.7500000,0.7114012,0.4655670,2000-01-31
0.4116254,0.4278372,0.5852490,0.4500000,0.3872340,0.4031746,0.4429224,0.5966030,0.4679487,0.3235294,0.4516129,0.4888417,0.4783916,2000-02-29
0.3855759,0.4489094,0.6344189,0.5833333,0.6468085,0.5841270,0.7625571,0.3269639,0.5448718,0.4705882,0.4112903,0.5056930,0.4540146,2000-03-31
0.5420883,0.4603450,0.6097275,0.4666667,0.7702128,0.7396825,0.7442922,0.6114650,0.8878205,0.2352941,0.3870968,0.6271444,0.4662031,2000-04-30
0.3009688,0.5069866,0.5898255,0.7166667,0.5319149,0.4634921,0.5936073,0.4076433,0.6089744,0.3529412,0.4919355,0.5989069,0.4662031,2000-05-31
0.6058127,0.3978028,0.5453384,0.5500000,0.4680851,0.4063492,0.5296804,0.3524416,0.6378205,0.4117647,0.5887097,0.5040231,0.4662031,2000-06-30
0.4968784,0.4669301,0.6536824,0.4666667,0.4340426,0.3809524,0.5114155,0.4033970,0.4743590,0.3823529,0.5322581,0.4630332,0.4662031,2000-07-31
0.3834230,0.4799396,0.6885909,0.4500000,0.4765957,0.4857143,0.5022831,0.4564756,0.4839744,0.3823529,0.3951613,0.5703659,0.4662031,2000-08-31
0.1618945,0.4905079,0.6480417,0.7333333,0.2382979,0.2190476,0.3424658,0.3163482,0.2211538,0.7941176,0.5483871,0.2612722,0.4662031,2000-09-30
0.3433800,0.5260030,0.5013836,0.5333333,0.3744681,0.3079365,0.4611872,0.3757962,0.4391026,0.5588235,0.6290323,0.4240170,0.4662031,2000-10-31
0.4228202,0.2822910,0.4869093,0.4166667,0.1234043,0.1777778,0.1461187,0.2441614,0.2660256,0.3529412,0.1774194,0.4355549,0.4662031,2000-11-30
0.3222820,0.3615046,0.5340570,0.6166667,0.3702128,0.3079365,0.4931507,0.3864119,0.6250000,0.6764706,0.8951613,0.3276150,0.4662031,2000-12-31
0.4139935,0.3827375,0.5666241,0.1500000,0.4553191,0.4984127,0.4383562,0.6475584,0.3750000,0.2941176,0.2983871,0.6909063,0.5025671,2001-01-31
0.4092573,0.4367030,0.6023840,0.4833333,0.3574468,0.3555556,0.4292237,0.2632696,0.4391026,0.4411765,0.5967742,0.4519508,0.4654160,2001-02-28
0.4434876,0.4862998,0.6545338,0.6000000,0.6723404,0.6317460,0.7214612,0.6348195,0.6282051,0.3529412,0.3548387,0.5336268,0.4704534,2001-03-31
0.6269107,0.3821593,0.5106428,0.3000000,0.8085106,0.7904762,0.7945205,0.5562633,0.6185897,0.0294118,0.3145161,0.7942918,0.4676199,2001-04-30
0.1872982,0.5758890,0.7907620,0.9666667,0.4425532,0.3460317,0.5616438,0.3397028,0.6762821,0.5882353,0.6290323,0.3866707,0.4599063,2001-05-31
0.7300323,0.3400469,0.4344402,0.2333333,0.5063830,0.4349206,0.5753425,0.3566879,0.6506410,0.3823529,0.5806452,0.5187491,0.4679347,2001-06-30
0.5554360,0.4422280,0.5658791,0.5500000,0.4468085,0.4190476,0.5159817,0.3736730,0.5096154,0.2941176,0.5645161,0.4976469,0.4702960,2001-07-31
0.0473628,0.5815425,0.7404215,0.7000000,0.3531915,0.3555556,0.4337900,0.4140127,0.4551282,0.7941176,0.4677419,0.4372248,0.4573876,2001-08-31
0.2792250,0.3281616,0.4837165,0.5666667,0.3659574,0.3523810,0.4246575,0.3524416,0.4230769,0.5588235,0.5806452,0.4628814,0.4602211,2001-09-30
0.3179763,0.6653175,0.8325883,0.7833333,0.3531915,0.3015873,0.4474886,0.3503185,0.4519231,0.5588235,0.6048387,0.4170336,0.4759631,2001-10-31
0.4645856,0.2320838,0.3477011,0.1500000,0.1191489,0.1682540,0.1369863,0.3460722,0.0801282,0.2352941,0.2661290,0.4275087,0.4630547,2001-11-30
0.3429494,0.4743182,0.7007237,0.6000000,0.2765957,0.2571429,0.3607306,0.3227176,0.4006410,0.7058824,0.7258065,0.3821163,0.4594340,2001-12-31
0.4083961,0.2912210,0.4667944,0.3000000,0.4042553,0.4412698,0.4292237,0.4479830,0.5673077,0.3709677,0.3467742,0.5832701,0.4406994,2002-01-31
0.3862217,0.4344223,0.5814176,0.3833333,0.5404255,0.5071429,0.6027397,0.4012739,0.4487179,0.4000407,0.6693548,0.5198118,0.4660465,2002-02-28
0.5296017,0.4436093,0.6471903,0.5333333,0.6638298,0.6420635,0.7077626,0.7537155,0.5993590,0.2678910,0.1290323,0.6078640,0.4665163,2002-03-31
0.4800861,0.4836337,0.6823116,0.5500000,0.6893617,0.6973545,0.6529680,0.4458599,0.6121795,0.1267868,0.4354839,0.6974343,0.4660465,2002-04-30
0.1862217,0.4988918,0.5991911,0.7833333,0.5063830,0.4278887,0.6347032,0.3269639,0.7660256,0.5686591,0.7338710,0.3831790,0.4660465,2002-05-31
0.8053821,0.3904147,0.6105790,0.3833333,0.5234043,0.4047039,0.5707763,0.4012739,0.5480769,0.4166350,0.5161290,0.5395476,0.5036267,2002-06-30
0.4542519,0.4949407,0.5152192,0.7666667,0.3787234,0.2840826,0.5114155,0.3227176,0.5288462,0.3053763,0.5645161,0.2010020,0.4605661,2002-07-31
0.2043057,0.4506119,0.5725841,0.4333333,0.3872340,0.4360471,0.4429224,0.4819533,0.4455128,0.6518027,0.4596774,0.6154547,0.4644807,2002-08-31
0.1840689,0.6435386,0.5526820,0.6166667,0.3021277,0.2715105,0.3881279,0.3163482,0.4423077,0.8516445,0.6129032,0.2936086,0.4460037,2002-09-30
0.4107643,0.4341653,0.6104725,0.4000000,0.3702128,0.3779519,0.4018265,0.4543524,0.2532051,0.3352625,0.2903226,0.6427812,0.4652636,2002-10-31
0.3397201,0.2214513,0.4830779,0.6000000,0.2170213,0.1449053,0.3196347,0.3991507,0.3717949,0.6108159,0.6774194,0.2419918,0.4596266,2002-11-30
0.3937567,0.3358068,0.5815241,0.1666667,0.3702128,0.4021505,0.4018265,0.3290870,0.3589744,0.4888046,0.5887097,0.5805374,0.4636978,2002-12-31
0.4516685,0.4099772,0.5151128,0.5000000,0.1741935,0.2604199,0.1555457,0.3842887,0.3365385,0.1831120,0.2741935,0.5568544,0.4662031,2003-01-31
0.3498385,0.4525714,0.6251596,0.4833333,0.7460192,0.6372028,0.8711992,0.4076433,0.6185897,0.5324953,0.6209677,0.6579627,0.4662031,2003-02-28
0.5033369,0.4324307,0.5747126,0.6000000,0.4987303,0.5229610,0.5095638,0.6496815,0.5993590,0.3138046,0.1854839,0.4162745,0.4662031,2003-03-31
0.5526372,0.4254280,0.5633248,0.4333333,0.7958087,0.7681652,0.8012864,0.4649682,0.8301282,0.0798229,0.4919355,0.6966753,0.4662031,2003-04-30
0.1864370,0.5231441,0.6716688,0.7166667,0.5262228,0.4237447,0.6298522,0.4182590,0.5192308,0.3727388,0.6290323,0.6119630,0.4679185,2003-05-31
0.8251884,0.4014005,0.5738612,0.4000000,0.4489545,0.3723400,0.5404674,0.2993631,0.5961538,0.3507906,0.5483871,0.4408684,0.4729087,2003-06-30
0.3379978,0.4432238,0.5801405,0.5333333,0.4030702,0.4818331,0.3942800,0.4734607,0.4711538,0.4974067,0.4758065,0.5990588,0.4713492,2003-07-31
0.3595264,0.4643924,0.5795019,0.6500000,0.3906658,0.3502304,0.5196642,0.4012739,0.5096154,0.5322581,0.3629032,0.3481099,0.4627724,2003-08-31
0.1121636,0.5649995,0.7043423,0.7166667,0.3127888,0.2371429,0.4128443,0.2972399,0.4487179,0.8291588,0.8064516,0.2424472,0.4850722,2003-09-30
0.3713671,0.5158524,0.6100468,0.4666667,0.2969572,0.3462673,0.3373398,0.4437367,0.3814103,0.4934219,0.3387097,0.5492637,0.4722849,2003-10-31
0.3847147,0.4010151,0.7857599,0.3833333,0.2918371,0.2322512,0.3323710,0.3205945,0.2980769,0.4771664,0.6129032,0.4244724,0.4415641,2003-11-30
0.3978471,0.2729755,0.3439762,0.4833333,0.1549714,0.1406110,0.2412039,0.1549894,0.2724359,0.4412397,0.6451613,0.3279186,0.4618367,2003-12-31
0.3653391,0.3639780,0.4607280,0.3500000,0.3973919,0.4659498,0.5055236,0.4331210,0.3461538,0.5161290,0.4677419,0.4651586,0.4605873,2004-01-31
0.4359526,0.4503550,0.6287782,0.5666667,0.4649563,0.4148878,0.4246575,0.7218684,0.4647436,0.3640646,0.3548387,0.6442994,0.4660478,2004-02-29
0.4238967,0.4307603,0.5560877,0.5333333,0.6791754,0.6246411,0.7397260,0.5180467,0.6634615,0.3996925,0.1935484,0.4894489,0.4658924,2004-03-31
0.4456405,0.4586746,0.6112175,0.6166667,0.6525829,0.6481959,0.6803653,0.4076433,0.7339744,0.3425996,0.7096774,0.6898436,0.4668244,2004-04-30
0.3754575,0.4482349,0.5715198,0.5666667,0.6333471,0.5697252,0.6803653,0.4140127,0.5961538,0.1906072,0.4677419,0.6063458,0.4662031,2004-05-31
0.7261572,0.5480068,0.7753299,0.4500000,0.4677877,0.3395870,0.5890411,0.3439490,0.6634615,0.3182163,0.5967742,0.5015940,0.4666691,2004-06-30
0.3442411,0.3873310,0.4785015,0.5500000,0.4066118,0.4126916,0.4566210,0.3736730,0.5032051,0.5527514,0.5161290,0.3391529,0.4801831,2004-07-31
0.3554360,0.3770197,0.5417199,0.6000000,0.4549073,0.3979519,0.4840183,0.4288747,0.5128205,0.5075901,0.5887097,0.5683923,0.4564171,2004-08-31
0.2180840,0.5484244,0.6756066,0.5333333,0.2736582,0.2869227,0.3881279,0.3524416,0.3141026,0.6837761,0.4677419,0.3254896,0.4629411,2004-09-30
0.3483315,0.4208667,0.5986590,0.4333333,0.2608648,0.3571121,0.3100604,0.3588110,0.4519231,0.4462049,0.4919355,0.4241688,0.4641838,2004-10-31
0.3689989,0.5615624,0.7840570,0.5333333,0.3416884,0.2727291,0.4031816,0.3779193,0.3557692,0.5155598,0.4838710,0.5031122,0.4727271,2004-11-30
0.4355221,0.1710192,0.2501064,0.2666667,0.2161702,0.2336713,0.2319635,0.2505308,0.1602564,0.2652751,0.4112903,0.5228480,0.4603004,2004-12-31
0.3931109,0.4261026,0.5697105,0.4333333,0.5691146,0.3945725,0.4292237,0.6857749,0.4423077,0.5123340,0.4193548,0.4490663,0.4655818,2005-01-31
0.3952637,0.4299894,0.5644955,0.5500000,0.6083930,0.5996928,0.7423353,0.5201699,0.6666667,0.4291136,0.4435484,0.2878397,0.4662031,2005-02-28
0.4099031,0.4572934,0.6025968,0.7333333,0.3305226,0.3245264,0.3662227,0.4267516,0.3237179,0.4997289,0.4354839,0.5556399,0.4662031,2005-03-31
0.5601722,0.4244965,0.5950404,0.3500000,0.7297003,0.7570609,0.8415181,0.4819533,0.8173077,0.1337445,0.5000000,0.7329589,0.4662031,2005-04-30
0.2467169,0.4730654,0.6280332,0.6166667,0.7581515,0.6938351,0.7796337,0.4543524,0.8621795,0.0000316,0.5564516,0.4050402,0.4662031,2005-05-31
0.8856835,0.4440911,0.5776926,0.5333333,0.5334798,0.2874347,0.5684637,0.3078556,0.5288462,0.5783997,0.6209677,0.4176408,0.4662031,2005-06-30
0.1595264,0.5558447,0.6579395,0.6333333,0.3136033,0.3317153,0.3651053,0.4033970,0.3782051,0.7868754,0.4919355,0.7923182,0.4662031,2005-07-31
0.3298170,0.4930455,0.7886335,0.6333333,0.4031572,0.4067588,0.4707615,0.3715499,0.5320513,0.4629981,0.6290323,0.3686048,0.4665129,2005-08-31
0.2025834,0.5925283,0.6541081,0.6833333,0.3557218,0.3115788,0.4335395,0.2972399,0.4230769,0.6834598,0.5483871,0.4827691,0.4658933,2005-09-30
0.3623251,0.2096624,0.3438697,0.1666667,0.3129124,0.3218058,0.4140080,0.3588110,0.4134615,0.5746047,0.5483871,0.2158798,0.4662031,2005-10-31
0.3956943,0.4798111,0.6487867,0.6500000,0.3219812,0.3190408,0.3563117,0.4203822,0.3012821,0.3685326,0.4919355,0.4593897,0.4662031,2005-11-30
0.3681378,0.4221837,0.5753512,0.7166667,0.0855685,0.1173135,0.0953012,0.2738854,0.2596154,0.6086970,0.4919355,0.3566115,0.4662031,2005-12-31
0.4602799,0.2558864,0.4727544,0.1833333,0.2691833,0.3987711,0.5074385,0.6050955,0.4583333,0.2609108,0.2016129,0.7753150,0.4662031,2006-01-31
0.3268030,0.4499727,0.5648148,0.6666667,0.5531915,0.4698413,0.6621005,0.3418259,0.6858974,0.5000000,0.7258065,0.4363140,0.4662031,2006-02-28
0.4665231,0.4307282,0.5477863,0.2500000,0.5446809,0.5619048,0.5479452,0.6050955,0.3141026,0.3235294,0.3467742,0.5881281,0.4662031,2006-03-31
0.5668461,0.4825544,0.6712431,0.5166667,0.7744681,0.7523810,0.8082192,0.4394904,0.7147436,0.1470588,0.5000000,0.7384242,0.4662031,2006-04-30
0.3306781,0.4063923,0.5052150,0.6500000,0.4893617,0.4952381,0.4931507,0.4097665,0.5384615,0.2058824,0.2741935,0.5805374,0.4662031,2006-05-31
0.8518837,0.4640102,0.6127075,0.3000000,0.6638298,0.5174603,0.7762557,0.4670913,0.8525641,0.1470588,0.6935484,0.5213299,0.4665120,2006-06-30
0.2396125,0.4650573,0.6382503,0.9000000,0.2638298,0.1777778,0.4109589,0.2484076,0.4679487,0.6764706,0.6935484,0.1296493,0.4669754,2006-07-31
0.1810549,0.4855482,0.8032141,0.6000000,0.3702128,0.4000000,0.4246575,0.4288747,0.4935897,0.9117647,0.4919355,0.5334750,0.4651218,2006-08-31
0.3539290,0.3829045,0.6031290,0.2833333,0.3659574,0.3365079,0.3561644,0.4564756,0.3301282,0.3529412,0.4596774,0.5608016,0.4663576,2006-09-30
0.3513455,0.5287688,0.5871648,0.7000000,0.3957447,0.3682540,0.5159817,0.2292994,0.5384615,0.5882353,0.6209677,0.5471383,0.4662031,2006-10-31
0.4206674,0.2739295,0.2881013,0.1333333,0.3659574,0.3904762,0.3926941,0.4989384,0.2179487,0.3823529,0.4354839,0.5334750,0.4746988,2006-11-30
0.3455328,0.4701519,0.6637931,1.0000000,0.0936170,0.0380952,0.2146119,0.2271762,0.3878205,0.5588235,0.5080645,0.1068772,0.4587887,2006-12-31
0.3235737,0.4366194,0.4935079,0.3500000,0.2468085,0.2698413,0.3059361,0.3503185,0.3653846,0.5588235,0.3870968,0.4879308,0.4649674,2007-01-31
0.5143165,0.3960682,0.5637505,0.0000000,0.8042553,0.8380952,0.7625571,0.6496815,0.4711538,0.5882353,0.3709677,0.8052224,0.4662031,2007-02-28
0.3948332,0.5180688,0.7074287,0.7666667,0.5404255,0.4698413,0.6255708,0.6326964,0.7051282,0.1764706,0.4758065,0.3953241,0.4662031,2007-03-31
0.4880517,0.4383091,0.6616645,0.5333333,0.4893617,0.4984127,0.5662100,0.4585987,0.5641026,0.5882353,0.5403226,0.4970396,0.4662031,2007-04-30
0.3341227,0.4668658,0.5477863,0.6833333,0.5872340,0.4793651,0.6347032,0.2908705,0.6442308,0.0588235,0.6048387,0.6564445,0.4662031,2007-05-31
0.6897740,0.3953937,0.5648148,0.3166667,0.6127660,0.5682540,0.6301370,0.4416136,0.6923077,0.6470588,0.4838710,0.5942007,0.4663570,2007-06-30
0.4542519,0.4090778,0.5009579,0.5333333,0.4085106,0.3936508,0.4748858,0.3842887,0.4391026,0.2352941,0.4596774,0.5471383,0.4671265,2007-07-31
0.2191604,0.5330057,0.7425500,0.7333333,0.3361702,0.2539683,0.4566210,0.3269639,0.4967949,0.4411765,0.6048387,0.1630484,0.4652797,2007-08-31
0.2852530,0.3879092,0.4743508,0.5333333,0.3744681,0.4158730,0.4063927,0.3991507,0.3461538,0.1470588,0.5080645,0.5653560,0.4692810,2007-09-30
0.2269107,1.0000000,0.9224138,0.9333333,0.2425532,0.1365079,0.3972603,0.2696391,0.5064103,0.4117647,0.7258065,0.1417944,0.4629713,2007-10-31
0.4882670,0.0634095,0.4168795,0.1833333,0.1574468,0.1873016,0.1780822,0.2229299,0.0000000,0.7647059,0.1451613,0.4864126,0.4668187,2007-11-30
0.3171152,0.2298352,0.3806939,0.5166667,0.5148936,0.5174603,0.5616438,0.5732484,0.7275641,0.5882353,0.6854839,0.5532109,0.4655875,2007-12-31
0.4195910,0.3788507,0.5509791,0.3000000,0.1872340,0.2317460,0.2237443,0.5074310,0.3333333,0.6470588,0.2580645,0.5744649,0.4688079,2008-01-31
0.3018299,0.4409110,0.5956790,0.6000000,0.0680851,0.0507937,0.1735160,0.0000000,0.2628205,0.6176471,1.0000000,0.2177015,0.4635983,2008-02-29
0.5896663,0.4403649,0.6276075,0.3666667,1.0000000,1.0000000,1.0000000,1.0000000,0.5673077,0.1470588,0.0000000,0.8386215,0.4665096,2008-03-31
0.5039828,0.4475282,0.5797148,0.4333333,0.8127660,0.7238095,0.8401826,0.4288747,1.0000000,0.2647059,0.5645161,0.6716259,0.4662031,2008-04-30
0.2998924,0.4890302,0.6041933,0.8500000,0.4723404,0.4190476,0.5570776,0.3184713,0.5480769,0.4117647,0.6290323,0.4636405,0.4658967,2008-05-31
0.7134553,0.4105875,0.5637505,0.4000000,0.5574468,0.5174603,0.6210046,0.4501062,0.6185897,0.2647059,0.4919355,0.4560498,0.4663563,2008-06-30
0.5324004,0.4322701,0.6095147,0.4166667,0.4808511,0.4444444,0.5205479,0.4097665,0.5448718,0.2941176,0.4596774,0.6776985,0.4668160,2008-07-31
0.2473628,0.4466609,0.5658791,0.6666667,0.3787234,0.3523810,0.4429224,0.3864119,0.4391026,0.6176471,0.4758065,0.3846971,0.4665096,2008-08-31
0.1082885,0.6110950,0.7883142,0.6666667,0.3234043,0.3079365,0.4337900,0.3970276,0.4551282,0.7352941,0.5967742,0.2829816,0.4654370,2008-09-30
