Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.6451415,0.4294414,0.4197432,0.5365854,1.0000000,0.8035714,1.0000000,0.5230769,0.7480315,0.4285714,0.5106383,0.3369565,0.5206322,1997-02-28
0.7564576,0.4280141,0.4169342,0.4146341,0.6279070,0.7500000,0.4166667,0.7692308,0.3858268,0.1428571,0.2553191,0.9612319,0.5255299,1997-03-31
0.4532595,0.4860596,0.5521669,0.5853659,0.7906977,0.7857143,0.6875000,0.5076923,0.6850394,0.3809524,0.3404255,0.4264493,0.5225913,1997-04-30
0.5947109,0.5002379,0.4807384,0.7317073,0.5581395,0.4464286,0.5833333,0.5384615,0.5669291,0.4761905,0.4468085,0.5713768,0.5764656,1997-05-31
0.3056581,0.5658959,0.3856340,0.5609756,0.3488372,0.3214286,0.4166667,0.2153846,0.5590551,0.6190476,0.5106383,0.5355072,0.5921381,1997-06-30
0.4630996,0.6237511,0.5862761,0.5365854,0.3023256,0.2500000,0.3750000,0.3230769,0.4803150,0.4761905,0.5744681,0.4039855,0.5960562,1997-07-31
0.5897909,0.3504615,0.4438202,0.4634146,0.5581395,0.5892857,0.4791667,0.4153846,0.5275591,0.3333333,0.3617021,0.6416667,0.5382638,1997-08-31
0.5571956,0.2891807,0.2275281,0.3414634,0.5348837,0.6785714,0.4791667,0.5692308,0.5275591,0.1904762,0.2978723,0.6449275,0.5936074,1997-09-30
0.5762608,0.4720716,0.4707063,0.5365854,0.5581395,0.5357143,0.4583333,0.4000000,0.5511811,0.3333333,0.3829787,0.6731884,0.4559831,1997-10-31
0.6875769,0.3618803,0.5650080,0.1219512,0.4883721,0.4464286,0.4375000,0.3230769,0.5511811,0.2380952,0.1914894,0.8311594,0.5588340,1997-11-30
0.7453875,0.2098202,0.0457464,0.2926829,0.4186047,0.5714286,0.2916667,0.4000000,0.3464567,0.2857143,0.2553191,0.6101449,0.3957418,1997-12-31
