Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.5331750,0.4908946,0.5020421,0.5486726,0.4418226,0.3772129,0.5633562,0.5076792,0.6305732,0.5594406,0.3582368,0.3247849,0.0000000,1997-02-28
0.6342268,0.8051122,0.6870668,0.8185841,0.7192840,0.6975034,0.8022260,0.7056314,0.7681529,0.4965035,0.6406425,0.7542169,0.0000000,1997-03-31
0.5787347,0.5095168,0.4605817,0.7831858,0.5305126,0.5189287,0.5821918,0.3421502,0.5961783,0.3986014,0.5909600,0.7345955,0.0000000,1997-04-30
0.2992227,0.3260655,0.5181312,0.2168142,0.6818552,0.6256922,0.7491438,0.6416382,0.7477707,0.1538462,0.4157639,0.7192197,0.0000000,1997-05-31
1.0000000,0.8609237,0.6373144,0.7654867,0.4548413,0.3962778,0.5993151,0.4837884,0.6464968,0.6643357,0.5072843,0.1717154,0.0000000,1997-06-30
0.0530707,0.5878723,0.4923267,0.9469027,0.3539463,0.2787108,0.5351027,0.1134812,0.6286624,0.8881119,0.8785954,0.0166380,0.0000000,1997-07-31
0.6084241,0.4167627,0.5010520,0.2522124,0.4255492,0.4598275,0.4717466,0.4889078,0.4968153,0.3706294,0.3817706,0.8372347,0.0000000,1997-08-31
0.4864277,0.1798036,0.3557550,0.3805310,0.2847844,0.3047662,0.3621575,0.3745734,0.2987261,0.4265734,0.4288383,0.4180149,0.0000000,1997-09-30
0.6653197,0.3972903,0.4865099,0.3761062,0.4499593,0.4877894,0.5094178,0.3916382,0.5535032,0.3636364,0.4236085,0.8311532,0.0000000,1997-10-31
0.6890712,0.3720037,0.4119431,0.2300885,0.2205045,0.3079437,0.2380137,0.3199659,0.3515924,0.1678322,0.3111692,0.4448078,0.0000000,1997-11-30
0.3772788,0.5226537,0.5493812,0.6283186,0.2782750,0.2577394,0.4220890,0.3404437,0.5178344,0.6153846,0.7007845,0.2842800,0.0000000,1997-12-31
0.7306364,0.4691185,0.4634282,0.4601770,0.3864931,0.4445756,0.4083904,0.4854949,0.4668790,0.3356643,0.0862906,0.6858290,0.0000000,1998-01-31
0.6342268,0.5097636,0.5271658,0.6061947,0.4694874,0.4636405,0.5299658,0.5452218,0.5254777,0.2867133,0.4366829,0.3845668,0.0000000,1998-02-28
0.6672630,0.5617355,0.5703589,0.6592920,0.6623271,0.6078983,0.7679795,0.6211604,0.7509554,0.5664336,0.6118790,0.5821572,0.0000000,1998-03-31
0.3781424,0.6448631,0.5625619,0.8716814,0.5931652,0.4966863,0.7200342,0.3728669,0.7681529,0.5734266,0.6484871,0.5940333,0.0000000,1998-04-30
0.2748234,0.7325709,0.6097153,0.6814159,0.5345810,0.4763504,0.6541096,0.4684300,0.6923567,0.6573427,0.7556967,0.4682157,0.0000000,1998-05-31
0.6359542,0.4840382,0.4931931,0.5000000,0.4987795,0.4159782,0.6438356,0.3481229,0.7273885,0.5454545,0.7138588,0.3440620,0.0000000,1998-06-30
