Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.4235860,0.4470519,0.4597668,0.7368421,0.4830508,0.3461538,0.6372549,0.3045685,0.6686747,0.4782609,0.5294118,0.2007322,0.5549839,1997-02-28
0.7328520,0.4600964,0.4734282,0.2631579,0.8220339,0.8525641,0.7647059,0.8071066,0.5481928,0.5652174,0.2156863,1.0000000,0.5141451,1997-03-31
0.5932611,0.4911999,0.4955296,0.8421053,0.6694915,0.5961538,0.6960784,0.4467005,0.8674699,0.4782609,0.2941176,0.3840757,0.5622765,1997-04-30
0.6016847,0.4831045,0.4579787,0.4210526,0.6949153,0.6346154,0.6960784,0.5025381,0.6385542,0.3043478,0.2941176,0.6909701,0.5243548,1997-05-31
0.7539110,0.4409557,0.4624133,0.3157895,0.5847458,0.5320513,0.6176471,0.4162437,0.6204819,0.3913043,0.3921569,0.4533252,0.6220762,1997-06-30
0.4717208,0.4891023,0.4870181,0.7368421,0.4661017,0.3846154,0.5686275,0.4771574,0.5421687,0.6521739,0.2941176,0.3471629,0.4514285,1997-07-31
0.7659446,0.5026384,0.5232101,0.4736842,0.5254237,0.4871795,0.5294118,0.3908629,0.5542169,0.3478261,0.3725490,0.5115924,0.5301889,1997-08-31
0.0385078,0.6077808,0.5702739,0.8157895,0.2372881,0.1794872,0.3627451,0.3401015,0.3072289,0.8260870,0.6078431,0.3114704,0.6541637,1997-09-30
0.4055355,0.5288257,0.4952435,0.5000000,0.4322034,0.3782051,0.4705882,0.2588832,0.5963855,0.6956522,0.5490196,0.6424649,0.5214378,1997-10-31
0.4903730,0.3303727,0.3985409,0.4736842,0.3474576,0.3525641,0.3431373,0.4467005,0.3433735,0.6086957,0.4117647,0.3959732,0.5899886,1997-11-30
0.4687124,0.5357740,0.4887347,0.5526316,0.3050847,0.2692308,0.3529412,0.1776650,0.4698795,0.5217391,0.4509804,0.3779744,0.3843362,1997-12-31
0.5535499,0.3442037,0.3779415,0.5263158,0.4915254,0.4807692,0.5098039,0.5888325,0.4698795,0.5217391,0.3137255,0.5329469,0.5358294,1998-01-31
0.5132371,0.4580315,0.4630570,0.5526316,0.5423729,0.5064103,0.6078431,0.5837563,0.5361446,0.4782609,0.0980392,0.4176327,0.5244957,1998-02-28
0.6474128,0.4696995,0.4795794,0.5526316,0.6779661,0.6346154,0.7058824,0.4568528,0.7469880,0.4782609,0.3333333,0.6171446,0.6527378,1998-03-31
0.6642599,0.4834978,0.4765038,0.5263158,0.7118644,0.6538462,0.7352941,0.5380711,0.5903614,0.3913043,0.6470588,0.5695546,0.4308357,1998-04-30
0.3947052,0.5465898,0.5568986,0.6052632,0.6186441,0.5384615,0.6666667,0.3705584,0.6686747,0.5217391,0.3529412,0.6281269,0.5374640,1998-05-31
0.8369434,0.4215201,0.4323010,0.4473684,0.5932203,0.5256410,0.5784314,0.4213198,0.6385542,0.3478261,0.2549020,0.5622331,0.9337176,1998-06-30
0.5830325,0.4550818,0.4393820,0.5789474,0.4576271,0.4551282,0.4705882,0.4467005,0.5421687,0.6086957,0.3333333,0.5570470,0.8054755,1998-07-31
0.5108303,0.4839566,0.4940991,0.5526316,0.4491525,0.4294872,0.4901961,0.4060914,0.5240964,0.5217391,0.3921569,0.3718731,0.2809798,1998-08-31
0.0860409,0.6923405,0.5604749,0.8947368,0.2711864,0.1346154,0.4901961,0.2487310,0.4036145,0.7826087,0.6078431,0.0000000,0.4178674,1998-09-30
0.5348977,0.3230966,0.4330878,0.4473684,0.3898305,0.3525641,0.3823529,0.2538071,0.3313253,0.4782609,0.3725490,0.5875534,1.0000000,1998-10-31
0.3622142,0.7925011,0.5448108,0.7105263,0.3559322,0.2756410,0.4607843,0.3553299,0.6325301,0.6086957,0.4509804,0.2626602,0.0000000,1998-11-30
0.6107100,0.2149061,0.3931049,0.4736842,0.2966102,0.3012821,0.2647059,0.4263959,0.2349398,0.4782609,0.5882353,0.5640635,0.2968300,1998-12-31
0.4488568,0.4129003,0.4803662,0.4736842,0.3644068,0.3525641,0.4019608,0.3096447,0.5180723,0.5217391,0.4901961,0.4078707,0.5360231,1999-01-31
0.5788207,0.4284356,0.4525427,0.4210526,0.6440678,0.6410256,0.6372549,0.5736041,0.5963855,0.4782609,0.3137255,0.6818182,0.5360231,1999-02-28
