Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.3282491,0.4977087,0.4088182,0.7368421,0.4065934,0.3381389,0.5078459,0.2918782,0.6719577,0.6702128,0.6804979,0.2542979,0.5148297,1997-02-28
0.4778921,0.5865389,0.5246437,0.7142857,0.8084772,0.7994758,0.8245364,0.5913706,0.7661376,0.5106383,0.6307054,0.5914894,0.5148297,1997-03-31
0.5359525,0.6708790,0.5962177,0.6315789,0.7503925,0.7955439,0.7104137,0.5888325,0.6740741,0.3829787,0.3900415,0.8633191,0.5148297,1997-04-30
0.4907646,0.4330649,0.4444444,0.2255639,0.7786499,0.7994758,0.7417974,0.7093909,0.7354497,0.1382979,0.2614108,0.9056170,0.5148297,1997-05-31
0.9358050,0.6646993,0.5525019,0.7819549,0.6216641,0.6055046,0.6490728,0.5342640,0.7280423,0.3085106,0.3941909,0.3027234,0.5148297,1997-06-30
0.1807516,0.6227144,0.3918890,0.7819549,0.4207221,0.3630406,0.5520685,0.1916244,0.6317460,0.7872340,0.7634855,0.1439149,0.5148297,1997-07-31
0.5225437,0.5423552,0.6209686,0.3609023,0.5086342,0.5622543,0.5106990,0.5025381,0.5386243,0.3936170,0.4356846,0.8664681,0.5499382,1997-08-31
0.2727364,0.4624821,0.3321547,0.6842105,0.3359498,0.2935780,0.3666191,0.1319797,0.2359788,0.7021277,0.6265560,0.2560851,0.4828792,1997-09-30
0.5478864,0.5056011,0.5418408,0.3684211,0.4568289,0.5294889,0.5620542,0.4340102,0.6349206,0.3936170,0.3278008,0.8353191,0.5161300,1997-10-31
0.5761791,0.2942184,0.2865638,0.2105263,0.3092622,0.4076016,0.3195435,0.4238579,0.4412698,0.2446809,0.3360996,0.4391489,0.5103715,1997-11-30
0.3597600,0.5500393,0.4972142,0.7293233,0.2386185,0.1887287,0.3737518,0.0621827,0.4529101,0.5851064,0.6265560,0.1245106,0.5148297,1997-12-31
0.3845664,0.5127991,0.4372656,0.6691729,0.4222920,0.4416776,0.4736091,0.4784264,0.5015873,0.6063830,0.6141079,0.5488511,0.5148297,1998-01-31
0.4709195,0.5429801,0.4954463,0.5037594,0.5525903,0.5740498,0.5777461,0.6065990,0.4973545,0.3936170,0.3195021,0.5125957,0.5148297,1998-02-28
0.4305588,0.5276582,0.4670524,0.6541353,0.6263736,0.6068152,0.6733238,0.4213198,0.7608466,0.5957447,0.5975104,0.4701277,0.5148297,1998-03-31
0.5684020,0.6434523,0.5486446,0.5789474,0.8634223,0.8584535,0.8316690,0.5901015,0.9216931,0.3617021,0.5062241,0.8511489,0.5148297,1998-04-30
0.5677316,0.5230986,0.4758384,0.6090226,0.7080063,0.6828309,0.7018545,0.5415609,0.7089947,0.2765957,0.4190871,0.7398298,0.5148297,1998-05-31
0.7625624,0.6670601,0.5300546,0.5488722,0.6420722,0.6422018,0.6690442,0.4241751,0.6793651,0.3085106,0.5601660,0.3505532,0.5716567,1998-06-30
