Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.3108522,0.6127179,0.5171558,0.7419355,0.3970588,0.3454545,0.4933333,0.2974684,0.6103896,0.6956522,0.5227273,0.2731183,0.0000000,1997-02-28
0.4843654,0.6433978,0.5233634,0.6451613,0.7720588,0.7575758,0.7866667,0.5063291,0.7575758,0.6086957,0.6590909,0.6419355,0.0000000,1997-03-31
0.5775598,0.6784025,0.5635440,0.4838710,0.7867647,0.7939394,0.7533333,0.7341772,0.6450216,0.3478261,0.3636364,0.7917563,0.0000000,1997-04-30
0.6413243,0.5493310,0.4779910,0.3548387,0.7205882,0.7333333,0.7266667,0.6835443,0.7316017,0.1739130,0.2159091,0.8964158,0.0000000,1997-05-31
0.7406499,0.6552913,0.5215576,0.6451613,0.6544118,0.6666667,0.6600000,0.5253165,0.7229437,0.2608696,0.3409091,0.3956989,0.0000000,1997-06-30
0.2906193,0.6566428,0.5094808,0.7741935,0.4779412,0.4181818,0.5600000,0.3354430,0.6536797,0.6086957,0.5113636,0.1838710,0.0000000,1997-07-31
0.4212140,0.6194080,0.5353273,0.4516129,0.5073529,0.5212121,0.5400000,0.4936709,0.5497835,0.3913043,0.4772727,0.8498208,0.0000000,1997-08-31
0.4984672,0.6028517,0.5269752,0.6451613,0.2647059,0.3636364,0.3066667,0.2151899,0.3376623,0.6086957,0.3750000,0.3161290,0.0000000,1997-09-30
0.5855303,0.5902149,0.5270880,0.3225806,0.5073529,0.5696970,0.5400000,0.3924051,0.6103896,0.3478261,0.3409091,0.8426523,0.0000000,1997-10-31
0.6161864,0.5543317,0.4952596,0.2903226,0.3382353,0.3878788,0.3866667,0.4620253,0.5367965,0.1304348,0.3068182,0.4670251,0.0000000,1997-11-30
0.3623544,0.5886606,0.4858916,0.7419355,0.1911765,0.1878788,0.3133333,0.0632911,0.4285714,0.6521739,0.5000000,0.0992832,0.0000000,1997-12-31
0.4629062,0.6108934,0.5153499,0.6129032,0.4485294,0.4484848,0.5000000,0.4873418,0.5324675,0.5652174,0.4886364,0.5792115,0.0000000,1998-01-31
0.4475782,0.6144749,0.5112867,0.5483871,0.5514706,0.5454545,0.6066667,0.5759494,0.5757576,0.4347826,0.3522727,0.4129032,0.0000000,1998-02-28
0.4782342,0.6273145,0.5486456,0.5806452,0.6323529,0.6242424,0.6466667,0.3291139,0.7142857,0.6521739,0.6250000,0.5476703,0.0000000,1998-03-31
0.6223176,0.6609677,0.5521445,0.5161290,0.8750000,0.8666667,0.8466667,0.8227848,0.9350649,0.3043478,0.1590909,0.8172043,0.0000000,1998-04-30
0.7142857,0.8012569,0.6595937,0.7096774,0.6911765,0.6969697,0.6933333,0.5506329,0.6580087,0.3478261,0.4431818,0.8014337,0.0000000,1998-05-31
0.6535868,0.5051358,0.3621896,0.3870968,0.6544118,0.6363636,0.6800000,0.4430380,0.6580087,0.2608696,0.3863636,0.3781362,0.0000000,1998-06-30
0.7572042,0.5343965,0.5138826,0.5806452,0.5514706,0.5272727,0.6066667,0.3227848,0.6709957,0.2608696,0.4090909,0.8157706,0.0000000,1998-07-31
0.1054568,0.7269226,0.5193002,0.5161290,0.4117647,0.4666667,0.4533333,0.4303797,0.5411255,0.7826087,0.4772727,0.5526882,0.2906860,1998-08-31
0.4506438,0.5567644,0.5670429,0.5483871,0.3676471,0.4363636,0.4133333,0.2531646,0.5021645,0.3043478,0.2500000,0.3781362,0.3337506,1998-09-30
0.7805028,0.5652791,0.4416479,0.4193548,0.3382353,0.4606061,0.3466667,0.3797468,0.4718615,0.1739130,0.3409091,0.6003584,0.0000000,1998-10-31
0.5045984,0.5365590,0.4864560,0.4838710,0.3235294,0.3393939,0.3800000,0.2341772,0.4632035,0.3043478,0.3863636,0.3605735,0.0000000,1998-11-30
0.5168608,0.6142046,0.5158014,0.5161290,0.2720588,0.3151515,0.3266667,0.3860759,0.4329004,0.3913043,0.3977273,0.3921147,0.0000000,1998-12-31
0.1992643,0.6222462,0.5202032,0.5483871,0.3382353,0.3212121,0.4533333,0.1962025,0.4891775,0.9130435,0.4318182,0.3189964,0.0000000,1999-01-31
0.4812998,0.6030545,0.5123025,0.6129032,0.6691176,0.6363636,0.7200000,0.4240506,0.7056277,0.4347826,0.4886364,0.5594982,0.0000000,1999-02-28
0.4371551,0.6263009,0.5227991,0.7419355,0.6470588,0.6121212,0.6800000,0.7215190,0.7878788,0.6086957,0.6363636,0.4767025,0.0000000,1999-03-31
0.5702023,0.6770510,0.5828442,0.5806452,0.7647059,0.7515152,0.7733333,0.4810127,0.6926407,0.3478261,0.3636364,0.7301075,0.0000000,1999-04-30
0.6167995,0.7016489,0.5145598,0.7419355,0.5882353,0.5939394,0.6133333,0.5696203,0.6969697,0.5217391,0.3977273,0.6516129,0.0000000,1999-05-31
0.7253219,0.5233140,0.5133183,0.2258065,0.7573529,0.7393939,0.7400000,0.5759494,0.7619048,0.3043478,0.4204545,0.8215054,0.0000000,1999-06-30
0.6854690,0.6568455,0.5081264,0.6451613,0.5882353,0.6121212,0.6200000,0.4683544,0.6017316,0.2608696,0.3409091,0.4200717,0.0000000,1999-07-31
0.0533415,0.6615083,0.5536117,0.6451613,0.3529412,0.3878788,0.4200000,0.3037975,0.4935065,0.7826087,0.5454545,0.3100358,0.0000000,1999-08-31
0.5830779,0.5671712,0.4655756,0.3870968,0.4558824,0.5151515,0.4666667,0.4367089,0.5584416,0.2608696,0.2386364,0.8537634,0.0000000,1999-09-30
0.4297977,0.7407082,0.5476298,0.7741935,0.3014706,0.3212121,0.4066667,0.2784810,0.4458874,0.4782609,0.4090909,0.2003584,0.0000000,1999-10-31
0.5278970,0.4190431,0.5034989,0.2580645,0.2941176,0.3272727,0.3333333,0.2974684,0.4155844,0.3478261,0.3750000,0.4516129,0.0000000,1999-11-30
0.6468424,0.6117043,0.4834086,0.4838710,0.0735294,0.2121212,0.1266667,0.0316456,0.2510823,0.0000000,0.3295455,0.6860215,0.0000000,1999-12-31
0.3494788,0.5638600,0.4888262,0.3548387,0.6617647,0.5636364,0.7533333,0.5822785,0.8095238,0.8260870,0.5454545,0.2021505,0.0000000,2000-01-31
0.4022072,0.6187323,0.5188488,0.7419355,0.3897059,0.4060606,0.4533333,0.4240506,0.5064935,0.5652174,0.7272727,0.4738351,0.0000000,2000-02-29
0.4592275,0.6371131,0.5330700,0.8387097,0.7500000,0.7333333,0.7466667,0.5569620,0.6709957,0.6521739,0.1022727,0.6068100,0.0000000,2000-03-31
0.5524218,0.6031896,0.5136569,0.3225806,0.8750000,0.8666667,0.8733333,0.7974684,1.0000000,0.3043478,0.3750000,0.7817204,0.0000000,2000-04-30
0.6879215,0.7280714,0.6039503,0.8387097,0.6617647,0.6606061,0.6733333,0.4556962,0.6017316,0.3043478,0.4659091,0.6874552,0.0000000,2000-05-31
0.6167995,0.5806866,0.4839729,0.3548387,0.6102941,0.6000000,0.6133333,0.3164557,0.6969697,0.3043478,0.4090909,0.6448029,0.0000000,2000-06-30
0.5867566,0.6272469,0.4943567,0.7419355,0.6029412,0.6060606,0.6200000,0.5379747,0.6406926,0.4347826,0.4204545,0.6107527,0.0000000,2000-07-31
0.2973636,0.5887282,0.5203160,0.4838710,0.4779412,0.4969697,0.5400000,0.4746835,0.6406926,0.6086957,0.5000000,0.4336918,0.0000000,2000-08-31
0.4512569,0.7451683,0.5525959,0.6129032,0.3235294,0.3696970,0.3800000,0.2974684,0.4891775,0.3913043,0.2954545,0.3910394,0.0000000,2000-09-30
0.5984059,0.4334370,0.4501129,0.3225806,0.3676471,0.4303030,0.4333333,0.1772152,0.4329004,0.4347826,0.3409091,0.5634409,0.0000000,2000-10-31
0.6627836,0.5771050,0.4985327,0.3548387,0.2279412,0.3333333,0.2266667,0.3607595,0.3939394,0.0434783,0.2840909,0.5627240,0.0000000,2000-11-30
0.4714899,0.6117719,0.5156885,0.4193548,0.4338235,0.4424242,0.5200000,0.2848101,0.5497835,0.4347826,0.4204545,0.3139785,0.0000000,2000-12-31
0.2581239,0.6209623,0.5198646,0.9032258,0.3897059,0.3515152,0.4866667,0.4367089,0.5714286,0.8064516,0.5340909,0.3544803,0.8770053,2001-01-31
0.4598406,0.6240032,0.5232506,0.6129032,0.4411765,0.4121212,0.5066667,0.2974684,0.6406926,0.4963434,0.4431818,0.5071685,1.0000000,2001-02-28
0.4739424,0.6652926,0.5383747,0.6774194,0.7573529,0.7333333,0.7733333,0.6645570,0.6623377,0.5807954,0.5340909,0.5863799,0.7272727,2001-03-31
0.4917229,0.5667658,0.4974041,0.4838710,0.7279412,0.7333333,0.7333333,0.6898734,0.6839827,0.4613371,0.4431818,0.6032258,0.8449198,2001-04-30
0.7835684,0.8851872,0.6257336,0.5483871,0.7058824,0.7393939,0.6800000,0.5759494,0.8744589,0.1754091,0.2954545,0.8390681,0.7219251,2001-05-31
0.4794605,0.4274902,0.4458239,0.5483871,0.6764706,0.6666667,0.6933333,0.4936709,0.6147186,0.4753156,0.3181818,0.5652330,0.6310160,2001-06-30
0.6315144,0.7319908,0.5582393,0.5483871,0.5661765,0.5393939,0.5866667,0.3924051,0.6493506,0.3633941,0.4886364,0.5512545,0.6524064,2001-07-31
0.2961373,0.6621841,0.5227991,0.6129032,0.4338235,0.4484848,0.5333333,0.3481013,0.6190476,0.5666199,0.4886364,0.5258065,0.9144385,2001-08-31
0.5107296,0.5021625,0.5420993,0.3548387,0.4264706,0.5030303,0.4466667,0.4050633,0.5454545,0.3859280,0.2954545,0.5777778,0.6203209,2001-09-30
0.5518087,0.6521152,0.5253950,0.7419355,0.3750000,0.4060606,0.4266667,0.2658228,0.5021645,0.4990650,0.4545455,0.3150538,0.5935829,2001-10-31
0.6382587,0.4485741,0.4212190,0.1612903,0.1470588,0.3030303,0.1600000,0.3734177,0.2597403,0.0110799,0.2613636,0.7971326,0.7112299,2001-11-30
0.2801962,0.6121097,0.4945824,0.7419355,0.2573529,0.2060606,0.3866667,0.2278481,0.4329004,0.7098177,0.3636364,0.0931900,0.7112299,2001-12-31
0.5137952,0.5878497,0.5118510,0.3870968,0.4926471,0.5393939,0.5333333,0.3164557,0.6147186,0.3997195,0.4545455,0.6111111,0.0000000,2002-01-31
0.3825874,0.6177862,0.5146727,0.9032258,0.6397059,0.5212121,0.7333333,0.3544304,0.7056277,0.7566119,0.5795455,0.2795699,0.0000000,2002-02-28
0.6063765,0.6116367,0.5158014,0.4193548,0.7205882,0.7212121,0.7266667,0.5316456,0.7359307,0.3289421,0.3295455,0.5627240,0.0000000,2002-03-31
