Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.5313636,0.3511771,0.3648521,0.3157895,0.4917492,0.4151515,0.5451807,0.5202156,0.6905941,0.4600000,0.6382979,0.4388031,0.0000000,1997-02-28
0.3940909,0.5999054,0.6406545,1.0000000,0.7359736,0.6545455,0.7560241,0.5579515,0.6831683,0.6600000,0.4148936,0.5424710,0.0000000,1997-03-31
0.7172727,0.4468828,0.4614537,0.3684211,0.7755776,0.8272727,0.7138554,0.7169811,0.6881188,0.2400000,0.5638298,0.9615830,0.0000000,1997-04-30
0.5827273,0.3430143,0.4362807,0.2368421,0.7392739,0.7151515,0.7078313,0.6981132,0.7252475,0.1800000,0.2765957,0.8403475,0.0000000,1997-05-31
0.7477273,0.5473796,0.6191001,0.6973684,0.5973597,0.5636364,0.6174699,0.6064690,0.6237624,0.3800000,0.4361702,0.4359073,0.0000000,1997-06-30
0.2081818,0.8337868,0.5505035,0.6973684,0.4488449,0.3545455,0.5451807,0.2884097,0.6188119,0.6600000,0.6063830,0.2777992,0.0000000,1997-07-31
0.6768182,0.0793210,0.2831970,0.2894737,0.5445545,0.5848485,0.5180723,0.6226415,0.5074257,0.2800000,0.1914894,0.8471042,0.0000000,1997-08-31
0.4481818,0.2023542,0.4024544,0.4078947,0.3366337,0.2757576,0.4036145,0.3692722,0.2450495,0.3600000,0.5106383,0.4125483,0.0000000,1997-09-30
0.6104545,0.4129895,0.4968534,0.4078947,0.5148515,0.5060606,0.5331325,0.4177898,0.5272277,0.3000000,0.2659574,0.7359073,0.0000000,1997-10-31
0.6013636,0.3052762,0.3654814,0.3552632,0.3102310,0.3121212,0.3313253,0.5309973,0.3663366,0.1600000,0.4148936,0.4395753,0.0000000,1997-11-30
0.4236364,0.4409677,0.5015733,0.5789474,0.2640264,0.1242424,0.3855422,0.1805930,0.5024752,0.4800000,0.5000000,0.2001931,0.0000000,1997-12-31
