Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.3784946,0.5477787,0.4924111,0.5116279,0.9782609,0.7959184,1.0000000,0.4851485,0.7425743,0.6428571,0.5714286,0.2718644,0.5228194,1997-02-28
0.5892473,0.5192791,0.4924111,0.5116279,0.6521739,0.7142857,0.4782609,0.5940594,0.4059406,0.2857143,0.2857143,0.7952542,0.5346789,1997-03-31
0.3408602,0.5664990,0.5807877,0.5581395,0.8478261,0.8163265,0.7173913,0.5247525,0.8019802,0.3571429,0.5306122,0.3888136,0.5384739,1997-04-30
0.2645161,0.6816150,0.4587896,0.6511628,0.6521739,0.6122449,0.5869565,0.4851485,0.5940594,0.7857143,0.4693878,0.3979661,0.5340464,1997-05-31
0.4741935,0.4400671,0.5450528,0.7209302,0.5000000,0.4489796,0.3913043,0.2970297,0.4356436,0.5714286,0.6530612,0.5250847,0.5517566,1997-06-30
0.2930108,0.7803856,0.4439962,0.5813953,0.2608696,0.2040816,0.2826087,0.3168317,0.5346535,0.7857143,0.6122449,0.2891525,0.5620348,1997-07-31
0.4586022,0.4786253,0.5229587,0.4883721,0.6304348,0.5510204,0.5434783,0.3663366,0.5742574,0.3571429,0.4693878,0.5800000,0.5470128,1997-08-31
0.3575269,0.6564683,0.5191162,0.5813953,0.6086957,0.6122449,0.4347826,0.3564356,0.5544554,0.4285714,0.4693878,0.4827119,0.5432177,1997-09-30
0.3575269,0.7285555,0.4286263,0.4186047,0.4782609,0.4285714,0.3913043,0.3960396,0.5148515,0.4285714,0.5918367,0.6172881,0.5379996,1997-10-31
0.4322581,0.1754680,0.4770413,0.4186047,0.5652174,0.5918367,0.3695652,0.4158416,0.4356436,0.4285714,0.4285714,0.5976271,0.5443246,1997-11-30
0.4978495,0.3176865,0.5141210,0.4418605,0.5217391,0.6122449,0.3478261,0.3465347,0.5346535,0.4285714,0.3469388,0.6315254,0.5308839,1997-12-31
0.4370968,0.5099190,0.4336215,0.2558140,0.5869565,0.5918367,0.4565217,0.5049505,0.4653465,0.5000000,0.4081633,0.5891525,0.5288428,1998-01-31
0.3564516,0.5335289,0.4924111,0.5116279,0.6086957,0.5102041,0.5652174,0.3663366,0.6435644,0.5000000,0.6326531,0.3847458,0.5187885,1998-02-28
0.6204301,0.5335289,0.4924111,0.5116279,0.8695652,0.9591837,0.6739130,0.6237624,0.4950495,0.1428571,0.2857143,0.7054237,0.5362703,1998-03-31
0.3424731,0.5994691,0.6305476,1.0000000,0.7608696,0.8775510,0.6739130,0.4950495,0.7425743,0.7857143,0.5306122,0.3633898,0.5438300,1998-04-30
0.0838710,0.5884325,0.5125841,0.3953488,0.7173913,0.5306122,0.6739130,0.4356436,0.5841584,0.5000000,0.5714286,0.0667797,0.5402076,1998-05-31
0.5112903,0.6955854,0.3777137,0.6279070,0.2826087,0.2653061,0.2391304,0.3564356,0.4554455,0.9285714,0.5918367,0.7084746,0.5600519,1998-06-30
0.3526882,0.6211232,0.5010567,0.4651163,0.4565217,0.4489796,0.3478261,0.3069307,0.5940594,0.4285714,0.4897959,0.5905085,0.6411612,1998-07-31
0.3096774,0.4441185,0.5254563,0.4651163,0.3695652,0.3877551,0.2826087,0.3069307,0.4158416,0.5000000,0.4897959,0.4433898,0.6307666,1998-08-31
0.3956989,0.6229394,0.4758886,0.6279070,0.5217391,0.4489796,0.4565217,0.5049505,0.6138614,0.6428571,0.5510204,0.2925424,0.5254032,1998-09-30
0.3306452,0.3739871,0.5830932,0.4186047,0.5434783,0.2653061,0.4782609,0.2178218,0.4653465,0.4285714,0.6122449,0.4071186,0.4857148,1998-10-31
0.3720430,0.4487287,0.3940442,0.6279070,0.4347826,0.4693878,0.3260870,0.3663366,0.4653465,0.4285714,0.4897959,0.6135593,0.4929595,1998-11-30
0.4193548,0.5034926,0.4585975,0.2325581,0.3478261,0.4081633,0.1521739,0.3366337,0.1683168,0.5000000,0.3265306,0.5515254,0.4677605,1998-12-31
0.5198925,0.4626991,0.4801153,0.3023256,0.7608696,0.8367347,0.5869565,0.4950495,0.5643564,0.4285714,0.2040816,0.6250847,0.5067145,1999-01-31
0.4338710,0.5177424,0.4774256,0.4651163,0.5652174,0.6122449,0.4347826,0.3267327,0.6138614,0.3571429,0.6734694,0.5989831,0.5259431,1999-02-28
0.4720430,0.5382788,0.5316042,0.5581395,0.9347826,0.9795918,0.7826087,0.6435644,0.8415842,0.3571429,0.3673469,0.6905085,0.5367535,1999-03-31
0.2284946,1.0000000,0.5694524,0.6976744,0.4347826,0.3673469,0.4130435,0.3762376,0.5049505,0.8571429,0.6326531,0.1505085,0.5416103,1999-04-30
0.5360215,0.1546521,0.4099904,0.6744186,0.6086957,0.4693878,0.5434783,0.3663366,0.5940594,0.5000000,0.5510204,0.5535593,0.5358134,1999-05-31
0.2645161,0.6877619,0.5317963,0.5116279,0.4782609,0.4693878,0.4130435,0.3366337,0.4257426,0.6428571,0.5714286,0.4779661,0.5419236,1999-06-30
0.4069892,0.4976250,0.4895293,0.4418605,0.5000000,0.4693878,0.3913043,0.4059406,0.5742574,0.5714286,0.4489796,0.4779661,0.5494438,1999-07-31
0.4473118,0.4618609,0.5681076,0.6046512,0.6739130,0.7346939,0.5434783,0.4653465,0.6237624,0.3571429,0.3877551,0.5806780,0.5402002,1999-08-31
0.3403226,0.8351495,0.4113353,0.4883721,0.5869565,0.5102041,0.4565217,0.3762376,0.4851485,0.2857143,0.6734694,0.5162712,0.5453704,1999-09-30
0.3268817,0.4083543,0.5848223,0.6976744,0.3913043,0.3061224,0.3043478,0.3168317,0.5247525,0.7142857,0.3673469,0.4200000,0.5505405,1999-10-31
0.3983871,0.4343392,0.4493756,0.1395349,0.5000000,0.5714286,0.3695652,0.4158416,0.3960396,0.2857143,0.5102041,0.5735593,0.5278232,1999-11-30
0.4387097,0.3756636,0.4699328,0.5116279,0.2173913,0.1632653,0.0434783,0.2376238,0.0000000,0.0000000,0.5306122,0.4474576,0.5304866,1999-12-31
0.4801075,0.4821179,0.4034582,0.3488372,0.8478261,0.9183673,0.7608696,0.5148515,0.9108911,0.8571429,0.3877551,0.7545763,0.5265480,2000-01-31
0.4107527,0.5170439,0.4895293,0.4651163,0.6521739,0.6734694,0.4782609,0.4752475,0.5247525,0.5714286,0.4081633,0.4616949,0.5381655,2000-02-29
0.5048387,0.5688740,0.5210375,0.6046512,0.8043478,0.8775510,0.6739130,0.5841584,0.8415842,0.4285714,0.3061224,0.5450847,0.5394149,2000-03-31
0.2989247,0.6229394,0.5371758,0.5581395,0.7173913,0.6938776,0.6304348,0.4653465,0.6237624,0.5000000,0.5714286,0.5440678,0.5417575,2000-04-30
0.4381720,0.5424700,0.5619597,0.6976744,0.5000000,0.4285714,0.4565217,0.3663366,0.4653465,0.8571429,0.6938776,0.3322034,0.5542516,2000-05-31
0.3236559,0.6088293,0.4918348,0.7209302,0.4347826,0.3265306,0.3260870,0.3465347,0.4950495,0.5714286,0.4693878,0.4850847,0.5490978,2000-06-30
0.3903226,0.6126013,0.4086455,0.3720930,0.4782609,0.5306122,0.3478261,0.3267327,0.5148515,0.2142857,0.6122449,0.5220339,0.5650278,2000-07-31
0.4311828,0.6262923,0.5460134,0.6511628,0.6521739,0.5306122,0.5869565,0.5643564,0.5742574,0.5000000,0.3673469,0.4505085,0.5572190,2000-08-31
0.3537634,0.3393406,0.5070125,0.2790698,0.5434783,0.6122449,0.4782609,0.2277228,0.5247525,0.4285714,0.5102041,0.5637288,0.5166132,2000-09-30
0.2537634,0.8481419,0.4635927,0.6279070,0.3913043,0.2653061,0.3695652,0.3069307,0.5346535,0.8571429,0.5714286,0.3047458,0.5430069,2000-10-31
0.4478495,0.2643196,0.4453410,0.2325581,0.5652174,0.6530612,0.2391304,0.4455446,0.3564356,0.0000000,0.3061224,0.7145763,0.5178626,2000-11-30
0.4010753,0.4914781,0.4674352,0.4883721,0.5217391,0.4489796,0.4565217,0.3663366,0.5247525,0.6428571,0.5306122,0.4498305,0.5272332,2000-12-31
0.6704301,0.3457670,0.4703170,0.4418605,0.5652174,0.6122449,0.4347826,0.4950495,0.5445545,0.5000000,0.5510204,0.6728814,1.0000000,2001-01-31
0.4951613,0.5312937,0.4885687,0.4651163,0.5869565,0.7346939,0.3478261,1.0000000,0.3168317,0.5000000,0.4489796,0.4555932,0.5294578,2001-02-28
0.4215054,0.5651020,0.5212296,0.6046512,0.8478261,0.7551020,0.8260870,0.0000000,0.8514851,0.4285714,0.4897959,0.5735593,0.6048946,2001-03-31
0.2774194,0.5771165,0.5365994,0.5581395,0.8913043,0.9387755,0.7173913,0.5346535,0.7425743,0.5000000,0.3673469,0.6430508,0.5664763,2001-04-30
0.3118280,0.6976809,0.5039385,0.6744186,0.4130435,0.2653061,0.3695652,0.3465347,0.4356436,0.7857143,0.5306122,0.3667797,0.4785963,2001-05-31
0.3376344,0.8700754,0.5500480,0.7441860,0.2826087,0.3265306,0.2608696,0.2970297,0.4554455,0.5714286,0.6530612,0.2901695,0.5672540,2001-06-30
0.5010753,0.1654093,0.4097983,0.3720930,0.5652174,0.5510204,0.4565217,0.3762376,0.5148515,0.4285714,0.4489796,0.7149153,0.5968066,2001-07-31
0.3064516,0.6981000,0.5442843,0.6511628,0.5217391,0.4285714,0.4347826,0.3960396,0.6138614,0.6428571,0.4897959,0.3003390,0.4930615,2001-08-31
0.3946237,0.4281922,0.5077810,0.2790698,0.6956522,0.6734694,0.5652174,0.3168317,0.4851485,0.2142857,0.5510204,0.6481356,0.4936836,2001-09-30
0.3473118,0.5537860,0.4635927,0.6279070,0.4565217,0.4081633,0.3913043,0.3960396,0.6237624,0.7142857,0.4897959,0.4172881,0.5666318,2001-10-31
