Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.6114519,0.4706852,0.4989510,0.5000000,0.9750000,0.7954545,0.9400000,0.7627119,0.8076923,0.7777778,0.6666667,0.3690566,0.1065891,1997-02-28
0.8558282,0.4657421,0.4870629,0.4000000,0.6000000,0.7272727,0.4200000,0.8813559,0.3846154,0.5000000,0.5757576,0.9211321,0.0891473,1997-03-31
0.4171779,0.5722916,0.7513986,0.5250000,0.8500000,0.7727273,0.7600000,0.4915254,0.7211538,0.3888889,0.3939394,0.4773585,0.1671512,1997-04-30
0.7515337,0.5389263,0.3531469,0.6750000,0.5250000,0.4772727,0.5600000,0.6101695,0.5865385,0.6666667,0.7878788,0.4845283,0.0741279,1997-05-31
0.2014315,0.4956749,0.5164336,0.5250000,0.3750000,0.2954545,0.3600000,0.2881356,0.4615385,0.6666667,0.8787879,0.6094340,0.3842054,1997-06-30
0.4539877,0.6824111,0.4954545,0.6750000,0.2250000,0.1818182,0.3800000,0.4237288,0.5384615,0.8888889,0.6969697,0.2686792,0.0000000,1997-07-31
0.6676892,0.5396128,0.5919580,0.4000000,0.5500000,0.5000000,0.5000000,0.4406780,0.5480769,0.3333333,0.6060606,0.7033962,1.0000000,1997-08-31
0.4887526,0.2071948,0.3849650,0.3750000,0.6000000,0.6136364,0.5600000,0.6271186,0.6826923,0.4444444,0.5151515,0.5569811,0.9597868,1997-09-30
0.5971370,0.6309213,0.5083916,0.5250000,0.5000000,0.4318182,0.4400000,0.3050847,0.4807692,0.6111111,0.6363636,0.7237736,0.8425388,1997-10-31
0.7699387,0.5341206,0.7720280,0.1250000,0.4500000,0.3636364,0.4600000,0.4576271,0.5384615,0.5000000,0.5454545,0.7581132,0.4874031,1997-11-30
0.9069530,0.0174379,0.0751748,0.2500000,0.4500000,0.5000000,0.3800000,0.4576271,0.4423077,0.4444444,0.2121212,0.7652830,0.3556202,1997-12-31
0.6912065,0.4635452,0.4811189,0.4250000,0.5000000,0.5909091,0.4200000,0.7966102,0.4807692,0.6666667,0.6666667,0.7135849,0.1306289,1998-01-31
0.3404908,0.4682136,0.4930070,0.4500000,0.5000000,0.5454545,0.4400000,0.4745763,0.5673077,0.6666667,0.7575758,0.4792453,0.0547489,1998-02-28
0.8834356,0.4682136,0.4930070,0.4500000,0.8000000,0.8409091,0.6800000,0.7966102,0.5480769,0.1666667,0.3939394,0.7762264,0.0446636,1998-03-31
0.3466258,0.4867500,0.5174825,0.5250000,0.7500000,0.5909091,0.7000000,0.5084746,0.7884615,0.6666667,0.8181818,0.3954717,0.0633934,1998-04-30
0.5654397,0.5011671,0.5108392,0.6000000,0.6750000,0.6590909,0.6800000,0.6271186,0.5961538,0.7777778,0.5151515,0.5154717,0.0854851,1998-05-31
0.2382413,0.6081285,0.5741259,0.6750000,0.0750000,0.0909091,0.2200000,0.2542373,0.4711538,0.6666667,0.8181818,0.3920755,0.2156337,1998-06-30
0.5184049,0.5794316,0.4751748,0.5250000,0.4000000,0.3636364,0.3800000,0.2542373,0.5096154,0.5555556,0.7878788,0.7415094,0.3433811,1998-07-31
0.5838446,0.4905945,0.6758741,0.4500000,0.4500000,0.3863636,0.4800000,0.5254237,0.5480769,0.5000000,0.5757576,0.5849057,0.4692074,1998-08-31
0.4989775,0.4621722,0.4269231,0.4750000,0.3750000,0.2954545,0.4400000,0.4576271,0.5576923,0.6666667,0.6363636,0.3203774,0.2362846,1998-09-30
0.6145194,0.6567349,0.6881119,0.3250000,0.5250000,0.3181818,0.5000000,0.3050847,0.5192308,0.6111111,0.5454545,0.5245283,0.1709702,1998-10-31
0.6114519,0.0965262,0.1702797,0.4000000,0.4250000,0.3863636,0.4000000,0.3898305,0.4807692,0.3888889,0.6666667,0.6766038,0.2247585,1998-11-30
0.6032720,0.5460662,0.6807692,0.3000000,0.2500000,0.2727273,0.2600000,0.4406780,0.1730769,0.5000000,0.4545455,0.6350943,0.2444489,1998-12-31
