Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.4468354,0.3689506,0.4129412,0.3584906,0.4711864,0.3850746,0.5345912,0.5125348,0.6649746,0.3846154,0.5148515,0.3552274,0.5913462,1997-02-28
0.5069620,0.6277637,0.5312745,0.9433962,0.7322034,0.6626866,0.7672956,0.5459610,0.6954315,0.7435897,0.5940594,0.4115818,0.5913462,1997-03-31
0.8848101,0.4995551,0.4870588,0.2075472,0.7559322,0.7880597,0.6855346,0.6183844,0.6345178,0.1538462,0.3861386,1.0000000,0.5913462,1997-04-30
0.4183544,0.3729893,0.4967647,0.2264151,0.7288136,0.6955224,0.7138365,0.6685237,0.6852792,0.2051282,0.2079208,0.6793626,0.5913462,1997-05-31
0.8917722,0.4753234,0.4064706,0.7358491,0.5457627,0.5194030,0.5943396,0.5626741,0.6370558,0.6153846,0.4455446,0.3218033,0.5913462,1997-06-30
0.0031646,0.7643918,0.4903922,0.9433962,0.4067797,0.3134328,0.5062893,0.2757660,0.6167513,0.7948718,0.7227723,0.0998834,0.5913462,1997-07-31
0.7291139,0.3046752,0.4726471,0.1698113,0.5254237,0.5761194,0.5157233,0.5905292,0.5025381,0.2564103,0.2079208,0.8262728,0.5913462,1997-08-31
0.3683544,0.2673694,0.4124510,0.3962264,0.3016949,0.2507463,0.3899371,0.3064067,0.2512690,0.4615385,0.4257426,0.2934318,0.5913462,1997-09-30
0.6670886,0.4324731,0.5160784,0.3396226,0.4983051,0.4776119,0.5345912,0.3899721,0.5380711,0.3589744,0.3663366,0.6921881,0.5913462,1997-10-31
0.5310127,0.2355397,0.3419608,0.2452830,0.2474576,0.2895522,0.2767296,0.4623955,0.3172589,0.2307692,0.3069307,0.2580645,0.5913462,1997-11-30
0.3113924,0.4964748,0.4983333,0.8301887,0.2440678,0.1014925,0.3773585,0.1949861,0.4314721,0.4615385,0.4653465,0.0765643,0.5913462,1997-12-31
0.5050633,0.3992060,0.4294118,0.4150943,0.4067797,0.4029851,0.4308176,0.4707521,0.4162437,0.4102564,0.4950495,0.5305091,0.5913462,1998-01-31
0.6000000,0.4441782,0.4633333,0.3584906,0.5966102,0.5820896,0.6006289,0.5571031,0.5786802,0.3589744,0.6633663,0.5021376,0.5913462,1998-02-28
0.4835443,0.5250873,0.5114706,0.6981132,0.6237288,0.5462687,0.6729560,0.5626741,0.6243655,0.6153846,0.2574257,0.3630004,0.5913462,1998-03-31
0.8006329,0.5902526,0.5606863,0.4716981,0.8169492,0.8059701,0.7830189,0.6824513,0.8375635,0.4615385,0.3465347,0.8056743,0.5913462,1998-04-30
0.6506329,0.6049695,0.5391176,0.6226415,0.6271186,0.5910448,0.6352201,0.4791086,0.6015228,0.3589744,0.5643564,0.5553828,0.5913462,1998-05-31
0.2544304,0.3441714,0.3342157,0.5283019,0.5762712,0.5104478,0.6320755,0.3760446,0.7208122,0.6153846,0.5742574,0.4349009,0.5913462,1998-06-30
0.6037975,0.4766924,0.4779412,0.5660377,0.4983051,0.4567164,0.5157233,0.5208914,0.5482234,0.4102564,0.4257426,0.5666537,0.5913462,1998-07-31
0.5689873,0.3681977,0.5018627,0.2830189,0.4644068,0.5074627,0.4937107,0.4094708,0.4847716,0.4615385,0.4554455,0.6976292,0.5913462,1998-08-31
0.4772152,0.3173386,0.3944118,0.2830189,0.3762712,0.3880597,0.4088050,0.3760446,0.2309645,0.3589744,0.0099010,0.3420132,0.5913462,1998-09-30
0.5930380,0.3577247,0.4163725,0.3773585,0.3016949,0.3164179,0.3396226,0.3788301,0.4593909,0.3333333,0.4059406,0.4430626,0.5913462,1998-10-31
0.3639241,0.4433568,0.4748039,0.4905660,0.2610169,0.2597015,0.3176101,0.2311978,0.3857868,0.4358974,0.4752475,0.2848815,0.5913462,1998-11-30
0.4613924,0.4068040,0.4180392,0.5094340,0.3355932,0.2835821,0.3836478,0.5710306,0.3832487,0.3589744,0.5940594,0.4143024,0.5913462,1998-12-31
0.3778481,0.4545828,0.4589216,0.5283019,0.3762712,0.2716418,0.4842767,0.2339833,0.5152284,0.4358974,0.3960396,0.2226972,0.5913462,1999-01-31
0.5949367,0.4261756,0.4510784,0.5849057,0.6101695,0.5492537,0.6383648,0.5766017,0.5177665,0.3589744,0.3762376,0.4500583,0.5913462,1999-02-28
0.6537975,0.4701212,0.4948039,0.3962264,0.6644068,0.6119403,0.6949686,0.6155989,0.8172589,0.4871795,0.6831683,0.4465604,0.5913462,1999-03-31
