Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.3521689,0.6079013,0.5806572,0.6363636,1.0000000,0.6862745,1.0000000,0.6229508,0.8106061,0.6666667,0.5312500,0.3095238,0.4622386,1997-02-28
0.7134703,0.5398890,0.4645258,0.3409091,0.7111111,0.7843137,0.4838710,0.9016393,0.5530303,0.2666667,0.3593750,0.8595238,0.4635161,1997-03-31
0.5194064,0.7127415,0.7091113,0.7045455,0.7111111,0.4705882,0.7580645,0.4426230,0.7196970,0.6000000,0.6093750,0.3952381,0.4733099,1997-04-30
0.0627854,0.7313947,0.7106049,0.6590909,0.5111111,0.4313725,0.5483871,0.5409836,0.5151515,0.6666667,0.4843750,0.6204082,0.4733099,1997-05-31
0.4783105,0.3851157,0.2218073,0.5454545,0.5333333,0.3725490,0.5161290,0.4590164,0.5757576,0.6000000,0.4843750,0.6027211,0.4848071,1997-06-30
0.4052511,0.6840444,0.6120239,0.6136364,0.2444444,0.1372549,0.3870968,0.2786885,0.5075758,0.4666667,0.5000000,0.3278912,0.4745874,1997-07-31
0.4954338,0.5477329,0.5134429,0.5000000,0.6888889,0.5490196,0.5806452,0.5737705,0.5909091,0.4666667,0.4687500,0.6122449,0.5018399,1997-08-31
0.4286530,0.5467764,0.5377147,0.3863636,0.4444444,0.4509804,0.4516129,0.6065574,0.4621212,0.4000000,0.3906250,0.5738095,0.5031173,1997-09-30
0.4543379,0.8238952,0.5780433,0.6136364,0.5777778,0.5686275,0.4516129,0.3606557,0.5757576,0.7333333,0.4843750,0.7227891,0.3949590,1997-10-31
0.5547945,0.2186723,0.3517550,0.1818182,0.4666667,0.4313725,0.4354839,0.4918033,0.4318182,0.1333333,0.3750000,0.4795918,0.5674162,1997-11-30
0.7985160,0.5151138,0.4705004,0.2954545,0.4444444,0.5882353,0.2580645,0.6885246,0.4545455,0.4000000,0.2968750,0.7850340,0.4545738,1997-12-31
0.4463470,0.5739430,0.5227782,0.5000000,0.6000000,0.6862745,0.5161290,0.7540984,0.4621212,0.3333333,0.3750000,0.5197279,0.4684597,1998-01-31
0.4018265,0.5739430,0.5227782,0.5000000,0.7555556,0.5686275,0.6774194,0.4918033,0.6969697,0.4000000,0.5625000,0.4608844,0.4372948,1998-02-28
0.8087900,0.5739430,0.5227782,0.5000000,0.8222222,0.8823529,0.6290323,0.9344262,0.5909091,0.5333333,0.2968750,0.8000000,0.4766965,1998-03-31
0.3932648,0.6911230,0.7946229,0.6363636,0.7333333,0.2352941,0.7258065,0.6065574,0.5909091,0.3333333,0.5312500,0.3928571,0.4754390,1998-04-30
0.0000000,0.5313756,0.4563107,0.5454545,0.4888889,0.5686275,0.6129032,0.2786885,0.6893939,0.6666667,0.5781250,0.5904762,0.4959782,1998-05-31
0.4948630,0.7946241,0.6911875,0.7045455,0.1777778,0.2156863,0.2741935,0.5409836,0.3712121,0.6666667,0.6406250,0.4928571,0.4955591,1998-06-30
0.4446347,0.4073082,0.2542942,0.5000000,0.6222222,0.3725490,0.5967742,0.4754098,0.6666667,0.6666667,0.4218750,0.6778912,0.4896907,1998-07-31
0.3847032,0.6525732,0.5754294,0.5454545,0.3555556,0.2549020,0.4193548,0.1475410,0.4696970,0.5333333,0.5312500,0.4884354,0.5798117,1998-08-31
0.4092466,0.7907021,0.5937267,0.5909091,0.3777778,0.3137255,0.4677419,0.4590164,0.4924242,0.4666667,0.4375000,0.3489796,0.8158029,1998-09-30
0.4731735,0.3363306,0.5112024,0.3863636,0.3555556,0.3921569,0.3709677,0.3442623,0.5378788,0.6000000,0.4843750,0.5952381,0.3211854,1998-10-31
0.4663242,0.7993113,1.0000000,0.4545455,0.3777778,0.1960784,0.3225806,0.4426230,0.3863636,0.0000000,0.3906250,0.4649660,0.4754390,1998-11-30
0.6141553,0.2765449,0.0000000,0.3636364,0.4222222,0.4117647,0.3064516,0.5573770,0.2348485,0.3333333,0.4531250,0.6520408,0.2532803,1998-12-31
0.6250000,0.5204706,0.4484690,0.4090909,0.6444444,0.8039216,0.5161290,0.7377049,0.5757576,0.3763441,0.3281250,0.6493197,0.3567570,1999-01-31
0.5216895,0.5223838,0.4484690,0.4545455,0.7111111,0.6862745,0.5806452,0.6229508,0.7348485,0.4498464,0.4062500,0.6938776,0.4523124,1999-02-28
0.5593607,0.5906830,0.5989544,0.4545455,0.9333333,0.9019608,0.8548387,0.7213115,0.7272727,0.6576805,0.5468750,0.7261905,0.4841115,1999-03-31
0.1369863,0.9055864,0.7625093,1.0000000,0.3555556,0.0784314,0.5483871,0.3606557,0.6212121,0.3005735,0.5625000,0.3200680,0.4845245,1999-04-30
0.5970320,0.4520758,0.5899925,0.5000000,0.5333333,0.4117647,0.5483871,0.3606557,0.5530303,0.4349104,0.4843750,0.6292517,0.4775039,1999-05-31
0.3150685,0.4515975,0.2464526,0.4090909,0.4444444,0.3529412,0.4032258,0.5573770,0.4772727,0.8384229,0.4531250,0.4884354,0.4684184,1999-06-30
0.4560502,0.6829922,0.6034354,0.6136364,0.4888889,0.4509804,0.5000000,0.4590164,0.5681818,0.3830824,0.5000000,0.5564626,0.4613979,1999-07-31
0.4691781,0.5388368,0.5123226,0.4090909,0.5777778,0.4509804,0.4838710,0.5409836,0.4469697,0.5720430,0.4218750,0.5472789,0.4750260,1999-08-31
0.4543379,0.6162235,0.4286781,0.5227273,0.5555556,0.5490196,0.5322581,0.4918033,0.5984848,0.4315412,0.4843750,0.6551020,0.4758520,1999-09-30
0.4423516,0.5064090,0.5608663,0.5681818,0.3777778,0.3137255,0.4032258,0.4754098,0.4545455,0.5921147,0.4687500,0.5374150,0.4729612,1999-10-31
0.5342466,0.5262101,0.5265123,0.2954545,0.4888889,0.4313725,0.4193548,0.6229508,0.5000000,0.3567742,0.4062500,0.4768707,0.4725482,1999-11-30
0.7243151,0.5358714,0.5526512,0.2272727,0.1111111,0.2156863,0.0645161,0.3114754,0.0000000,0.2883871,0.3281250,0.6272109,0.4779169,1999-12-31
0.4885845,0.5657165,0.4910381,0.5000000,1.0000000,0.9607843,0.7903226,0.7213115,1.0000000,0.2236559,0.5000000,0.7000000,0.4729290,2000-01-31
0.4246575,0.5395064,0.4312920,0.5454545,0.5555556,0.5490196,0.5000000,0.4918033,0.4015152,0.5160522,0.4687500,0.5193878,0.4766587,2000-02-29
0.4960046,0.5664817,0.5029873,0.5227273,0.7777778,0.6470588,0.7741935,0.9344262,0.9015152,0.5033026,0.4375000,0.5904762,0.4811307,2000-03-31
0.4429224,0.6426248,0.7524272,0.5227273,0.6888889,0.6666667,0.6451613,0.4590164,0.5681818,0.3308244,0.4843750,0.5656463,0.4803176,2000-04-30
0.3253425,0.6162235,0.3868559,0.7272727,0.4222222,0.2156863,0.4838710,0.4754098,0.5000000,0.8476703,0.5468750,0.5353741,0.4941403,2000-05-31
0.4674658,1.0000000,0.9499627,0.5909091,0.3555556,0.1960784,0.4193548,0.1967213,0.4924242,0.3589964,0.5312500,0.4850340,0.4693408,2000-06-30
0.3675799,0.3102162,0.1389096,0.5000000,0.4888889,0.3529412,0.4516129,0.4754098,0.4621212,0.6539068,0.4687500,0.5272109,0.4900748,2000-07-31
0.4691781,0.5090874,0.5246453,0.4772727,0.5333333,0.3921569,0.5645161,0.6229508,0.6439394,0.5333333,0.3906250,0.4588435,0.4856028,2000-08-31
0.4863014,0.5018175,0.4970127,0.4772727,0.5333333,0.6274510,0.4354839,0.3770492,0.4924242,0.5083154,0.5156250,0.7119048,0.4526723,2000-09-30
0.3538813,0.8608188,0.6482450,0.5909091,0.3777778,0.1960784,0.4838710,0.4918033,0.5151515,0.4379211,0.3750000,0.4122449,0.4624294,2000-10-31
0.6689498,0.2740578,0.4548170,0.2045455,0.5333333,0.7254902,0.3387097,0.6393443,0.3333333,0.2087455,0.3593750,0.8503401,0.4746259,2000-11-30
0.5000000,0.5847522,0.6777446,0.5000000,0.5333333,0.4117647,0.4677419,0.4918033,0.4621212,0.2665233,0.4531250,0.5278912,0.4729997,2000-12-31
0.4920091,0.4845035,0.2576550,0.3181818,0.5777778,0.5490196,0.4838710,0.6393443,0.6893939,0.4258065,0.4531250,0.6391156,1.0000000,2001-01-31
0.5724886,0.5029654,0.4275579,0.4318182,0.6222222,0.7058824,0.4677419,0.5737705,0.4696970,0.5928810,0.3750000,0.5938776,0.4208807,2001-02-28
0.4942922,0.6853836,0.6971621,0.7272727,0.7111111,0.6862745,0.7258065,0.7704918,0.6893939,0.5447534,0.3906250,0.5551020,0.5239799,2001-03-31
0.3413242,0.7425866,0.7486931,0.5681818,0.7555556,0.5098039,0.6774194,0.5245902,0.6136364,0.3567025,0.6718750,0.6598639,0.5328055,2001-04-30
0.3652968,0.4739813,0.3767737,0.3863636,0.4222222,0.3137255,0.4838710,0.5409836,0.6060606,0.5551254,0.4218750,0.4996599,0.4898809,2001-05-31
0.4178082,0.8125120,0.5328603,0.6363636,0.3333333,0.2745098,0.4032258,0.3114754,0.5303030,0.6004301,0.5312500,0.3329932,0.3980144,2001-06-30
0.5787671,0.2991200,0.4029126,0.3409091,0.6666667,0.4901961,0.5967742,0.4754098,0.5303030,0.5156989,0.4375000,0.7282313,0.6274802,2001-07-31
0.3721461,0.7786493,0.6280807,0.4772727,0.3555556,0.2549020,0.4193548,0.6065574,0.5530303,0.6150538,0.4375000,0.2741497,0.2921071,2001-08-31
0.4657534,0.4668070,0.4402539,0.6363636,0.6222222,0.6274510,0.5645161,0.4590164,0.5454545,0.3692473,0.4375000,0.8418367,0.5352125,2001-09-30
0.4155251,0.6584083,0.6000747,0.5909091,0.4444444,0.4313725,0.4193548,0.3606557,0.5303030,0.3253763,0.4843750,0.5404762,0.4726309,2001-10-31
0.6478311,0.2933805,0.3846154,0.2954545,0.1777778,0.2745098,0.1129032,0.5901639,0.1818182,0.2568459,0.2656250,0.5380952,0.3923981,2001-11-30
0.6118721,0.6569734,0.7176998,0.3863636,0.6444444,0.6470588,0.4838710,0.5245902,0.3712121,0.4743369,0.5312500,0.7697279,0.4886774,2001-12-31
0.5222603,0.4455711,0.2214339,0.4545455,0.5111111,0.5686275,0.3870968,0.6721311,0.6287879,0.4967742,0.3750000,0.6377551,0.0000000,2002-01-31
0.4486301,0.5739430,0.5227782,0.5000000,0.6444444,0.6862745,0.5483871,0.6065574,0.6893939,0.4000000,0.3437500,0.4931973,0.4726607,2002-02-28
0.6147260,0.5739430,0.5227782,0.5000000,0.9333333,0.7254902,0.8870968,0.8196721,0.6893939,0.6666667,0.5625000,0.5442177,0.4754390,2002-03-31
0.3721461,0.6300937,0.6758775,0.6590909,0.7777778,0.5686275,0.5806452,0.4918033,0.6666667,0.3333333,0.5000000,0.5544218,0.4774235,2002-04-30
0.2414384,0.5870480,0.4219567,0.6363636,0.5555556,0.4313725,0.7741935,0.5737705,0.6060606,0.4000000,0.4062500,0.5578231,0.4726607,2002-05-31
0.4223744,0.8190166,0.7094847,0.7045455,0.2222222,0.1372549,0.2419355,0.4262295,0.4545455,0.8666667,0.5625000,0.3639456,0.4770266,2002-06-30
0.5576484,0.3982208,0.4406273,0.3636364,0.5777778,0.3921569,0.5806452,0.2295082,0.5681818,0.4000000,0.5156250,0.6836735,0.4869492,2002-07-31
0.3259132,0.6422422,0.5526512,0.7272727,0.2444444,0.1176471,0.3709677,0.3770492,0.4772727,0.5333333,0.5000000,0.4115646,0.4722638,2002-08-31
0.4218037,0.6089535,0.5713219,0.3636364,0.6444444,0.4509804,0.5806452,0.4426230,0.5378788,0.4666667,0.5000000,0.5136054,0.4790111,2002-09-30
0.4623288,0.6414769,0.4555639,0.4772727,0.5111111,0.6078431,0.4193548,0.5573770,0.4696970,0.6000000,0.4062500,0.7891156,0.5087788,2002-10-31
0.4954338,0.4308399,0.4929052,0.4545455,0.4666667,0.5098039,0.4354839,0.5409836,0.5000000,0.3333333,0.3437500,0.5408163,0.4520218,2002-11-30
0.5000000,0.5646642,0.5862584,0.3636364,0.5333333,0.5294118,0.4516129,0.5573770,0.5681818,0.2666667,0.4687500,0.7278912,0.4591660,2002-12-31
0.6809361,0.4170652,0.3211352,0.2500000,0.1555556,0.3333333,0.0322581,0.5409836,0.1590909,0.2666667,0.2500000,0.6666667,0.4769140,2003-01-31
0.5399543,0.5737517,0.5227782,0.5000000,0.9555556,0.8039216,0.8064516,0.8032787,0.6515152,0.6000000,0.4375000,0.4217687,0.4687626,2003-02-28
0.5770548,0.5837000,0.5489171,0.5909091,0.8222222,0.6862745,0.7419355,0.7213115,0.8030303,0.4000000,0.5468750,0.5510204,0.4746536,2003-03-31
0.5205479,0.5796824,0.5190441,0.5454545,0.8444444,0.7647059,0.7903226,0.6885246,0.7045455,0.3333333,0.4062500,0.6156463,0.4742608,2003-04-30
0.0713470,0.7682227,0.6273338,0.8409091,0.2000000,0.0000000,0.4193548,0.3606557,0.5227273,0.8666667,0.6562500,0.2789116,0.4789736,2003-05-31
0.4863014,0.6127798,0.5787901,0.4318182,0.5111111,0.3529412,0.5000000,0.1475410,0.5378788,0.3333333,0.5781250,0.7823129,0.4774027,2003-06-30
0.3647260,0.6248326,0.6684093,0.5909091,0.3333333,0.2352941,0.4193548,0.4262295,0.5151515,0.6666667,0.4375000,0.4319728,0.4907555,2003-07-31
0.5291096,0.5355845,0.4705004,0.3863636,0.6444444,0.5294118,0.5645161,0.5081967,0.5000000,0.5333333,0.5312500,0.6020408,0.4915410,2003-08-31
0.3607306,0.5664817,0.4742345,0.6590909,0.3777778,0.3137255,0.4838710,0.3606557,0.5075758,0.4666667,0.4531250,0.3979592,0.4738681,2003-09-30
0.4851598,0.6834704,0.5451830,0.4772727,0.4666667,0.5490196,0.3870968,0.6393443,0.5378788,0.4666667,0.3750000,0.7176871,0.4844718,2003-10-31
0.5667808,0.2637268,0.3211352,0.1818182,0.5333333,0.5882353,0.3870968,0.6229508,0.4166667,0.2000000,0.2343750,0.7006803,0.4538389,2003-11-30
0.6826484,0.5209489,0.4742345,0.2954545,0.2444444,0.3333333,0.1451613,0.4262295,0.3712121,0.2666667,0.2187500,0.5238095,0.4726899,2003-12-31
0.4594749,0.5746126,0.5253921,0.5227273,0.7555556,0.6799494,0.5926119,0.6557377,0.5909091,0.4000000,0.4843750,0.6853741,0.4736439,2004-01-31
0.5388128,0.5732734,0.5201643,0.4772727,0.5333333,0.5276233,0.4596684,0.5737705,0.5151515,0.6000000,0.5156250,0.5537415,0.4641749,2004-02-29
0.6643836,0.5739430,0.5227782,0.5000000,1.0000000,0.8803464,0.8764398,0.9672131,0.7348485,0.6000000,0.2656250,0.5306122,0.4832074,2004-03-31
0.3824201,0.6553472,0.7524272,0.5909091,0.7555556,0.5486823,0.7352584,0.4426230,0.6136364,0.3333333,0.4375000,0.5948980,0.4867032,2004-04-30
0.2077626,0.7013583,0.4439881,0.8181818,0.3555556,0.1325322,0.4634929,0.5245902,0.5757576,0.5333333,0.7031250,0.4115646,0.5100082,2004-05-31
0.3573059,0.6734264,0.9208364,0.5681818,0.2444444,0.1674678,0.3908082,0.0327869,0.5151515,0.6000000,0.5937500,0.4704082,0.5985676,2004-06-30
0.4982877,0.5365410,0.2935026,0.3863636,0.5555556,0.5656125,0.4994103,0.6393443,0.5530303,0.5333333,0.4531250,0.7142857,0.7881156,2004-07-31
0.4646119,0.5336713,0.3973114,0.6363636,0.4888889,0.2403542,0.5088450,0.3606557,0.5681818,0.6000000,0.3906250,0.4377551,0.2229672,2004-08-31
0.3390411,0.5076526,0.4529500,0.4772727,0.4666667,0.5051444,0.4573361,0.4262295,0.5000000,0.4000000,0.4687500,0.5901361,0.4024164,2004-09-30
0.5724886,0.5755692,0.6198656,0.2954545,0.5555556,0.5574742,0.4006243,0.7213115,0.4848485,0.3333333,0.6250000,0.7278912,0.4233910,2004-10-31
0.5605023,0.4869906,0.4353996,0.4090909,0.5777778,0.6294539,0.4638918,0.5901639,0.3106061,0.2000000,0.1250000,0.6517007,0.4160111,2004-11-30
0.5490868,0.4949302,0.3887229,0.3181818,0.1777778,0.3224752,0.1167534,0.4918033,0.4545455,0.5333333,0.4062500,0.5530612,0.4540760,2004-12-31
0.5245434,0.5739430,0.5227782,0.5000000,0.5111111,0.5173941,0.4542144,0.5245902,0.4015152,0.4000000,0.3437500,0.5683673,0.4442881,2005-01-31
0.5039954,0.5739430,0.5227782,0.5000000,0.8666667,0.7647059,0.7741935,0.8196721,0.8409091,0.6666667,0.5312500,0.5476190,0.4781344,2005-02-28
0.6757991,0.5739430,0.5227782,0.5000000,0.7777778,0.6666667,0.6451613,0.8032787,0.3333333,0.3333333,0.3750000,0.6054422,0.4673530,2005-03-31
0.5171233,0.5814999,0.5377147,0.5909091,0.9111111,0.7450980,0.8548387,0.5573770,0.9848485,0.4666667,1.0000000,0.4693878,0.4746689,2005-04-30
0.0690639,0.6735221,0.6011949,0.7727273,0.4444444,0.2352941,0.5322581,0.5901639,0.6060606,0.5333333,0.1406250,0.5340136,0.4777493,2005-05-31
0.3772831,0.6600344,0.5563854,0.5681818,0.2222222,0.1372549,0.3870968,0.0000000,0.4772727,0.5333333,0.6250000,0.5170068,0.4819849,2005-06-30
0.4086758,0.6366941,0.6198656,0.5227273,0.2888889,0.1960784,0.3709677,0.3278689,0.5151515,0.6000000,0.4062500,0.4047619,0.4873756,2005-07-31
0.5833333,0.4583891,0.4705004,0.4772727,0.6888889,0.5686275,0.5645161,0.6885246,0.4848485,0.4666667,0.3750000,0.6394558,0.4862205,2005-08-31
0.3247717,0.6462598,0.5825243,0.5681818,0.4222222,0.2745098,0.4677419,0.3442623,0.5757576,0.5333333,0.5937500,0.4965986,0.4862205,2005-09-30
0.4514840,0.7770231,0.6422704,0.5000000,0.5111111,0.6078431,0.4516129,0.4426230,0.4242424,0.4000000,0.0000000,0.7857143,0.4654277,2005-10-31
0.5091324,0.2940501,0.2987304,0.3409091,0.4444444,0.3137255,0.4516129,0.4754098,0.3484848,0.4000000,0.8906250,0.4421769,0.4738988,2005-11-30
0.6289954,0.5594031,0.5638536,0.3863636,0.3111111,0.2352941,0.3064516,0.4754098,0.4924242,0.4666667,0.2812500,0.5204082,0.6232986,2005-12-31
0.5799087,0.4616415,0.3883495,0.3181818,0.7555556,0.8235294,0.5161290,0.6885246,0.6136364,0.2666667,0.3906250,0.8469388,0.3181481,2006-01-31
0.5125571,0.5702124,0.5078417,0.5227273,0.7777778,0.8235294,0.6451613,0.8032787,0.7424242,0.2000000,0.3593750,0.5204082,0.4593936,2006-02-28
0.6198630,0.6243543,0.6684093,0.5227273,0.6444444,0.5490196,0.5645161,0.6065574,0.5303030,0.7333333,0.5468750,0.6054422,0.4762031,2006-03-31
0.2460046,0.6553472,0.6198656,0.7272727,0.6222222,0.4509804,0.6612903,0.4918033,0.6363636,0.2666667,0.5468750,0.5272109,0.4742929,2006-04-30
0.3978311,0.7045150,0.4779686,0.7045455,0.4000000,0.3333333,0.4516129,0.3934426,0.5303030,0.6000000,0.4531250,0.5646259,0.4746750,2006-05-31
0.3310502,0.4594414,0.4518297,0.3636364,0.5111111,0.4509804,0.5483871,0.4918033,0.5833333,0.6666667,0.5156250,0.5204082,0.4869000,2006-06-30
