Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.3103448,0.4794332,0.4084362,0.6250000,0.3972603,0.3942857,0.5000000,0.2837838,0.6339623,0.2972973,0.4843750,0.3744778,0.5086823,1997-02-28
0.4610195,0.6604760,0.5047325,0.8125000,0.7260274,0.7085714,0.7922078,0.6216216,0.7622642,0.4054054,0.6562500,0.5070262,0.5086823,1997-03-31
0.5599700,0.6540102,0.4890947,0.4062500,0.7260274,0.7771429,0.7337662,0.6418919,0.7018868,0.4864865,0.5312500,1.0000000,0.5086823,1997-04-30
0.3935532,0.3820333,0.5096708,0.2812500,0.7123288,0.7371429,0.7402597,0.7297297,0.7698113,0.2972973,0.2968750,0.7857957,0.5097401,1997-05-31
0.9122939,0.6186546,0.4072016,0.5937500,0.5890411,0.6000000,0.6363636,0.6689189,0.6943396,0.5405405,0.3281250,0.3547284,0.5203183,1997-06-30
0.0817091,0.9519879,0.4965021,0.9375000,0.3835616,0.3428571,0.5259740,0.1351351,0.6188679,0.5675676,0.8125000,0.2700342,0.4959885,1997-07-31
0.5224888,0.5015821,0.5979424,0.3437500,0.4931507,0.5600000,0.5389610,0.5135135,0.5773585,0.2972973,0.2968750,0.8313711,0.5086823,1997-08-31
0.3958021,0.0000000,0.2251029,0.3125000,0.2808219,0.3028571,0.3961039,0.1959459,0.5245283,0.4324324,0.4375000,0.3057349,0.5086823,1997-09-30
0.5637181,0.6896409,0.5880658,0.5312500,0.4931507,0.5485714,0.5519481,0.3445946,0.5245283,0.4054054,0.4531250,0.9004937,0.5086823,1997-10-31
0.4925037,0.2590453,0.2841564,0.3437500,0.2808219,0.3600000,0.3311688,0.5202703,0.4943396,0.3243243,0.4218750,0.3315610,0.5086823,1997-11-30
0.4107946,0.5314349,0.4567901,0.5937500,0.1917808,0.1771429,0.3441558,0.0405405,0.4905660,0.4324324,0.5625000,0.2058488,0.5086823,1997-12-31
0.3988006,0.5197414,0.4442387,0.6250000,0.3767123,0.4342857,0.4545455,0.6148649,0.5132075,0.2432432,0.5312500,0.5446259,0.5086823,1998-01-31
