Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.4462810,0.3900238,0.4521622,0.6226415,0.4217926,0.3637681,0.5223614,0.5066445,0.5981912,0.5689655,0.5801105,0.4001398,0.0000000,1997-02-28
0.5771350,0.6047531,0.5506244,0.8679245,0.7170475,0.6478261,0.7549195,0.6046512,0.7054264,0.7241379,0.6906077,0.5493477,0.0000000,1997-03-31
0.7917355,0.3325692,0.4975746,0.4056604,0.6467487,0.6724638,0.7084079,0.6262458,0.7273902,0.0862069,0.2928177,0.8756018,0.0000000,1997-04-30
0.3104683,0.3455981,0.3860047,0.2452830,0.6977153,0.6405797,0.7227191,0.7009967,0.6640827,0.2413793,0.4143646,0.7895248,0.0000000,1997-05-31
1.0000000,0.4741745,0.5092373,0.6698113,0.4991213,0.4666667,0.6207513,0.6262458,0.6976744,0.4827586,0.5690608,0.2752757,0.0000000,1997-06-30
0.0000000,1.0000000,1.0000000,1.0000000,0.3409490,0.2608696,0.4865832,0.1910299,0.5607235,1.0000000,0.9226519,0.0862323,0.0000000,1997-07-31
0.7415978,0.0581220,0.0000000,0.2358491,0.4657293,0.5275362,0.4812165,0.5514950,0.5129199,0.2241379,0.1657459,1.0000000,0.0000000,1997-08-31
0.4410468,0.2418026,0.4721850,0.4811321,0.2495606,0.2318841,0.3416816,0.3222591,0.2571059,0.5344828,0.4419890,0.2771393,0.0000000,1997-09-30
0.6867769,0.3967268,0.4945815,0.3867925,0.4481547,0.4550725,0.4776386,0.3637874,0.5891473,0.4310345,0.7348066,0.7048455,0.0000000,1997-10-31
0.5801653,0.1700714,0.2054908,0.1698113,0.1950791,0.2594203,0.2468694,0.4451827,0.3449612,0.2758621,0.1436464,0.4442848,0.0000000,1997-11-30
0.4294766,0.4233358,0.4782743,0.7264151,0.2267135,0.1521739,0.3703041,0.2059801,0.4198966,0.5517241,0.7292818,0.1797639,0.0000000,1997-12-31
0.6206612,0.3842783,0.4306946,0.4528302,0.3760984,0.4130435,0.4168157,0.4966777,0.4832041,0.5344828,0.4806630,0.7020500,0.0000000,1998-01-31
0.5873278,0.4114387,0.4930333,0.5377358,0.5184534,0.5072464,0.5903399,0.5548173,0.5633075,0.3275862,0.4917127,0.4576798,0.0000000,1998-02-28
0.6330579,0.4571992,0.4980906,0.6886792,0.6256591,0.5695652,0.6779964,0.6495017,0.6744186,0.6206897,0.3867403,0.5029896,0.0000000,1998-03-31
0.5584022,0.4793105,0.5360718,0.7547170,0.6994728,0.6376812,0.7817531,0.6245847,0.8165375,0.3793103,0.5193370,0.7529508,0.0000000,1998-04-30
0.5462810,0.5526957,0.6013004,0.6226415,0.5746924,0.5376812,0.6225403,0.4983389,0.6175711,0.4655172,0.7403315,0.5114925,0.0000000,1998-05-31
0.4801653,0.4772793,0.3453401,0.5283019,0.5325132,0.4405797,0.6726297,0.4385382,0.7829457,0.5172414,0.6795580,0.3825516,0.0000000,1998-06-30
0.4994490,0.2825141,0.5033543,0.5283019,0.4288225,0.4043478,0.5098390,0.4202658,0.5374677,0.4827586,0.5635359,0.5344386,0.0000000,1998-07-31
0.5964187,0.5570193,0.4897306,0.5660377,0.4130053,0.4550725,0.4615385,0.3737542,0.5012920,0.4655172,0.5138122,0.7977947,0.0000000,1998-08-31
0.6942149,0.1664732,0.4155228,0.0660377,0.3391916,0.3942029,0.3738819,0.4285714,0.2842377,0.3275862,0.0055249,0.5260522,0.0000000,1998-09-30
0.5909091,0.3117927,0.3529776,0.5566038,0.2706503,0.2826087,0.3506261,0.3222591,0.4354005,0.3620690,0.5966851,0.4972822,0.0066961,1998-10-31
0.3933884,0.4227845,0.5713696,0.3962264,0.2091388,0.2478261,0.2701252,0.2774086,0.4341085,0.5000000,0.5469613,0.4037506,0.0000000,1998-11-30
0.5055096,0.3473101,0.3310971,0.4905660,0.2847100,0.2405797,0.2880143,0.4717608,0.2454780,0.4655172,0.6132597,0.3090542,0.0000000,1998-12-31
0.4002755,0.4011085,0.4075756,0.6132075,0.3251318,0.2840580,0.5116279,0.3073090,0.6408269,0.6034483,0.5193370,0.4327535,0.0000000,1999-01-31
0.6738292,0.3913006,0.4572195,0.5283019,0.5817223,0.5376812,0.6135957,0.5980066,0.5658915,0.3620690,0.3646409,0.4736372,0.0000000,1999-02-28
0.7440771,0.4319540,0.5078956,0.5943396,0.6063269,0.5898551,0.7048301,0.5847176,0.7467700,0.4655172,0.7624309,0.6908681,0.0000000,1999-03-31
0.4349862,0.5355174,0.6148209,0.7358491,0.6783831,0.5826087,0.7835420,0.5813953,0.7519380,0.5517241,0.5580110,0.4680463,0.0000000,1999-04-30
0.4523416,0.4365098,0.3586541,0.7547170,0.4604569,0.4449275,0.5402504,0.4584718,0.5788114,0.4655172,0.2872928,0.4685122,0.0000000,1999-05-31
0.6528926,0.3887180,0.4436990,0.5377358,0.6379613,0.6000000,0.6851521,0.6096346,0.7803618,0.4310345,0.8508287,0.7464280,0.0000000,1999-06-30
0.5917355,0.4152690,0.4906595,0.4528302,0.4604569,0.4420290,0.5169946,0.4102990,0.5839793,0.4482759,0.6187845,0.4682792,0.0000000,1999-07-31
