Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.8484984,0.4709186,0.4357651,0.5742574,0.5837563,0.5232775,0.6418733,0.5012346,0.5843271,0.3125287,0.0000000,0.7424821,0.0000000,1997-02-28
0.5656656,0.6731745,0.5971530,0.8316832,0.7385787,0.6666667,0.8236915,0.7827160,0.7802385,0.6980266,0.7000000,0.6789976,0.0000000,1997-03-31
0.3760645,0.4686990,0.3106762,0.6237624,0.5329949,0.4394786,0.6721763,0.3728395,0.6780239,0.5052777,0.6133333,0.5236277,0.0000000,1997-04-30
0.3406544,0.4110799,0.4546263,0.3861386,0.7538071,0.6331471,0.8484848,0.6864198,0.7444634,0.3675998,0.4266667,0.7207637,0.0000000,1997-05-31
0.9861049,0.6933321,0.5642349,0.7623762,0.5152284,0.3817505,0.7079890,0.4296296,0.6865417,0.5741166,0.5933333,0.2224344,0.0000000,1997-06-30
0.0394442,0.6646585,0.2402135,0.8811881,0.4010152,0.2867784,0.5895317,0.1629630,0.6456559,0.7668655,1.0000000,0.2078759,0.0000000,1997-07-31
0.7404751,0.2510419,0.6460854,0.2574257,0.4923858,0.4990689,0.5316804,0.5604938,0.5161840,0.4364387,0.3800000,0.7934368,0.0000000,1997-08-31
0.5011206,0.3601649,0.2026690,0.4851485,0.3096447,0.3351955,0.3829201,0.3777778,0.3696763,0.5052777,0.4666667,0.4976134,0.0000000,1997-09-30
0.7588525,0.2729661,0.2774021,0.2772277,0.4796954,0.5027933,0.5316804,0.3975309,0.5519591,0.3262965,0.4733333,0.7852029,0.0000000,1997-10-31
0.4997759,0.3508335,0.1754448,0.3960396,0.2081218,0.2458101,0.2617080,0.2419753,0.4020443,0.4639743,0.3533333,0.4020286,0.0000000,1997-11-30
0.5912147,0.4726400,0.4236655,0.5148515,0.3730964,0.3258845,0.4903581,0.4222222,0.5775128,0.4364387,0.7200000,0.5071599,0.0000000,1997-12-31
0.8077095,0.4487226,0.3549822,0.5148515,0.4035533,0.4934823,0.3746556,0.4345679,0.3696763,0.3538320,0.4600000,0.6984487,0.0000000,1998-01-31
0.7906768,0.4676119,0.4005338,0.5346535,0.5203046,0.5083799,0.5399449,0.6493827,0.5706985,0.3675998,0.2333333,0.5373508,0.0000000,1998-02-28
1.0000000,0.5175756,0.4708185,0.6435644,0.7639594,0.6759777,0.8209366,0.6740741,0.7751278,0.4089032,0.4933333,0.7220764,0.0000000,1998-03-31
0.0726132,0.5808570,0.4451957,0.9108911,0.6015228,0.4022346,0.8539945,0.3827160,0.8415673,0.7944011,0.7533333,0.4850835,0.0000000,1998-04-30
0.2944868,0.6347164,0.4637011,0.6039604,0.6294416,0.4897579,0.7906336,0.5308642,0.6984668,0.6704911,0.8333333,0.4577566,0.0000000,1998-05-31
0.5643209,0.7265356,0.5859431,0.6930693,0.5558376,0.3966480,0.7410468,0.3506173,0.7649063,0.5190454,0.6200000,0.3260143,0.0000000,1998-06-30
0.4092335,0.2524914,0.2071174,0.5445545,0.3934010,0.3314711,0.5123967,0.3703704,0.5434412,0.5603488,0.6400000,0.4113365,0.0000000,1998-07-31
0.6745854,0.4731835,0.5782918,0.4653465,0.4847716,0.5102421,0.5426997,0.4345679,0.5638842,0.4364387,0.4600000,0.7700477,0.0000000,1998-08-31
0.6795159,0.1536963,0.2733096,0.1287129,0.3781726,0.4487896,0.3939394,0.3876543,0.2453152,0.4226709,0.2200000,0.6505967,0.0000000,1998-09-30
