Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.3289870,0.4041908,0.3957553,0.4062500,0.6813187,0.5865385,0.8000000,0.5476190,0.8081395,0.5769231,0.6557377,0.3884378,0.0016476,1997-02-28
0.3691073,0.4532854,0.4810237,0.5312500,0.8131868,0.8461538,0.7176471,0.7222222,0.5465116,0.2692308,0.4754098,1.0000000,0.0000000,1997-03-31
0.3523905,0.4120777,0.3730337,0.6562500,0.7802198,0.6923077,0.8235294,0.3253968,0.8081395,0.4230769,0.4262295,0.5053589,0.0090618,1997-04-30
0.3072551,0.4522587,0.4491885,0.6562500,0.7582418,0.7788462,0.7529412,0.7380952,0.6802326,0.2692308,0.4426230,0.7015265,0.0041190,1997-05-31
0.4811100,0.4184712,0.3985019,0.5312500,0.7362637,0.7307692,0.6823529,0.4444444,0.6453488,0.3846154,0.3934426,0.4689834,0.0057666,1997-06-30
0.3236376,0.4415251,0.4439451,0.6875000,0.5494505,0.4326923,0.6470588,0.4126984,0.5988372,0.6538462,0.5081967,0.4381293,0.0107094,1997-07-31
0.4269475,0.4608456,0.3993758,0.4687500,0.6043956,0.5769231,0.6000000,0.4523810,0.5813953,0.4230769,0.4754098,0.5842806,0.0296568,1997-08-31
0.2176530,0.6284301,0.5691635,0.7187500,0.3186813,0.1923077,0.3764706,0.1269841,0.4651163,0.7692308,0.7213115,0.4189672,0.1054462,1997-09-30
0.3179539,0.4198245,0.4917603,0.5625000,0.4835165,0.4038462,0.5176471,0.0873016,0.5755814,0.4230769,0.7540984,0.6651510,0.3558810,1997-10-31
0.2868606,0.3422158,0.4000000,0.5937500,0.3956044,0.3750000,0.4235294,0.3968254,0.4709302,0.5384615,0.5409836,0.4611887,0.5618307,1997-11-30
0.3447008,0.3377823,0.2635456,0.4375000,0.4285714,0.3846154,0.4235294,0.1984127,0.4593023,0.5384615,0.5409836,0.5287431,0.6417392,1997-12-31
0.3497158,0.3928038,0.4350811,0.5000000,0.5714286,0.5673077,0.5764706,0.5079365,0.5581395,0.4230769,0.4426230,0.6645015,0.0759903,1998-01-31
