Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.6304079,0.5497790,0.6504225,0.5128205,0.8032787,0.6436782,0.8194444,0.4299065,0.8333333,0.5873016,0.4307692,0.2711111,0.0008298,1997-02-28
0.9192419,0.4864604,0.4808451,0.5128205,0.6721311,0.7356322,0.1250000,0.5794393,0.3939394,0.4285714,0.4923077,0.8266667,0.0016063,1997-03-31
0.4482901,0.5877863,0.6157746,0.7179487,0.6393443,0.4827586,1.0000000,0.4672897,0.9166667,0.6349206,0.4615385,0.2834921,0.0023827,1997-04-30
0.3440461,0.5575733,0.5000000,0.6923077,0.4262295,0.3218391,0.5277778,0.3271028,0.6439394,0.5238095,0.4153846,0.3942857,0.0078179,1997-05-31
0.9204780,0.4283648,0.5264789,0.3846154,0.4426230,0.4252874,0.4305556,0.2616822,0.5227273,0.5079365,0.7076923,0.6628571,0.0120884,1997-06-30
0.5632468,0.6359984,0.5602817,0.6153846,0.2950820,0.2068966,0.4583333,0.2990654,0.6212121,0.5555556,0.4769231,0.1711111,0.0221823,1997-07-31
0.7177585,0.5412616,0.5374648,0.4615385,0.4098361,0.4597701,0.4305556,0.3271028,0.5606061,0.4920635,0.5076923,0.4726984,0.0431465,1997-08-31
0.6596621,0.5459221,0.8059155,0.3076923,0.4426230,0.4367816,0.4027778,0.3271028,0.5303030,0.4761905,0.4461538,0.6057143,0.1370972,1997-09-30
0.8895756,0.2302129,0.1554930,0.2051282,0.4918033,0.5402299,0.3888889,0.3925234,0.5075758,0.4444444,0.2769231,0.6352381,0.0742046,1997-10-31
0.8075814,0.5218160,0.6104225,0.3333333,0.2950820,0.3103448,0.3472222,0.3831776,0.5530303,0.3968254,0.2615385,0.5257143,0.0594520,1997-11-30
0.8800989,0.4762555,0.4442254,0.3333333,0.2950820,0.4137931,0.3194444,0.2990654,0.3712121,0.4285714,0.5230769,0.5368254,0.0241234,1997-12-31
0.6843840,0.5055846,0.5352113,0.4615385,0.5901639,0.6321839,0.4722222,0.6542056,0.5757576,0.4444444,0.3384615,0.6552381,0.0143006,1998-01-31
0.7284714,0.5225392,0.5591549,0.5897436,0.6065574,0.6666667,0.5000000,0.5140187,0.6893939,0.5079365,0.5230769,0.5079365,0.0091782,1998-02-28
1.0000000,0.4886300,0.5112676,0.3333333,0.7377049,0.6666667,0.5833333,0.5607477,0.5909091,0.3650794,0.3538462,0.5968254,0.0252772,1998-03-31
0.5760198,0.5276818,0.5811268,0.6666667,0.5901639,0.4942529,0.6250000,0.3925234,0.7121212,0.6031746,0.4000000,0.3298413,0.0472304,1998-04-30
0.0585084,0.6629972,0.6408451,0.6410256,0.3934426,0.2413793,0.5555556,0.2897196,0.7045455,0.6349206,0.5230769,0.4320635,0.2228562,1998-05-31
0.9138855,0.4560064,0.4681690,0.5897436,0.3114754,0.2528736,0.3611111,0.0841121,0.4924242,0.5396825,0.6923077,0.5565079,0.3110349,1998-06-30
0.6390606,0.5685014,0.6030986,0.5384615,0.2950820,0.3678161,0.3472222,0.2897196,0.5378788,0.5079365,0.5230769,0.5634921,0.8873068,1998-07-31
0.6654306,0.6025713,0.5923944,0.4615385,0.3442623,0.3333333,0.4166667,0.3364486,0.5151515,0.5238095,0.4923077,0.3260317,1.0000000,1998-08-31
0.6234034,0.4881479,0.5166197,0.4871795,0.3934426,0.3333333,0.4861111,0.3084112,0.6439394,0.5079365,0.4615385,0.2292063,0.4789770,1998-09-30
0.7750309,0.4479711,0.6585915,0.3076923,0.3606557,0.3563218,0.3194444,0.2710280,0.4015152,0.4761905,0.3384615,0.6003175,0.2576154,1998-10-31
0.7342398,0.6337485,0.6197183,0.4358974,0.2786885,0.2298851,0.4027778,0.3177570,0.4772727,0.4603175,0.4769231,0.4003175,0.1233349,1998-11-30
0.7976926,0.2528726,0.2712676,0.3589744,0.2295082,0.2988506,0.2500000,0.4205607,0.4318182,0.4444444,0.4769231,0.5101587,0.0497916,1998-12-31
0.8203543,0.4333467,0.4287324,0.2820513,0.4426230,0.5287356,0.4027778,0.4766355,0.5151515,0.4126984,0.1230769,0.5869841,0.0100891,1999-01-31
0.8627936,0.4875854,0.5067606,0.3076923,0.5081967,0.6551724,0.3750000,0.5514019,0.6666667,0.3968254,0.4307692,0.7711111,0.0114789,1999-02-28
0.7371240,0.5334673,0.6219718,0.5641026,0.9672131,0.9540230,0.7500000,0.5140187,0.6287879,0.6190476,0.4615385,0.5676190,0.0194706,1999-03-31
0.4886691,0.5812776,0.5259155,0.7179487,0.4426230,0.2528736,0.5833333,0.3457944,0.7727273,0.6031746,0.6307692,0.3209524,0.0194706,1999-04-30
0.4470540,0.7892326,0.6295775,0.7435897,0.3934426,0.3563218,0.4583333,0.1962617,0.6363636,0.5238095,0.5538462,0.5536508,0.0166909,1999-05-31
0.7766790,0.2824427,0.4664789,0.3076923,0.3770492,0.2988506,0.4027778,0.2710280,0.4621212,0.4920635,0.4000000,0.4184127,0.0198181,1999-06-30
0.7383601,0.4413017,0.5098592,0.4615385,0.4590164,0.4482759,0.4583333,0.3738318,0.6212121,0.3492063,0.5538462,0.4961905,0.0135637,1999-07-31
0.7251751,0.5790277,0.6264789,0.4615385,0.4098361,0.4827586,0.3888889,0.3551402,0.5530303,0.6349206,0.3538462,0.6101587,0.0076568,1999-08-31
0.6234034,0.5728405,0.5749296,0.5128205,0.4098361,0.4137931,0.4305556,0.3271028,0.5530303,0.4761905,0.5230769,0.4130159,0.0159959,1999-09-30
0.7128142,0.5041382,0.5504225,0.5384615,0.3606557,0.3218391,0.4444444,0.3738318,0.4848485,0.4761905,0.3692308,0.4114286,0.0149536,1999-10-31
0.7181706,0.3873041,0.5101408,0.1794872,0.3114754,0.2873563,0.3194444,0.3177570,0.4318182,0.4444444,0.4615385,0.5219048,0.0107840,1999-11-30
0.7630820,0.4262756,0.3808451,0.4615385,0.0163934,0.0919540,0.1527778,0.1308411,0.0606061,0.4285714,0.4153846,0.3142857,0.0059195,1999-12-31
0.9171817,0.4641221,0.4907042,0.1282051,0.7377049,0.8505747,0.5833333,0.7289720,1.0000000,0.4761905,0.1692308,0.9380952,0.0020092,2000-01-31
0.8154100,0.5405384,0.6000000,0.5128205,0.7213115,0.7816092,0.5138889,0.5700935,0.6742424,0.4761905,0.5384615,0.5295238,0.0040183,2000-02-29
0.6172229,0.4900763,0.5611268,0.4871795,0.1639344,0.1609195,0.3055556,0.3457944,0.3712121,0.5079365,0.3846154,0.4244444,0.0056926,2000-03-31
0.6085703,0.6628365,0.6354930,0.8461538,0.9836066,0.8505747,0.8472222,0.4766355,0.9696970,0.5873016,0.6307692,0.5415873,0.0000000,2000-04-30
0.4709518,0.5517075,0.5073239,0.5384615,0.3770492,0.2758621,0.4722222,0.3084112,0.5984848,0.5396825,0.4923077,0.4717460,0.0130596,2000-05-31
0.7577256,0.5170751,0.5112676,0.5384615,0.3442623,0.2873563,0.4166667,0.2242991,0.5606061,0.4920635,0.5538462,0.3742857,0.0180825,2000-06-30
0.7259992,0.5292889,0.5236620,0.5384615,0.3606557,0.3793103,0.4027778,0.3271028,0.4924242,0.5238095,0.4769231,0.4444444,0.0093761,2000-07-31
0.6913885,0.4533548,0.5253521,0.4102564,0.4918033,0.4367816,0.4583333,0.4299065,0.6287879,0.4920635,0.4153846,0.6330159,0.0026789,2000-08-31
0.7251751,0.5955806,0.7436620,0.5384615,0.3770492,0.4712644,0.4305556,0.2990654,0.5530303,0.4603175,0.4153846,0.4288889,0.0056926,2000-09-30
0.6543057,0.5675372,0.6484507,0.2564103,0.4262295,0.2873563,0.4583333,0.3738318,0.5757576,0.5079365,0.3538462,0.3730159,0.0036835,2000-10-31
0.8368356,0.2711933,0.3380282,0.3589744,0.2622951,0.3678161,0.2222222,0.2149533,0.1363636,0.3650794,0.4000000,0.7041270,0.0150687,2000-11-30
0.7292954,0.4432302,0.4647887,0.2564103,0.3278689,0.3103448,0.4305556,0.3738318,0.6742424,0.4603175,0.5230769,0.4285714,0.0023440,2000-12-31
0.9007005,0.4495781,0.3760563,0.3076923,0.4918033,0.6091954,0.3750000,0.7850467,0.6060606,0.4603175,0.2923077,0.7911111,0.1707506,2001-01-31
0.7869798,0.5006027,0.5225352,0.4102564,0.4918033,0.6091954,0.3333333,0.2336449,0.4166667,0.4285714,0.4769231,0.5079365,0.1401181,2001-02-28
0.7045735,0.6071515,0.7138028,0.6410256,0.7704918,0.6551724,0.7777778,0.4579439,0.7651515,0.5714286,0.4153846,0.2333333,0.2776382,2001-03-31
0.7177585,0.4249900,0.3918310,0.3846154,0.8032787,0.7356322,0.6388889,0.5607477,0.8560606,0.5396825,0.4153846,0.8425397,0.2303861,2001-04-30
0.2814174,0.6734431,0.6216901,0.8717949,0.2622951,0.1494253,0.4583333,0.2710280,0.5984848,0.5714286,0.6615385,0.4041270,0.2043159,2001-05-31
0.7663782,0.4841302,0.5704225,0.4871795,0.3114754,0.2528736,0.3750000,0.1495327,0.5454545,0.5238095,0.4615385,0.2869841,0.2215874,2001-06-30
0.7799753,0.4754520,0.5591549,0.3846154,0.4590164,0.4482759,0.4305556,0.3644860,0.5151515,0.5079365,0.4153846,0.6676190,0.2424435,2001-07-31
0.5673671,1.0000000,0.8138028,0.6666667,0.2950820,0.2643678,0.4444444,0.2429907,0.5909091,0.5238095,0.5538462,0.2552381,0.2577597,2001-08-31
