Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.3622857,0.8153739,0.6309782,0.8108108,0.7452830,0.5454545,1.0000000,0.4029851,0.7956204,0.7517065,0.6379310,0.0010929,0.0000000,1997-02-28
0.6977143,0.3208717,0.4196024,0.4324324,0.5660377,0.5974026,0.4235294,0.9850746,0.5036496,0.4324719,0.3275862,0.7939891,0.0000000,1997-03-31
0.3114286,0.6892243,0.5333596,0.8108108,0.5849057,0.3766234,0.7882353,0.3432836,0.8978102,0.8226475,0.6896552,0.1486339,0.0000000,1997-04-30
0.3834286,0.4741104,0.4770714,0.5945946,0.5566038,0.3246753,0.6235294,0.4626866,0.6350365,0.6452949,0.5172414,0.2251366,0.0000000,1997-05-31
0.6485714,0.5288884,0.5063964,0.4594595,0.5094340,0.2987013,0.5058824,0.3283582,0.5109489,0.5388834,0.6206897,0.4530055,0.0000000,1997-06-30
0.4245714,0.8727509,0.5817752,0.7297297,0.4245283,0.1948052,0.4588235,0.3432836,0.5766423,0.6807654,0.6724138,0.0863388,0.0000000,1997-07-31
0.5742857,0.3903439,0.4526668,0.4594595,0.5094340,0.3896104,0.4941176,0.4328358,0.5255474,0.5743539,0.3793103,0.4633880,0.0000000,1997-08-31
0.5205714,0.6392443,0.5134816,0.4864865,0.5188679,0.5584416,0.4352941,0.6268657,0.4598540,0.5034129,0.3448276,0.6147541,0.0000000,1997-09-30
0.6165714,0.2385046,0.4371187,0.5405405,0.5000000,0.5454545,0.2235294,0.5074627,0.4379562,0.5388834,0.4482759,0.7224044,0.0000000,1997-10-31
0.7285714,0.3565574,0.4817949,0.0270270,0.4905660,0.3636364,0.5058824,0.6268657,0.3868613,0.4679424,0.3275862,0.6355191,0.0000000,1997-11-30
0.6977143,0.4853059,0.4609329,0.3513514,0.3867925,0.3766234,0.2117647,0.2835821,0.3065693,0.3970014,0.2241379,0.7180328,0.0000000,1997-12-31
0.6245714,0.5245902,0.4934068,0.5405405,0.6037736,0.6883117,0.4941176,0.8656716,0.5766423,0.6098244,0.4827586,0.0289617,0.0000000,1998-01-31
0.4965714,0.5362855,0.5073804,0.5405405,0.6320755,0.5974026,0.6117647,0.8656716,0.6861314,0.5034129,0.4655172,0.6043716,0.0000000,1998-02-28
0.9474286,0.5248900,0.5034442,0.4594595,0.6603774,0.5974026,0.5764706,0.5970149,0.4890511,0.3970014,0.1551724,0.6289617,0.0000000,1998-03-31
0.2657143,0.5769692,0.5170242,0.8108108,0.5188679,0.3376623,0.6823529,0.4179104,0.5474453,1.0000000,0.7413793,0.1502732,0.0000000,1998-04-30
0.0000000,0.7243103,0.6116906,0.6216216,0.4811321,0.1168831,0.6588235,0.4477612,0.8978102,0.6452949,0.6034483,0.1934426,0.0000000,1998-05-31
0.7280000,0.4563175,0.4290494,0.5945946,0.4716981,0.2727273,0.4823529,0.0000000,0.5620438,0.5743539,0.8275862,0.5404372,0.0000000,1998-06-30
0.5314286,0.6625350,0.6055895,0.4864865,0.4622642,0.3376623,0.4117647,0.4477612,0.4598540,0.6098244,0.3793103,0.4868852,0.0000000,1998-07-31
0.4177143,0.6245502,0.4648691,0.7837838,0.4528302,0.3376623,0.4470588,0.4328358,0.5182482,0.6098244,0.3965517,0.2010929,0.0000000,1998-08-31
0.5234286,0.4779088,0.4379059,0.4864865,0.5000000,0.2597403,0.5647059,0.4029851,0.6569343,0.6452949,0.6034483,0.1338798,0.0000000,1998-09-30
0.6154286,0.3838465,0.4910451,0.3513514,0.4905660,0.4285714,0.4117647,0.5223881,0.4233577,0.4679424,0.4655172,0.6939891,0.0000000,1998-10-31
0.5914286,0.5794682,0.5209604,0.3783784,0.4150943,0.1168831,0.3882353,0.3880597,0.4160584,0.6098244,0.5172414,0.1754098,0.0000000,1998-11-30
0.6902857,0.3592563,0.4516827,0.2972973,0.4339623,0.3506494,0.3647059,0.4776119,0.4817518,0.5034129,0.3965517,0.8808743,0.0000000,1998-12-31
