Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.4497890,0.4657957,0.5212422,0.5581395,0.8200000,0.7222222,0.8500000,0.5737705,0.6782609,0.4838710,0.7500000,0.2722086,0.0212762,1997-02-28
0.8953586,0.4380839,0.4815614,0.3953488,0.6800000,0.7777778,0.5500000,0.7540984,0.5391304,0.4516129,0.3928571,0.9462103,0.0155680,1997-03-31
0.6303797,0.5046714,0.5710589,0.6511628,0.8400000,0.8518519,0.8166667,0.7377049,0.7043478,0.6129032,0.4285714,0.4409128,0.0150490,1997-04-30
0.0421941,0.5306413,0.5070088,0.6744186,0.5400000,0.3333333,0.6500000,0.3934426,0.5478261,0.6129032,0.7857143,0.4771801,0.0238709,1997-05-31
0.9738397,0.3571655,0.4651714,0.3953488,0.4800000,0.4074074,0.5333333,0.3606557,0.5565217,0.6451613,0.6785714,0.6638142,0.0000000,1997-06-30
0.4059072,0.5434679,0.5214578,0.7209302,0.3000000,0.1296296,0.4833333,0.4754098,0.4869565,0.6774194,0.7142857,0.1401793,0.0508553,1997-07-31
0.7189873,0.4709422,0.5546690,0.4186047,0.6400000,0.5000000,0.6666667,0.2459016,0.6173913,0.5161290,0.7500000,0.8076610,0.1198733,1997-08-31
0.4523207,0.4476643,0.4843649,0.4651163,0.6800000,0.5185185,0.6833333,0.4262295,0.5826087,0.5161290,0.5000000,0.5378973,0.3035753,1997-09-30
0.5814346,0.5103721,0.5039896,0.6046512,0.5200000,0.4259259,0.4833333,0.4918033,0.5304348,0.5483871,0.6071429,0.7123064,0.4888340,1997-10-31
0.6371308,0.3765637,0.5333190,0.1395349,0.4400000,0.3703704,0.5333333,0.3278689,0.5565217,0.4516129,0.5000000,0.6096170,0.3891991,1997-11-30
0.6160338,0.3326999,0.3853785,0.3953488,0.4200000,0.5370370,0.4000000,0.3934426,0.4347826,0.3870968,0.5714286,0.8113284,0.4644442,1997-12-31
0.6455696,0.4467933,0.4919129,0.4186047,0.5000000,0.6296296,0.4666667,0.7049180,0.5043478,0.5161290,0.5357143,0.6409943,0.3269395,1998-01-31
0.5738397,0.4520982,0.5018331,0.4883721,0.6200000,0.6296296,0.6166667,0.5901639,0.6173913,0.6129032,0.5714286,0.3850856,0.0975317,1998-02-28
0.9763713,0.4520982,0.5018331,0.4883721,0.8000000,0.8148148,0.6833333,0.7377049,0.5304348,0.4516129,0.2142857,0.8145884,0.0699415,1998-03-31
0.2860759,0.4545527,0.5085184,0.5116279,0.7000000,0.4814815,0.7833333,0.4098361,0.7130435,0.6129032,0.8928571,0.3952730,0.1772369,1998-04-30
0.0151899,0.5309580,0.5947811,0.7441860,0.6200000,0.6481481,0.6666667,0.5081967,0.4695652,0.5806452,0.6428571,0.4922575,0.1639527,1998-05-31
0.8970464,0.5209818,0.4563295,0.6744186,0.2600000,0.0740741,0.4500000,0.2295082,0.5304348,0.7419355,0.7857143,0.4262429,0.0980427,1998-06-30
