City,LSTM,LSTM_ATT,CNN,TF,Poisson,XGB,SVR,SVR-L,SARIMA
Hà Nội ,7.999,6.63,9.18,11.301,17.162,13.382,16.689,16.878,18.144
Hải Phòng ,0.464,0.529,0.757,0.748,0.934,0.657,6.073,7.938,2.594
Quảng Ninh ,1.01,0.961,1.953,0.93,1.577,1.277,3.384,4.072,1.175
Nam Định ,0.783,0.797,0.974,1.008,0.939,1.156,1.454,1.578,0.933
Thái Bình ,0.627,0.597,0.598,0.661,0.688,0.738,0.781,0.878,0.676
Quảng Nam ,7.382,6.696,6.89,12.678,13.504,11.99,13.969,15.434,16.448
Quảng Ngãi ,9.288,8.08,8.874,8.861,11.113,9.096,27.721,37.677,10.181
Phú Yên ,9.187,9.544,9.766,12.544,19.278,16.209,19.329,20.562,20.628
Ninh Thuận ,5.064,3.959,5.14,8.743,17.26,24.833,20.274,12.441,9.027
Bình Thuận ,8.364,8.826,8.259,12.031,12.949,10.302,13.88,14.512,10.12
Tây Ninh ,5.123,3.854,6.538,6.5,7.35,9.395,7.213,9.45,6.6
Bình Phước ,6.577,7.466,9.063,9.649,14.796,12.574,17.746,17.507,21.731
An Giang ,5.699,3.907,3.86,5.461,9.502,8.672,7.777,7.954,10.504
Tiền Giang ,4.415,4.098,7.912,5.62,18.336,17.611,14.648,16.247,13.55
Cần Thơ ,3.119,2.228,3.997,4.866,8.689,6.595,18.503,27.518,9.349
Trà Vinh ,4.462,3.891,4.82,4.482,12.442,13.63,14.752,14.289,10.129
Kiên Giang ,2.46,2.976,4.448,3.892,16.07,16.809,16.093,16.455,5.079
Sóc Trăng ,6.192,5.887,3.725,4.389,12.671,13.908,12.227,11.946,42.093
Bạc Liêu ,3.429,2.652,2.379,2.891,12.324,11.841,10.035,9.584,23.812
Cà Mau ,4.49,4.11,5.499,9.043,14.72,20.489,15.279,15.974,17.736
